Position, Time(s)
X=-210.518 Y=-2.226 Z=166.651,0.008333
X=-210.680 Y=-0.921 Z=166.487,0.4
X=-211.067 Y=1.805 Z=166.486,0.018038
X=-211.156 Y=2.232 Z=166.521,0.022349
X=-211.286 Y=2.598 Z=166.585,0.029325
X=-211.412 Y=2.829 Z=166.646,0.037867
X=-211.502 Y=2.930 Z=166.643,0.038686
X=-211.566 Y=2.878 Z=166.646,0.036567
X=-211.615 Y=2.741 Z=166.644,0.036787
X=-211.748 Y=2.535 Z=166.710,0.037026
X=-211.824 Y=2.353 Z=166.801,0.035897
X=-211.909 Y=2.207 Z=166.922,0.036826
X=-212.043 Y=2.006 Z=166.959,0.037871
X=-212.134 Y=1.802 Z=166.993,0.036438
X=-212.221 Y=1.543 Z=166.997,0.036133
X=-212.308 Y=1.130 Z=167.012,0.037537
X=-212.297 Y=0.745 Z=167.035,0.036814
X=-212.203 Y=0.330 Z=167.062,0.036385
X=-212.004 Y=-0.110 Z=167.121,0.036502
X=-211.705 Y=-0.555 Z=167.155,0.037951
X=-211.522 Y=-0.868 Z=167.100,0.03605
X=-211.350 Y=-1.125 Z=167.094,0.035896
X=-211.258 Y=-1.292 Z=167.185,0.037466
X=-211.190 Y=-1.553 Z=167.308,0.035978
X=-210.762 Y=-2.155 Z=167.600,0.052432
X=-210.618 Y=-2.969 Z=167.324,0.05355
X=-210.506 Y=-3.713 Z=167.183,0.055571
X=-210.526 Y=-4.211 Z=167.209,0.055481
X=-210.674 Y=-4.010 Z=167.601,0.0558
X=-211.281 Y=-3.611 Z=167.769,0.055442
X=-211.684 Y=-3.649 Z=167.909,0.056092
X=-211.792 Y=-4.294 Z=167.711,0.056249
X=-211.536 Y=-5.164 Z=167.556,0.054127
X=-211.163 Y=-5.966 Z=167.532,0.056555
X=-210.961 Y=-6.686 Z=167.354,0.055449
X=-210.851 Y=-7.185 Z=167.389,0.054978
X=-210.733 Y=-7.639 Z=167.423,0.055461
X=-210.576 Y=-8.102 Z=167.330,0.054987
X=-210.314 Y=-8.773 Z=167.169,0.05585
X=-210.005 Y=-9.381 Z=167.125,0.05535
X=-209.717 Y=-9.798 Z=166.997,0.055548
X=-209.586 Y=-10.060 Z=166.833,0.052827
X=-209.326 Y=-10.381 Z=166.688,0.035845
X=-209.144 Y=-10.680 Z=166.531,0.043163
X=-209.080 Y=-10.948 Z=166.436,0.043501
X=-209.001 Y=-11.171 Z=166.422,0.043893
X=-208.974 Y=-11.328 Z=166.455,0.04425
X=-208.967 Y=-11.431 Z=166.372,0.044756
X=-208.984 Y=-11.467 Z=166.339,0.044973
X=-209.022 Y=-11.431 Z=166.288,0.043828
X=-209.070 Y=-11.360 Z=166.250,0.044128
X=-209.134 Y=-11.294 Z=166.220,0.044908
X=-209.236 Y=-11.243 Z=166.213,0.044352
X=-209.342 Y=-11.209 Z=166.237,0.044246
X=-209.434 Y=-11.154 Z=166.269,0.045893
X=-209.528 Y=-11.068 Z=166.272,0.043801
X=-209.533 Y=-11.017 Z=166.237,0.043282
X=-209.618 Y=-10.946 Z=166.198,0.045023
X=-209.648 Y=-10.819 Z=166.153,0.047175
X=-209.721 Y=-10.694 Z=166.209,0.041079
X=-209.748 Y=-10.489 Z=166.378,0.045204
X=-209.733 Y=-10.368 Z=166.462,0.044527
X=-209.760 Y=-10.361 Z=166.454,0.044637
X=-209.738 Y=-10.434 Z=166.428,0.04381
X=-209.671 Y=-10.617 Z=166.428,0.040525
X=-209.525 Y=-10.793 Z=166.377,0.044055
X=-209.368 Y=-11.001 Z=166.268,0.044284
X=-209.084 Y=-11.326 Z=165.782,0.044316
X=-208.614 Y=-11.772 Z=164.989,0.046082
X=-207.943 Y=-12.244 Z=164.140,0.044277
X=-207.333 Y=-12.792 Z=163.344,0.044011
X=-206.651 Y=-13.294 Z=163.002,0.045322
X=-205.975 Y=-13.821 Z=162.430,0.043911
X=-205.310 Y=-14.335 Z=161.461,0.044388
X=-204.705 Y=-14.789 Z=160.158,0.044335
X=-204.002 Y=-15.198 Z=158.999,0.046082
X=-203.242 Y=-15.661 Z=158.172,0.04505
X=-202.402 Y=-16.163 Z=157.387,0.046009
X=-201.882 Y=-16.753 Z=156.681,0.042435
X=-201.245 Y=-17.348 Z=156.237,0.044356
X=-200.820 Y=-17.892 Z=155.869,0.045079
X=-200.355 Y=-18.230 Z=155.687,0.043828
X=-199.831 Y=-18.447 Z=155.622,0.044128
X=-199.197 Y=-18.504 Z=155.573,0.043949
X=-198.446 Y=-18.413 Z=155.494,0.044706
X=-197.708 Y=-18.239 Z=155.314,0.045176
X=-197.135 Y=-17.986 Z=155.170,0.044562
X=-196.540 Y=-17.616 Z=155.207,0.040907
X=-195.853 Y=-17.117 Z=155.393,0.044472
X=-195.215 Y=-16.558 Z=155.562,0.044427
X=-194.846 Y=-16.055 Z=155.661,0.045032
X=-194.421 Y=-15.569 Z=155.985,0.043501
X=-194.049 Y=-15.259 Z=156.546,0.043615
X=-194.074 Y=-15.096 Z=156.631,0.045203
X=-194.655 Y=-15.183 Z=156.566,0.045457
X=-195.721 Y=-15.341 Z=156.459,0.043188
X=-196.724 Y=-15.518 Z=156.656,0.044733
X=-197.915 Y=-15.737 Z=156.829,0.044385
X=-199.161 Y=-16.031 Z=156.984,0.044663
X=-200.539 Y=-16.260 Z=156.891,0.044336
X=-201.844 Y=-16.346 Z=157.042,0.043593
X=-202.821 Y=-16.192 Z=157.451,0.04938
X=-203.751 Y=-15.695 Z=157.773,0.039447
X=-204.517 Y=-15.104 Z=157.921,0.044423
X=-205.267 Y=-14.494 Z=157.937,0.045269
X=-205.804 Y=-13.854 Z=158.068,0.043306
X=-206.097 Y=-13.124 Z=158.221,0.044012
X=-206.265 Y=-12.368 Z=158.140,0.044283
X=-206.489 Y=-11.609 Z=157.851,0.045774
X=-206.602 Y=-10.900 Z=157.629,0.041021
X=-206.740 Y=-10.204 Z=157.592,0.043528
X=-206.821 Y=-9.560 Z=157.635,0.046529
X=-206.859 Y=-9.051 Z=157.688,0.044289
X=-206.806 Y=-8.627 Z=157.636,0.042458
X=-206.819 Y=-8.259 Z=157.565,0.045118
X=-206.817 Y=-7.919 Z=157.569,0.043899
X=-206.681 Y=-7.607 Z=157.610,0.044681
X=-206.598 Y=-7.352 Z=157.592,0.045695
X=-206.442 Y=-7.218 Z=157.573,0.043396
X=-206.283 Y=-7.163 Z=157.571,0.046524
X=-206.053 Y=-7.161 Z=157.588,0.042595
X=-205.930 Y=-7.211 Z=157.508,0.04543
X=-205.916 Y=-7.339 Z=157.434,0.042866
X=-205.935 Y=-7.424 Z=157.464,0.045286
X=-205.949 Y=-7.487 Z=157.556,0.045085
X=-205.985 Y=-7.529 Z=157.641,0.043565
X=-206.061 Y=-7.571 Z=157.710,0.043931
X=-206.099 Y=-7.620 Z=157.734,0.044323
X=-206.223 Y=-7.659 Z=157.748,0.045867
X=-206.371 Y=-7.621 Z=157.791,0.043172
X=-206.513 Y=-7.578 Z=157.832,0.043825
X=-206.638 Y=-7.517 Z=157.880,0.0454
X=-206.733 Y=-7.443 Z=157.951,0.040388
X=-206.817 Y=-7.384 Z=157.968,0.04501
X=-206.863 Y=-7.400 Z=157.966,0.04575
X=-206.761 Y=-7.451 Z=158.009,0.042716
X=-206.592 Y=-7.397 Z=158.006,0.045634
X=-206.330 Y=-7.331 Z=158.018,0.044583
