Position, Time(s)
X=-213.700 Y=-2.535 Z=161.057,0.243217
X=-213.675 Y=-2.757 Z=161.135,0.4
X=-213.728 Y=-3.118 Z=161.247,0.012064
X=-213.794 Y=-3.226 Z=161.236,0.039636
X=-213.854 Y=-3.279 Z=161.210,0.031541
X=-213.916 Y=-3.319 Z=161.186,0.037013
X=-213.975 Y=-3.377 Z=161.109,0.039119
X=-213.955 Y=-3.480 Z=160.960,0.036425
X=-213.986 Y=-3.485 Z=160.766,0.036137
X=-214.054 Y=-3.413 Z=160.560,0.037611
X=-214.112 Y=-3.261 Z=160.372,0.036828
X=-214.184 Y=-3.042 Z=160.271,0.036763
X=-214.264 Y=-2.733 Z=160.117,0.038124
X=-214.378 Y=-2.452 Z=159.987,0.036529
X=-214.486 Y=-2.220 Z=159.851,0.036488
X=-214.591 Y=-1.891 Z=159.681,0.038214
X=-214.618 Y=-1.677 Z=159.574,0.036625
X=-214.565 Y=-1.541 Z=159.460,0.036416
X=-214.453 Y=-1.525 Z=159.359,0.037716
X=-214.274 Y=-1.642 Z=159.253,0.036547
X=-214.117 Y=-1.850 Z=159.187,0.03663
X=-213.981 Y=-2.201 Z=159.079,0.036972
X=-213.819 Y=-2.750 Z=158.998,0.035531
X=-213.783 Y=-3.317 Z=158.940,0.044698
X=-213.744 Y=-3.949 Z=158.942,0.057354
X=-213.703 Y=-4.685 Z=159.011,0.052796
X=-213.620 Y=-5.532 Z=159.099,0.054998
X=-213.468 Y=-6.462 Z=159.270,0.05587
X=-213.226 Y=-7.527 Z=159.323,0.054989
X=-213.097 Y=-8.705 Z=159.192,0.055347
X=-213.005 Y=-10.081 Z=159.246,0.055984
X=-212.735 Y=-11.612 Z=159.461,0.054617
X=-212.328 Y=-13.053 Z=159.516,0.056247
X=-211.823 Y=-14.263 Z=159.267,0.056049
X=-211.265 Y=-15.208 Z=158.678,0.054837
X=-210.754 Y=-15.790 Z=157.768,0.05534
X=-210.438 Y=-16.065 Z=156.583,0.055457
X=-210.170 Y=-16.073 Z=155.605,0.055529
X=-209.983 Y=-15.917 Z=155.029,0.056637
X=-209.808 Y=-15.568 Z=154.611,0.057368
X=-209.742 Y=-15.380 Z=154.451,0.052441
X=-209.592 Y=-14.974 Z=154.062,0.030063
X=-209.567 Y=-14.538 Z=153.557,0.037816
X=-209.521 Y=-13.989 Z=153.093,0.047075
X=-209.463 Y=-13.373 Z=152.950,0.04347
X=-209.364 Y=-12.728 Z=153.261,0.042316
X=-209.282 Y=-12.077 Z=153.697,0.043683
X=-209.207 Y=-11.395 Z=154.242,0.044237
X=-208.685 Y=-10.460 Z=155.472,0.045264
X=-207.725 Y=-9.280 Z=157.945,0.044873
X=-208.098 Y=-8.205 Z=160.499,0.043129
X=-209.455 Y=-7.460 Z=161.001,0.042446
X=-210.265 Y=-6.727 Z=160.647,0.04485
X=-210.545 Y=-5.876 Z=160.673,0.043563
X=-210.871 Y=-4.659 Z=160.771,0.043982
X=-211.620 Y=-2.861 Z=161.092,0.044316
X=-212.836 Y=-0.648 Z=161.605,0.045522
X=-214.448 Y=1.496 Z=162.014,0.044418
X=-215.805 Y=2.938 Z=162.239,0.045143
X=-216.776 Y=3.980 Z=162.370,0.044953
X=-217.419 Y=4.839 Z=162.308,0.043949
X=-217.939 Y=5.638 Z=162.240,0.042824
X=-218.387 Y=6.412 Z=162.227,0.045087
X=-218.663 Y=7.022 Z=162.088,0.039973
X=-218.788 Y=7.539 Z=161.954,0.044861
X=-218.643 Y=7.984 Z=161.679,0.043764
X=-218.260 Y=8.376 Z=161.282,0.044864
X=-217.584 Y=8.685 Z=160.839,0.044543
X=-216.286 Y=8.722 Z=160.376,0.045796
X=-214.078 Y=8.057 Z=159.861,0.043638
X=-211.596 Y=6.788 Z=159.833,0.04535
X=-209.607 Y=4.991 Z=159.998,0.043131
X=-208.206 Y=3.145 Z=160.083,0.044672
X=-207.365 Y=1.784 Z=159.946,0.044275
X=-206.504 Y=0.860 Z=159.574,0.044507
X=-205.441 Y=0.452 Z=159.061,0.045552
X=-203.902 Y=0.174 Z=158.382,0.043995
X=-202.024 Y=-0.109 Z=157.374,0.044095
X=-199.817 Y=-0.315 Z=155.941,0.04465
X=-197.568 Y=-0.488 Z=153.881,0.044498
X=-195.301 Y=-0.732 Z=151.772,0.044988
X=-192.331 Y=-1.118 Z=150.525,0.045177
X=-189.164 Y=-1.657 Z=149.273,0.04473
X=-185.811 Y=-2.537 Z=148.414,0.044004
X=-181.527 Y=-3.618 Z=147.847,0.04475
X=-178.022 Y=-4.499 Z=147.442,0.04484
