Position, Time(s)
X=-223.289 Y=12.329 Z=160.988,0.008333
X=-223.100 Y=12.607 Z=161.021,0.4
X=-222.437 Y=12.856 Z=160.939,0.015646
X=-222.243 Y=12.900 Z=160.977,0.022938
X=-222.162 Y=12.927 Z=160.985,0.027528
X=-222.131 Y=12.985 Z=161.034,0.036102
X=-222.118 Y=13.062 Z=161.064,0.03563
X=-222.063 Y=13.210 Z=161.061,0.03359
X=-222.100 Y=13.404 Z=161.071,0.043035
X=-222.199 Y=13.630 Z=161.079,0.053623
X=-222.226 Y=13.846 Z=161.072,0.056846
X=-222.161 Y=13.969 Z=161.046,0.056582
X=-222.083 Y=14.061 Z=161.033,0.053295
X=-222.033 Y=14.152 Z=161.051,0.05546
X=-221.823 Y=14.098 Z=161.076,0.055886
X=-221.200 Y=13.858 Z=161.156,0.055142
X=-219.435 Y=12.934 Z=161.402,0.055508
X=-216.876 Y=10.888 Z=161.814,0.057548
X=-215.528 Y=8.713 Z=162.505,0.055895
X=-215.155 Y=7.395 Z=162.621,0.054521
X=-214.943 Y=6.721 Z=162.388,0.055085
X=-214.541 Y=6.033 Z=162.070,0.055333
X=-214.104 Y=5.174 Z=161.769,0.05579
X=-213.850 Y=4.511 Z=161.708,0.054821
X=-213.785 Y=4.186 Z=161.703,0.051626
X=-213.700 Y=3.813 Z=161.714,0.033529
X=-213.611 Y=3.442 Z=161.655,0.04445
X=-213.563 Y=3.102 Z=161.589,0.043741
X=-213.524 Y=2.856 Z=161.528,0.045223
X=-213.476 Y=2.634 Z=161.452,0.044571
X=-213.462 Y=2.515 Z=161.407,0.044006
X=-213.487 Y=2.461 Z=161.421,0.044554
X=-213.536 Y=2.482 Z=161.428,0.04386
X=-213.621 Y=2.612 Z=161.423,0.044452
X=-213.713 Y=2.745 Z=161.422,0.045399
X=-213.757 Y=2.943 Z=161.457,0.043747
X=-213.856 Y=3.276 Z=161.523,0.045243
X=-213.994 Y=3.843 Z=161.710,0.043593
X=-214.215 Y=4.506 Z=162.028,0.04685
X=-214.544 Y=5.221 Z=162.296,0.042174
X=-214.903 Y=5.893 Z=162.452,0.044242
X=-215.328 Y=6.498 Z=162.562,0.046243
X=-215.738 Y=6.978 Z=162.703,0.044124
X=-216.114 Y=7.479 Z=162.851,0.043752
X=-216.555 Y=7.932 Z=162.923,0.044448
X=-216.985 Y=8.401 Z=163.024,0.044108
X=-217.393 Y=8.772 Z=163.022,0.045751
X=-217.695 Y=9.003 Z=163.017,0.040187
X=-217.952 Y=9.131 Z=163.017,0.044357
X=-218.171 Y=9.229 Z=162.966,0.044132
X=-218.388 Y=9.374 Z=162.975,0.045228
X=-218.519 Y=9.463 Z=162.950,0.043881
X=-218.652 Y=9.579 Z=162.932,0.045419
X=-218.740 Y=9.670 Z=162.883,0.045102
X=-218.786 Y=9.777 Z=162.785,0.043738
X=-218.821 Y=9.892 Z=162.620,0.043682
X=-218.834 Y=9.966 Z=162.482,0.044292
X=-218.795 Y=10.023 Z=162.339,0.044138
X=-218.719 Y=10.014 Z=162.238,0.044919
X=-218.558 Y=9.981 Z=162.056,0.043686
X=-218.424 Y=9.954 Z=161.871,0.045287
X=-218.298 Y=10.028 Z=161.688,0.044319
X=-218.272 Y=10.149 Z=161.598,0.044333
X=-218.322 Y=10.329 Z=161.554,0.043833
X=-218.331 Y=10.431 Z=161.491,0.045706
X=-218.413 Y=10.551 Z=161.391,0.045725
X=-218.493 Y=10.691 Z=161.286,0.042761
X=-218.545 Y=10.841 Z=161.180,0.044232
X=-218.653 Y=11.024 Z=161.100,0.044701
X=-218.779 Y=11.185 Z=161.027,0.045177
X=-218.884 Y=11.340 Z=160.977,0.040516
X=-218.995 Y=11.514 Z=160.922,0.044233
X=-219.155 Y=11.747 Z=160.796,0.044123
X=-219.374 Y=12.063 Z=160.702,0.044359
X=-219.753 Y=12.510 Z=160.599,0.044997
X=-220.356 Y=13.069 Z=160.419,0.043789
X=-220.949 Y=13.563 Z=160.303,0.046236
X=-221.461 Y=13.921 Z=160.168,0.042953
X=-221.822 Y=14.219 Z=160.077,0.04405
X=-222.060 Y=14.413 Z=160.036,0.044973
X=-222.184 Y=14.539 Z=160.004,0.044263
X=-222.186 Y=14.621 Z=159.982,0.044114
X=-222.068 Y=14.669 Z=159.987,0.044702
X=-221.897 Y=14.797 Z=160.027,0.043949
X=-221.640 Y=14.916 Z=160.001,0.043818
X=-221.195 Y=14.892 Z=159.955,0.04455
X=-220.306 Y=14.683 Z=159.889,0.045673
X=-218.949 Y=14.184 Z=159.804,0.044468
X=-217.392 Y=13.343 Z=159.644,0.044984
X=-216.017 Y=12.338 Z=159.594,0.043527
X=-214.938 Y=11.258 Z=159.503,0.045427
X=-214.045 Y=10.240 Z=159.351,0.044267
X=-213.398 Y=9.260 Z=159.227,0.04083
X=-212.960 Y=8.323 Z=159.067,0.043772
X=-212.627 Y=7.566 Z=158.971,0.044483
X=-212.430 Y=7.091 Z=158.952,0.044466
X=-212.247 Y=6.824 Z=158.890,0.043712
X=-212.079 Y=6.634 Z=158.884,0.044788
X=-211.962 Y=6.437 Z=158.762,0.04571
X=-211.894 Y=6.218 Z=158.631,0.042975
X=-211.865 Y=6.014 Z=158.484,0.044707
X=-211.884 Y=5.823 Z=158.336,0.043441
X=-211.875 Y=5.730 Z=158.164,0.045474
X=-211.843 Y=5.659 Z=157.921,0.044125
X=-211.816 Y=5.633 Z=157.662,0.044345
X=-211.782 Y=5.712 Z=157.414,0.044413
X=-211.777 Y=5.849 Z=157.244,0.04482
X=-211.736 Y=5.999 Z=157.234,0.043994
X=-211.735 Y=6.191 Z=157.344,0.044738
X=-211.749 Y=6.410 Z=157.418,0.043656
X=-211.793 Y=6.595 Z=157.386,0.044685
X=-211.810 Y=6.763 Z=157.336,0.044072
X=-211.832 Y=6.964 Z=157.225,0.044388
X=-211.827 Y=7.192 Z=157.071,0.045477
X=-211.720 Y=7.426 Z=156.817,0.044495
