Position, Time(s)
X=-212.367 Y=-2.836 Z=159.253,0.008333
X=-212.125 Y=-2.906 Z=160.082,0.4
X=-212.777 Y=-2.829 Z=162.005,0.01481
X=-212.816 Y=-2.851 Z=162.254,0.0225
X=-212.753 Y=-2.917 Z=162.447,0.028749
X=-212.526 Y=-2.904 Z=162.516,0.035143
X=-212.238 Y=-2.920 Z=162.533,0.035005
X=-211.962 Y=-2.942 Z=162.439,0.034418
X=-211.818 Y=-2.979 Z=162.256,0.035005
X=-211.735 Y=-3.040 Z=162.040,0.03361
X=-211.633 Y=-3.056 Z=161.882,0.03314
X=-211.513 Y=-3.074 Z=161.793,0.03322
X=-211.371 Y=-3.106 Z=161.684,0.033404
X=-211.323 Y=-3.115 Z=161.541,0.033351
X=-211.251 Y=-3.082 Z=161.465,0.0333
X=-211.197 Y=-3.104 Z=161.460,0.034054
X=-211.169 Y=-3.117 Z=161.396,0.033971
X=-211.110 Y=-3.018 Z=161.379,0.033522
X=-211.138 Y=-2.922 Z=161.321,0.033138
X=-211.128 Y=-2.900 Z=161.249,0.033035
X=-211.118 Y=-2.941 Z=161.199,0.033199
X=-211.093 Y=-3.086 Z=161.205,0.033162
X=-211.061 Y=-3.278 Z=161.272,0.033112
X=-211.007 Y=-3.422 Z=161.251,0.032922
X=-211.011 Y=-3.506 Z=161.217,0.032845
X=-211.023 Y=-3.553 Z=161.171,0.033169
X=-211.045 Y=-3.558 Z=161.145,0.031747
X=-211.043 Y=-3.485 Z=161.233,0.03312
X=-211.057 Y=-3.446 Z=161.273,0.032775
X=-211.093 Y=-3.297 Z=161.295,0.032654
X=-211.096 Y=-3.152 Z=161.312,0.032904
X=-211.082 Y=-3.011 Z=161.304,0.032954
X=-211.102 Y=-2.873 Z=161.279,0.032435
X=-211.059 Y=-2.751 Z=161.139,0.032936
X=-211.004 Y=-2.702 Z=161.030,0.050793
X=-210.919 Y=-2.678 Z=160.888,0.056028
X=-210.804 Y=-2.511 Z=160.773,0.054299
X=-210.767 Y=-2.275 Z=160.550,0.055387
X=-210.649 Y=-1.940 Z=160.210,0.05559
X=-210.483 Y=-1.571 Z=159.693,0.055481
X=-210.289 Y=-1.052 Z=158.922,0.055728
X=-209.864 Y=-0.432 Z=157.688,0.055308
X=-209.618 Y=0.311 Z=156.053,0.055794
X=-209.190 Y=1.077 Z=155.066,0.055554
X=-208.562 Y=1.924 Z=154.575,0.054963
X=-207.952 Y=2.622 Z=154.169,0.056124
X=-207.404 Y=3.263 Z=153.914,0.055467
X=-206.941 Y=3.864 Z=153.609,0.054808
X=-206.667 Y=4.388 Z=153.289,0.056451
X=-206.682 Y=4.849 Z=152.904,0.056338
X=-206.904 Y=5.228 Z=152.539,0.05442
X=-206.999 Y=5.318 Z=152.469,0.055934
X=-207.180 Y=5.468 Z=152.375,0.027695
X=-207.403 Y=5.558 Z=152.329,0.036145
X=-207.755 Y=5.600 Z=152.271,0.044488
X=-208.112 Y=5.563 Z=152.263,0.043183
X=-208.484 Y=5.445 Z=152.264,0.044812
