Position, Time(s)
X=-216.026 Y=-9.304 Z=161.620,0.008333
X=-215.193 Y=-6.479 Z=161.810,0.4
X=-216.761 Y=1.921 Z=162.202,0.015122
X=-217.691 Y=3.150 Z=162.160,0.02823
X=-218.603 Y=3.973 Z=162.172,0.028615
X=-219.505 Y=4.577 Z=162.151,0.037656
X=-220.373 Y=5.125 Z=162.120,0.039501
X=-220.879 Y=5.409 Z=162.146,0.037001
X=-221.302 Y=5.624 Z=162.150,0.03683
X=-221.656 Y=5.853 Z=162.201,0.038201
X=-221.886 Y=5.989 Z=162.243,0.03666
X=-222.169 Y=6.096 Z=162.253,0.037605
X=-222.318 Y=6.200 Z=162.219,0.03646
X=-222.387 Y=6.288 Z=162.208,0.036065
X=-222.420 Y=6.335 Z=162.256,0.036435
X=-222.414 Y=6.326 Z=162.290,0.037424
X=-222.256 Y=6.304 Z=162.288,0.041821
X=-222.014 Y=6.408 Z=162.271,0.05504
X=-221.715 Y=6.451 Z=162.238,0.054684
X=-221.279 Y=6.443 Z=162.213,0.055184
X=-220.727 Y=6.386 Z=162.148,0.056356
X=-219.703 Y=6.020 Z=162.051,0.058983
X=-217.977 Y=5.164 Z=161.700,0.05211
X=-216.119 Y=3.805 Z=161.384,0.05623
X=-214.705 Y=2.136 Z=161.263,0.056053
X=-213.638 Y=0.383 Z=161.145,0.055078
X=-212.865 Y=-1.311 Z=160.745,0.055
X=-212.236 Y=-2.664 Z=159.952,0.056141
X=-211.437 Y=-3.638 Z=158.663,0.055234
X=-210.588 Y=-4.366 Z=156.421,0.056219
X=-210.052 Y=-5.069 Z=153.994,0.054432
X=-209.298 Y=-5.684 Z=153.028,0.060048
X=-208.147 Y=-6.208 Z=152.765,0.051876
X=-207.851 Y=-6.351 Z=152.564,0.054068
X=-207.426 Y=-6.663 Z=151.938,0.029817
X=-206.902 Y=-7.093 Z=151.145,0.03614
X=-206.266 Y=-7.573 Z=150.281,0.037644
X=-205.853 Y=-8.188 Z=149.448,0.041496
X=-205.326 Y=-8.807 Z=148.817,0.04352
X=-204.788 Y=-9.403 Z=148.322,0.042838
X=-204.336 Y=-9.904 Z=147.890,0.044921
X=-203.951 Y=-10.270 Z=147.431,0.04508
X=-203.592 Y=-10.473 Z=147.130,0.04304
X=-203.127 Y=-10.522 Z=147.098,0.04701
X=-202.437 Y=-10.472 Z=147.203,0.042108
X=-201.653 Y=-10.307 Z=147.300,0.044046
X=-200.722 Y=-10.029 Z=147.292,0.044523
X=-199.717 Y=-9.697 Z=147.091,0.044139
X=-198.528 Y=-9.316 Z=146.841,0.044579
X=-197.129 Y=-8.829 Z=146.588,0.04521
X=-195.548 Y=-8.287 Z=146.360,0.043941
