Position, Time(s)
X=-230.227 Y=9.813 Z=157.122,0.16275
X=-229.909 Y=10.332 Z=156.725,0.4
X=-230.083 Y=10.724 Z=157.437,0.013498
X=-230.195 Y=10.775 Z=157.436,0.033406
X=-230.326 Y=10.813 Z=157.346,0.043936
X=-230.446 Y=10.915 Z=157.249,0.060772
X=-230.565 Y=10.891 Z=157.039,0.056304
X=-230.698 Y=10.929 Z=156.897,0.053705
X=-230.897 Y=11.040 Z=156.885,0.057565
X=-230.919 Y=10.943 Z=157.041,0.054535
X=-230.941 Y=10.817 Z=157.039,0.051194
X=-230.860 Y=10.747 Z=156.945,0.052822
X=-230.769 Y=10.739 Z=156.953,0.053897
X=-230.616 Y=10.727 Z=156.955,0.053362
X=-230.486 Y=10.772 Z=156.672,0.053505
X=-230.316 Y=10.843 Z=156.613,0.050757
X=-230.149 Y=10.819 Z=156.715,0.052049
X=-230.015 Y=10.774 Z=156.665,0.055579
X=-229.812 Y=10.766 Z=156.505,0.054865
X=-229.562 Y=10.790 Z=156.440,0.053109
X=-229.373 Y=10.811 Z=156.355,0.052271
X=-229.297 Y=10.847 Z=156.153,0.056711
X=-229.340 Y=10.866 Z=155.952,0.053268
X=-229.472 Y=10.826 Z=155.621,0.055853
X=-229.649 Y=10.792 Z=155.076,0.0558
X=-229.709 Y=10.725 Z=154.825,0.054107
X=-229.771 Y=10.701 Z=154.887,0.053147
X=-229.937 Y=10.647 Z=154.860,0.056238
X=-230.090 Y=10.533 Z=154.831,0.055084
X=-230.307 Y=10.469 Z=155.048,0.056482
X=-230.537 Y=10.415 Z=155.186,0.053713
X=-230.809 Y=10.308 Z=155.248,0.056174
X=-230.961 Y=10.167 Z=155.242,0.056065
X=-231.106 Y=10.114 Z=155.210,0.054645
X=-231.180 Y=10.094 Z=155.218,0.056925
X=-231.246 Y=10.090 Z=155.248,0.056429
X=-231.277 Y=10.082 Z=155.267,0.054769
X=-231.248 Y=10.096 Z=155.257,0.055605
X=-231.258 Y=10.130 Z=155.329,0.053241
X=-231.158 Y=10.194 Z=155.382,0.058816
X=-230.970 Y=10.234 Z=155.441,0.053468
X=-230.750 Y=10.297 Z=155.481,0.055155
X=-230.459 Y=10.326 Z=155.445,0.055612
X=-230.098 Y=10.368 Z=155.374,0.055745
X=-229.779 Y=10.351 Z=155.221,0.052783
X=-229.413 Y=10.341 Z=155.085,0.054284
X=-229.087 Y=10.287 Z=154.917,0.05591
X=-228.742 Y=10.258 Z=154.732,0.055484
X=-228.432 Y=10.313 Z=154.503,0.05517
X=-228.083 Y=10.329 Z=154.050,0.055363
X=-227.762 Y=10.398 Z=153.779,0.056066
X=-227.422 Y=10.448 Z=153.754,0.054527
X=-227.139 Y=10.530 Z=153.819,0.056439
X=-226.963 Y=10.549 Z=153.822,0.056403
X=-226.806 Y=10.586 Z=153.834,0.055378
X=-226.649 Y=10.534 Z=153.875,0.055453
X=-226.495 Y=10.509 Z=154.019,0.055955
X=-226.419 Y=10.568 Z=154.244,0.054933
X=-226.408 Y=10.575 Z=154.456,0.054881
X=-226.425 Y=10.650 Z=154.514,0.055771
X=-226.407 Y=10.704 Z=154.421,0.054702
X=-226.341 Y=10.798 Z=154.484,0.056525
X=-226.269 Y=10.921 Z=154.656,0.055562
X=-226.202 Y=11.006 Z=154.750,0.053293
X=-226.006 Y=11.163 Z=154.774,0.055936
X=-225.697 Y=11.349 Z=154.704,0.054275
X=-225.370 Y=11.622 Z=154.629,0.057153
X=-224.960 Y=11.928 Z=154.633,0.054001
X=-224.615 Y=12.270 Z=154.675,0.054067
X=-224.319 Y=12.639 Z=154.799,0.057054
X=-224.050 Y=13.043 Z=154.881,0.054083
X=-223.888 Y=13.405 Z=154.910,0.057331
X=-223.807 Y=13.626 Z=154.984,0.057256
X=-223.849 Y=13.831 Z=155.151,0.053531
X=-224.066 Y=14.033 Z=155.444,0.054355
X=-224.458 Y=14.296 Z=155.833,0.056003
X=-225.037 Y=14.586 Z=156.201,0.056506
X=-225.728 Y=15.112 Z=156.744,0.05439
X=-226.552 Y=15.998 Z=157.421,0.055832
X=-227.732 Y=16.880 Z=157.962,0.056236
X=-228.786 Y=17.297 Z=158.160,0.054523
X=-229.640 Y=17.355 Z=158.025,0.05182
X=-230.171 Y=17.180 Z=158.127,0.056738
X=-230.490 Y=17.098 Z=158.253,0.054989
X=-230.773 Y=17.173 Z=158.324,0.055172
X=-230.875 Y=17.180 Z=158.313,0.055355
X=-230.864 Y=17.167 Z=158.305,0.057181
X=-230.800 Y=17.270 Z=158.500,0.055877
X=-230.873 Y=17.473 Z=158.688,0.054821
X=-230.896 Y=17.566 Z=158.663,0.05461
X=-230.938 Y=17.752 Z=158.571,0.055475
X=-230.897 Y=17.954 Z=158.476,0.055772
X=-230.893 Y=18.185 Z=158.447,0.056289
X=-230.883 Y=18.435 Z=158.494,0.054288
X=-230.716 Y=18.597 Z=158.416,0.055791
X=-230.401 Y=18.774 Z=158.263,0.056343
X=-230.109 Y=19.006 Z=158.123,0.055556
X=-229.733 Y=19.291 Z=157.766,0.054302
X=-229.224 Y=19.286 Z=157.134,0.05574
X=-228.368 Y=19.006 Z=156.020,0.051934
