Position, Time(s)
X=-229.623 Y=11.569 Z=156.764,0.008334
X=-229.536 Y=12.135 Z=156.719,0.4
X=-229.635 Y=12.158 Z=157.526,0.013287
X=-229.489 Y=12.199 Z=157.682,0.029911
X=-229.396 Y=12.312 Z=157.626,0.041977
X=-229.320 Y=12.535 Z=157.524,0.056141
X=-229.253 Y=12.857 Z=157.459,0.054049
X=-229.175 Y=13.111 Z=157.356,0.052746
X=-229.173 Y=13.278 Z=157.299,0.054531
X=-229.213 Y=13.280 Z=157.172,0.053295
X=-229.195 Y=13.261 Z=157.071,0.049444
X=-229.229 Y=13.180 Z=156.919,0.051196
X=-229.214 Y=13.082 Z=156.843,0.049089
X=-229.213 Y=12.958 Z=156.817,0.050177
X=-229.123 Y=12.864 Z=156.780,0.048358
X=-229.140 Y=12.706 Z=156.727,0.050391
X=-229.228 Y=12.540 Z=156.641,0.049037
X=-229.285 Y=12.412 Z=156.612,0.048675
X=-229.276 Y=12.465 Z=156.409,0.050107
X=-229.270 Y=12.570 Z=156.159,0.050159
X=-229.308 Y=12.779 Z=155.967,0.050655
X=-229.396 Y=12.961 Z=155.946,0.048407
X=-229.552 Y=13.207 Z=155.976,0.053845
X=-229.687 Y=13.385 Z=155.887,0.056778
X=-229.756 Y=13.547 Z=155.488,0.054287
X=-229.897 Y=13.695 Z=155.010,0.054437
X=-229.995 Y=13.803 Z=155.079,0.055822
X=-230.169 Y=13.814 Z=155.260,0.056207
X=-230.477 Y=13.897 Z=155.230,0.055058
X=-230.710 Y=14.046 Z=155.052,0.055544
X=-230.867 Y=14.226 Z=154.926,0.054975
X=-230.936 Y=14.452 Z=154.875,0.055746
X=-230.979 Y=14.631 Z=154.828,0.055536
X=-231.032 Y=14.844 Z=154.821,0.055946
X=-231.208 Y=14.994 Z=154.849,0.05492
X=-231.350 Y=15.053 Z=154.811,0.056313
X=-231.488 Y=15.113 Z=154.722,0.057397
X=-231.590 Y=15.122 Z=154.660,0.054687
X=-231.727 Y=15.083 Z=154.631,0.050991
X=-231.810 Y=15.078 Z=154.616,0.055265
X=-231.890 Y=15.068 Z=154.629,0.055276
X=-232.014 Y=15.082 Z=154.671,0.055885
X=-232.049 Y=15.098 Z=154.754,0.056359
X=-232.122 Y=15.226 Z=154.887,0.054652
X=-232.260 Y=15.476 Z=154.986,0.055915
X=-232.340 Y=15.875 Z=154.947,0.055156
X=-232.546 Y=16.334 Z=154.886,0.056002
X=-232.853 Y=16.932 Z=154.899,0.05601
X=-233.223 Y=17.543 Z=154.974,0.055016
X=-233.615 Y=18.261 Z=155.200,0.056216
X=-234.050 Y=18.990 Z=155.333,0.056058
X=-234.554 Y=19.561 Z=155.440,0.054768
X=-235.043 Y=20.148 Z=155.546,0.057647
X=-235.514 Y=20.730 Z=155.630,0.053317
X=-235.955 Y=21.267 Z=155.657,0.055582
X=-236.483 Y=21.704 Z=155.561,0.055688
X=-237.014 Y=21.910 Z=155.373,0.052415
X=-237.403 Y=22.011 Z=155.246,0.055521
X=-237.729 Y=22.068 Z=155.051,0.055063
X=-237.847 Y=22.013 Z=155.028,0.055139
X=-237.844 Y=21.913 Z=155.044,0.05558
X=-237.831 Y=21.719 Z=155.068,0.055576
X=-237.642 Y=21.450 Z=155.240,0.054553
X=-236.958 Y=21.036 Z=155.867,0.056701
X=-235.887 Y=20.505 Z=156.623,0.05509
X=-234.695 Y=19.769 Z=157.074,0.055445
X=-233.567 Y=18.898 Z=157.321,0.055954
X=-232.603 Y=18.135 Z=157.560,0.055901
X=-231.690 Y=17.425 Z=157.744,0.055052
X=-230.767 Y=16.772 Z=157.916,0.055638
X=-229.819 Y=16.026 Z=158.054,0.055282
X=-228.916 Y=15.393 Z=157.913,0.056686
X=-228.180 Y=14.848 Z=157.716,0.054578
X=-227.666 Y=14.525 Z=157.541,0.056902
X=-227.364 Y=14.355 Z=157.392,0.050714
X=-227.254 Y=14.267 Z=157.338,0.056067
X=-227.255 Y=14.284 Z=157.217,0.055967
X=-227.344 Y=14.351 Z=156.727,0.054481
X=-227.394 Y=14.347 Z=155.450,0.056034
X=-227.643 Y=14.340 Z=153.557,0.056058
X=-227.874 Y=14.605 Z=152.786,0.055664
X=-228.051 Y=15.146 Z=152.925,0.054346
X=-228.390 Y=15.524 Z=152.806,0.056509
X=-228.738 Y=15.898 Z=152.374,0.056022
X=-229.044 Y=16.296 Z=152.320,0.055774
X=-229.315 Y=16.563 Z=152.585,0.054565
X=-229.569 Y=16.764 Z=153.129,0.054283
X=-229.712 Y=17.034 Z=154.000,0.056354
X=-229.906 Y=17.314 Z=155.122,0.055547
X=-230.195 Y=17.499 Z=156.072,0.056145
X=-230.673 Y=17.677 Z=156.327,0.055473
X=-230.990 Y=17.816 Z=156.236,0.055809
X=-230.911 Y=17.866 Z=156.116,0.050418
X=-230.706 Y=17.940 Z=156.227,0.055019
X=-230.482 Y=18.056 Z=156.320,0.056668
X=-230.217 Y=18.170 Z=156.397,0.055959
X=-229.900 Y=18.284 Z=156.475,0.055789
X=-229.508 Y=18.266 Z=156.521,0.055735
X=-229.255 Y=18.374 Z=156.588,0.054804
X=-229.067 Y=18.480 Z=156.564,0.055143
X=-228.695 Y=18.496 Z=156.604,0.055689
X=-227.957 Y=18.090 Z=156.609,0.055608
