Position, Time(s)
X=-222.419 Y=16.581 Z=166.880,0.213067
X=-222.157 Y=16.599 Z=166.893,0.4
X=-221.183 Y=16.261 Z=166.826,0.011893
X=-220.784 Y=16.201 Z=166.769,0.057377
X=-220.590 Y=16.185 Z=166.740,0.068667
X=-220.444 Y=16.081 Z=166.752,0.051735
X=-220.083 Y=15.991 Z=166.642,0.058529
X=-219.927 Y=15.907 Z=166.637,0.056217
X=-219.746 Y=15.968 Z=166.598,0.052688
X=-219.550 Y=16.210 Z=166.552,0.053863
X=-219.591 Y=16.345 Z=166.601,0.061328
X=-219.685 Y=16.486 Z=166.586,0.056453
X=-219.820 Y=16.538 Z=166.522,0.054715
X=-220.019 Y=16.591 Z=166.503,0.058066
X=-220.187 Y=16.552 Z=166.501,0.052639
X=-220.328 Y=16.543 Z=166.395,0.054981
X=-220.302 Y=16.541 Z=166.295,0.058671
X=-220.308 Y=16.659 Z=166.221,0.053366
X=-220.350 Y=16.501 Z=166.118,0.054508
X=-220.473 Y=16.352 Z=165.924,0.056542
X=-220.573 Y=16.215 Z=165.667,0.061373
X=-220.699 Y=16.214 Z=165.243,0.053787
X=-220.682 Y=16.343 Z=165.290,0.051344
X=-220.722 Y=16.307 Z=165.717,0.055259
X=-220.991 Y=16.075 Z=165.961,0.056024
X=-221.240 Y=15.795 Z=166.062,0.055982
X=-221.476 Y=15.742 Z=166.215,0.054225
X=-221.784 Y=15.806 Z=166.412,0.052162
X=-222.086 Y=15.497 Z=166.560,0.056378
X=-222.319 Y=15.020 Z=166.619,0.05514
X=-222.449 Y=14.651 Z=166.851,0.055502
X=-222.570 Y=14.753 Z=167.111,0.058999
X=-222.608 Y=14.796 Z=167.214,0.054063
X=-222.687 Y=14.662 Z=167.033,0.054557
X=-222.644 Y=14.654 Z=166.876,0.054816
X=-222.568 Y=14.745 Z=166.912,0.054848
X=-222.452 Y=14.782 Z=167.104,0.055807
X=-222.347 Y=14.684 Z=167.070,0.055001
X=-222.271 Y=14.591 Z=166.855,0.055958
X=-222.125 Y=14.504 Z=166.658,0.056258
X=-222.018 Y=14.412 Z=166.410,0.054526
X=-221.999 Y=14.490 Z=166.401,0.056161
X=-222.180 Y=14.788 Z=166.443,0.055197
X=-222.386 Y=14.958 Z=166.513,0.055645
X=-222.549 Y=15.068 Z=166.498,0.055998
X=-222.666 Y=15.226 Z=166.559,0.052136
X=-222.782 Y=15.464 Z=166.615,0.054027
X=-222.984 Y=15.625 Z=166.663,0.055817
X=-223.118 Y=15.650 Z=166.634,0.056318
X=-223.152 Y=15.509 Z=166.389,0.057414
X=-223.199 Y=15.436 Z=166.373,0.053969
X=-223.282 Y=15.465 Z=166.257,0.055855
X=-223.427 Y=15.570 Z=166.136,0.055294
X=-223.520 Y=15.683 Z=166.292,0.054708
X=-223.575 Y=15.777 Z=166.345,0.05498
X=-223.587 Y=15.836 Z=166.332,0.056404
X=-223.605 Y=15.630 Z=166.308,0.055702
X=-223.528 Y=15.316 Z=166.222,0.056316
X=-223.495 Y=15.030 Z=166.148,0.056009
X=-223.463 Y=14.815 Z=166.023,0.053902
X=-223.439 Y=14.548 Z=166.026,0.055381
X=-223.345 Y=14.218 Z=165.931,0.05609
X=-223.209 Y=13.931 Z=165.754,0.054371
X=-222.929 Y=13.592 Z=165.731,0.052999
X=-222.688 Y=13.412 Z=165.729,0.056108
X=-222.395 Y=13.330 Z=165.733,0.05539
X=-222.172 Y=13.268 Z=165.661,0.057388
X=-222.115 Y=13.241 Z=165.650,0.055298
X=-222.202 Y=13.236 Z=165.640,0.055153
X=-222.324 Y=13.238 Z=165.714,0.055337
X=-222.482 Y=13.374 Z=165.737,0.054889
X=-222.762 Y=13.701 Z=165.747,0.05495
X=-223.124 Y=14.008 Z=165.884,0.055336
X=-223.471 Y=14.409 Z=165.967,0.057661
X=-223.697 Y=14.730 Z=165.964,0.053528
X=-223.823 Y=15.016 Z=165.884,0.056241
X=-223.923 Y=15.297 Z=165.907,0.054504
X=-223.876 Y=15.542 Z=165.936,0.056189
X=-223.836 Y=15.699 Z=165.955,0.055263
X=-223.679 Y=15.849 Z=166.043,0.05653
X=-223.324 Y=16.017 Z=166.070,0.053825
X=-222.917 Y=16.280 Z=166.149,0.053144
X=-222.533 Y=16.613 Z=166.108,0.056268
X=-222.203 Y=16.990 Z=166.119,0.054473
X=-221.852 Y=17.403 Z=166.209,0.055966
X=-221.668 Y=17.769 Z=166.110,0.053992
X=-221.434 Y=18.130 Z=166.080,0.058115
X=-221.268 Y=18.406 Z=166.070,0.055474
X=-221.247 Y=18.524 Z=166.083,0.054462
X=-221.158 Y=18.531 Z=166.259,0.056267
X=-221.075 Y=18.451 Z=166.310,0.054687
X=-221.083 Y=18.334 Z=166.235,0.056196
X=-221.225 Y=18.225 Z=166.182,0.054853
X=-221.254 Y=18.137 Z=166.180,0.054905
X=-221.319 Y=17.964 Z=166.213,0.056272
X=-221.388 Y=17.698 Z=166.136,0.055826
X=-221.430 Y=17.499 Z=166.083,0.055629
X=-221.439 Y=17.245 Z=166.059,0.054859
X=-221.492 Y=16.965 Z=166.038,0.056168
X=-221.534 Y=16.729 Z=165.959,0.051606
X=-221.604 Y=16.492 Z=165.886,0.055055
X=-221.666 Y=16.295 Z=165.872,0.056738
X=-221.750 Y=16.115 Z=165.853,0.054208
X=-221.790 Y=15.985 Z=165.826,0.055959
X=-221.741 Y=15.883 Z=165.836,0.055401
X=-221.674 Y=15.846 Z=165.837,0.057114
X=-221.621 Y=15.867 Z=165.777,0.05365
X=-221.594 Y=15.904 Z=165.758,0.055936
X=-221.615 Y=15.933 Z=165.780,0.056438
X=-221.598 Y=15.978 Z=165.795,0.05539
X=-221.643 Y=15.982 Z=165.834,0.054911
X=-221.676 Y=16.079 Z=165.818,0.058101
X=-221.737 Y=16.107 Z=165.846,0.053169
X=-221.858 Y=16.108 Z=165.926,0.056148
X=-221.891 Y=16.126 Z=165.945,0.055135
X=-221.908 Y=16.215 Z=165.942,0.055432
X=-222.005 Y=16.275 Z=165.916,0.055621
X=-222.079 Y=16.259 Z=165.936,0.050615
X=-222.128 Y=16.197 Z=165.976,0.056693
X=-222.210 Y=16.207 Z=165.974,0.055461
X=-222.251 Y=16.114 Z=165.941,0.055582
X=-222.325 Y=16.011 Z=165.896,0.056163
X=-222.325 Y=15.885 Z=165.861,0.05526
X=-222.386 Y=15.723 Z=165.839,0.055262
X=-222.381 Y=15.522 Z=165.801,0.058123
X=-222.420 Y=15.346 Z=165.768,0.052642
X=-222.417 Y=15.113 Z=165.754,0.056096
X=-222.437 Y=14.890 Z=165.764,0.05524
X=-222.430 Y=14.696 Z=165.773,0.054764
X=-222.413 Y=14.475 Z=165.703,0.05566
X=-222.406 Y=14.225 Z=165.651,0.056903
X=-222.353 Y=13.971 Z=165.644,0.054694
X=-222.342 Y=13.772 Z=165.634,0.055596
X=-222.255 Y=13.506 Z=165.609,0.055825
X=-222.151 Y=13.339 Z=165.570,0.054929
X=-221.979 Y=13.065 Z=165.555,0.05253
X=-221.809 Y=12.776 Z=165.499,0.055617
X=-221.588 Y=12.465 Z=165.483,0.055217
X=-221.223 Y=12.121 Z=165.519,0.057491
X=-220.826 Y=11.928 Z=165.384,0.053876
X=-220.177 Y=11.874 Z=165.164,0.055913
X=-219.322 Y=11.895 Z=165.117,0.055509
X=-218.211 Y=11.997 Z=165.155,0.055681
X=-216.970 Y=12.137 Z=165.098,0.055649
X=-215.562 Y=12.277 Z=165.054,0.054613
X=-213.995 Y=12.544 Z=165.026,0.05618
X=-212.376 Y=13.028 Z=164.863,0.055155
X=-210.549 Y=13.672 Z=164.743,0.055265
X=-208.515 Y=14.527 Z=164.566,0.056313
X=-206.449 Y=15.547 Z=164.299,0.055158
X=-204.226 Y=16.635 Z=164.415,0.056253
X=-202.094 Y=17.664 Z=164.502,0.0551
X=-199.986 Y=18.537 Z=164.550,0.05659
X=-197.865 Y=19.157 Z=164.815,0.050704
X=-196.078 Y=19.530 Z=165.018,0.055818
X=-194.646 Y=19.819 Z=165.496,0.055904
X=-193.454 Y=19.943 Z=165.901,0.05465
X=-192.508 Y=19.793 Z=165.742,0.054617
X=-191.606 Y=19.422 Z=165.178,0.056741
X=-190.338 Y=18.826 Z=165.315,0.054598
X=-188.959 Y=18.095 Z=165.495,0.055378
X=-187.564 Y=16.924 Z=165.589,0.05629
X=-186.094 Y=15.351 Z=165.486,0.058129
X=-184.492 Y=13.649 Z=165.224,0.054221
X=-182.975 Y=11.943 Z=164.877,0.055874
X=-181.544 Y=10.175 Z=164.794,0.056905
X=-180.150 Y=8.357 Z=165.128,0.054259
