Position, Time(s)
X=-225.197 Y=19.484 Z=166.746,0.008334
X=-224.956 Y=19.892 Z=166.923,0.4
X=-224.550 Y=19.580 Z=166.534,0.014105
X=-224.416 Y=19.565 Z=166.619,0.034594
X=-224.254 Y=19.445 Z=166.812,0.046451
X=-223.950 Y=19.152 Z=167.236,0.063164
X=-223.762 Y=18.921 Z=167.527,0.058397
X=-223.656 Y=18.866 Z=167.638,0.056441
X=-223.574 Y=18.874 Z=167.984,0.055316
X=-223.580 Y=18.908 Z=167.960,0.056527
X=-223.509 Y=18.957 Z=167.753,0.054128
X=-223.435 Y=19.040 Z=167.488,0.055599
X=-223.365 Y=19.069 Z=167.330,0.05429
X=-223.368 Y=18.979 Z=167.110,0.05497
X=-223.244 Y=18.900 Z=167.106,0.054237
X=-223.190 Y=18.863 Z=166.983,0.050718
X=-223.091 Y=18.945 Z=166.851,0.053112
X=-223.008 Y=19.014 Z=166.628,0.05285
X=-223.000 Y=19.106 Z=166.451,0.053574
X=-222.982 Y=19.230 Z=166.249,0.05074
X=-222.981 Y=19.348 Z=166.156,0.052883
X=-222.997 Y=19.369 Z=166.152,0.052441
X=-222.997 Y=19.397 Z=166.168,0.048687
X=-223.021 Y=19.383 Z=166.092,0.050725
X=-223.090 Y=19.367 Z=165.966,0.049346
X=-223.124 Y=19.351 Z=165.856,0.050759
X=-223.112 Y=19.339 Z=165.811,0.053993
X=-223.119 Y=19.395 Z=165.799,0.057073
X=-223.166 Y=19.481 Z=165.789,0.050261
X=-223.173 Y=19.601 Z=165.720,0.055616
X=-223.125 Y=19.679 Z=165.530,0.055137
X=-223.103 Y=19.788 Z=165.245,0.055597
X=-222.926 Y=19.939 Z=165.281,0.056123
X=-222.690 Y=20.078 Z=165.289,0.054481
X=-222.472 Y=20.202 Z=165.150,0.06015
X=-222.486 Y=20.246 Z=164.908,0.053786
X=-222.812 Y=20.183 Z=164.756,0.054256
X=-223.341 Y=20.134 Z=164.630,0.054475
X=-223.742 Y=20.076 Z=164.591,0.056523
X=-223.871 Y=20.059 Z=164.512,0.05475
X=-223.845 Y=20.021 Z=164.405,0.056393
X=-223.799 Y=19.990 Z=164.186,0.055993
X=-223.691 Y=19.948 Z=164.004,0.053512
X=-223.612 Y=19.796 Z=163.964,0.056583
X=-223.574 Y=19.804 Z=164.100,0.05626
X=-223.629 Y=20.012 Z=163.993,0.05541
X=-223.520 Y=20.128 Z=164.103,0.050626
X=-223.344 Y=20.021 Z=164.478,0.056204
X=-223.391 Y=19.962 Z=164.949,0.05436
X=-223.416 Y=19.885 Z=165.426,0.056542
X=-223.430 Y=19.859 Z=165.753,0.057508
X=-223.374 Y=19.907 Z=165.852,0.052747
X=-223.379 Y=19.981 Z=165.860,0.056514
X=-223.320 Y=20.070 Z=165.689,0.054538
X=-223.083 Y=20.038 Z=165.860,0.056908
X=-222.842 Y=19.804 Z=165.828,0.054548
X=-222.545 Y=19.629 Z=165.557,0.055007
X=-222.232 Y=19.551 Z=165.282,0.05531
X=-222.065 Y=19.547 Z=165.072,0.056129
X=-222.110 Y=19.543 Z=165.030,0.055701
X=-222.071 Y=19.516 Z=165.032,0.055234
X=-222.027 Y=19.524 Z=164.869,0.056334
X=-221.974 Y=19.410 Z=164.696,0.056122
X=-221.861 Y=19.368 Z=164.803,0.054114
X=-221.817 Y=19.384 Z=164.869,0.052672
X=-221.798 Y=19.466 Z=164.917,0.056183
X=-221.764 Y=19.671 Z=165.078,0.054904
X=-221.823 Y=19.876 Z=165.018,0.055229
X=-221.942 Y=20.122 Z=164.957,0.05635
X=-222.068 Y=20.306 Z=164.976,0.054884
X=-222.107 Y=20.467 Z=165.038,0.05552
X=-222.115 Y=20.618 Z=165.090,0.055696
X=-222.150 Y=20.696 Z=165.131,0.055872
X=-222.161 Y=20.754 Z=165.176,0.055262
X=-222.195 Y=20.765 Z=165.160,0.055156
X=-222.178 Y=20.750 Z=165.172,0.055317
X=-222.116 Y=20.746 Z=165.189,0.056273
X=-222.143 Y=20.757 Z=165.205,0.055222
X=-222.305 Y=20.753 Z=165.169,0.055853
X=-222.488 Y=20.731 Z=165.215,0.055733
X=-222.582 Y=20.786 Z=165.387,0.055336
X=-222.706 Y=20.721 Z=165.403,0.054928
X=-222.842 Y=20.632 Z=165.283,0.052821
X=-222.934 Y=20.416 Z=165.226,0.055685
X=-223.064 Y=20.237 Z=165.189,0.055668
X=-223.164 Y=20.066 Z=165.170,0.056572
X=-223.299 Y=19.949 Z=165.180,0.052926
X=-223.387 Y=19.877 Z=165.155,0.057149
X=-223.450 Y=19.748 Z=165.124,0.055024
X=-223.471 Y=19.641 Z=165.102,0.055373
X=-223.421 Y=19.513 Z=165.037,0.054901
X=-223.322 Y=19.335 Z=165.053,0.055707
X=-222.995 Y=19.031 Z=165.180,0.057953
X=-222.606 Y=18.664 Z=165.163,0.053515
X=-222.251 Y=18.338 Z=165.040,0.055922
X=-221.805 Y=18.022 Z=165.036,0.054633
X=-221.488 Y=17.743 Z=165.084,0.058058
X=-221.137 Y=17.475 Z=165.129,0.055086
X=-220.874 Y=17.356 Z=165.077,0.054805
X=-220.746 Y=17.230 Z=165.011,0.053904
X=-220.762 Y=17.101 Z=165.045,0.054263
X=-220.923 Y=17.034 Z=165.121,0.054226
X=-221.053 Y=17.079 Z=165.139,0.055193
X=-221.184 Y=17.127 Z=165.105,0.05575
X=-221.372 Y=17.281 Z=165.142,0.055713
X=-221.555 Y=17.462 Z=165.101,0.055767
X=-221.645 Y=17.626 Z=165.114,0.055994
X=-221.810 Y=17.781 Z=165.189,0.054903
X=-221.886 Y=18.002 Z=165.219,0.055313
X=-221.977 Y=18.125 Z=165.287,0.055918
X=-222.038 Y=18.285 Z=165.328,0.055508
X=-222.022 Y=18.494 Z=165.284,0.055077
X=-222.042 Y=18.629 Z=165.308,0.055943
X=-222.045 Y=18.780 Z=165.285,0.056305
X=-222.061 Y=18.839 Z=165.337,0.054464
X=-222.213 Y=18.896 Z=165.348,0.055169
X=-222.283 Y=18.937 Z=165.327,0.056117
X=-222.369 Y=18.882 Z=165.346,0.055375
X=-222.514 Y=18.827 Z=165.400,0.052364
X=-222.630 Y=18.761 Z=165.428,0.054915
X=-222.704 Y=18.663 Z=165.407,0.054798
X=-222.866 Y=18.470 Z=165.353,0.056748
X=-223.016 Y=18.307 Z=165.345,0.05519
X=-223.089 Y=18.099 Z=165.376,0.057519
X=-223.007 Y=17.823 Z=165.363,0.053142
X=-222.940 Y=17.535 Z=165.334,0.057234
X=-222.831 Y=17.189 Z=165.286,0.053887
X=-222.646 Y=16.787 Z=165.228,0.056241
X=-222.390 Y=16.317 Z=165.195,0.055327
X=-222.038 Y=15.819 Z=165.114,0.055632
X=-221.620 Y=15.350 Z=164.975,0.055002
X=-221.120 Y=14.876 Z=164.829,0.056528
X=-220.482 Y=14.493 Z=164.549,0.055314
X=-219.724 Y=14.213 Z=164.158,0.055662
X=-218.883 Y=14.101 Z=163.995,0.054736
X=-217.864 Y=14.096 Z=164.051,0.055321
X=-216.692 Y=14.122 Z=164.174,0.052864
X=-215.336 Y=14.291 Z=164.288,0.057609
X=-213.756 Y=14.654 Z=164.195,0.056581
X=-212.166 Y=15.149 Z=164.097,0.053559
X=-210.351 Y=15.731 Z=164.050,0.054536
X=-208.294 Y=16.347 Z=164.105,0.055183
X=-205.986 Y=17.079 Z=164.045,0.055693
X=-203.647 Y=18.019 Z=164.042,0.057508
X=-201.228 Y=19.109 Z=164.322,0.053566
X=-198.819 Y=20.233 Z=164.625,0.056407
X=-196.473 Y=21.358 Z=164.598,0.055673
X=-194.298 Y=22.302 Z=164.444,0.055682
X=-192.209 Y=23.106 Z=164.429,0.054858
X=-190.181 Y=23.645 Z=164.597,0.055102
X=-188.201 Y=23.892 Z=164.891,0.05595
X=-186.211 Y=23.936 Z=165.060,0.055787
X=-184.227 Y=23.712 Z=165.123,0.055644
X=-182.323 Y=23.184 Z=165.159,0.056148
X=-180.488 Y=22.239 Z=165.168,0.052416
X=-178.707 Y=21.095 Z=165.112,0.056194
X=-177.163 Y=19.769 Z=164.939,0.05702
X=-175.682 Y=18.187 Z=164.849,0.054318
X=-174.280 Y=16.573 Z=164.647,0.054624
X=-172.492 Y=14.889 Z=165.491,0.055106
X=-170.853 Y=13.472 Z=165.868,0.055006
X=-169.299 Y=12.384 Z=165.790,0.056277
X=-167.694 Y=11.524 Z=165.567,0.063405
