Position, Time(s)
X=-190.564 Y=0.549 Z=78.292,0.180451
X=-190.569 Y=0.558 Z=78.299,0.4
X=-190.547 Y=0.521 Z=78.296,0.012429
X=-190.568 Y=0.521 Z=78.293,0.033789
X=-190.571 Y=0.515 Z=78.295,0.032421
X=-190.569 Y=0.537 Z=78.290,0.04318
X=-190.573 Y=0.554 Z=78.296,0.041968
X=-190.561 Y=0.552 Z=78.299,0.039728
X=-190.578 Y=0.550 Z=78.303,0.038748
X=-190.564 Y=0.543 Z=78.295,0.035346
X=-190.566 Y=0.533 Z=78.304,0.035219
X=-190.568 Y=0.522 Z=78.297,0.035131
X=-190.574 Y=0.533 Z=78.308,0.035464
X=-190.576 Y=0.522 Z=78.308,0.032809
X=-190.575 Y=0.542 Z=78.306,0.032896
X=-190.552 Y=0.538 Z=78.298,0.033106
X=-190.552 Y=0.538 Z=78.295,0.032902
X=-190.553 Y=0.535 Z=78.301,0.032736
X=-190.567 Y=0.550 Z=78.294,0.032253
X=-190.572 Y=0.561 Z=78.298,0.032517
X=-190.579 Y=0.561 Z=78.304,0.03211
X=-190.561 Y=0.532 Z=78.318,0.032278
X=-190.524 Y=0.512 Z=78.314,0.047769
X=-190.539 Y=0.511 Z=78.313,0.053058
X=-190.580 Y=0.542 Z=78.308,0.057533
X=-190.571 Y=0.531 Z=78.289,0.054786
X=-190.540 Y=0.517 Z=78.289,0.055327
X=-190.573 Y=0.545 Z=78.292,0.055921
X=-190.561 Y=0.548 Z=78.299,0.054375
X=-190.578 Y=0.562 Z=78.303,0.055997
X=-190.570 Y=0.534 Z=78.306,0.056079
X=-190.544 Y=0.515 Z=78.298,0.056046
X=-190.555 Y=0.540 Z=78.310,0.054759
X=-190.556 Y=0.560 Z=78.309,0.055336
X=-190.559 Y=0.564 Z=78.303,0.056173
X=-190.557 Y=0.535 Z=78.293,0.054877
X=-190.585 Y=0.536 Z=78.303,0.055691
X=-190.557 Y=0.533 Z=78.294,0.055587
X=-190.517 Y=0.515 Z=78.290,0.056122
X=-190.527 Y=0.506 Z=78.291,0.051477
X=-190.558 Y=0.534 Z=78.302,0.034298
X=-190.568 Y=0.536 Z=78.298,0.04411
X=-190.568 Y=0.560 Z=78.296,0.042975
X=-190.532 Y=0.537 Z=78.289,0.04726
X=-190.557 Y=0.545 Z=78.291,0.042994
X=-190.561 Y=0.568 Z=78.290,0.045272
X=-190.564 Y=0.569 Z=78.299,0.043242
X=-190.592 Y=0.556 Z=78.306,0.044264
X=-190.582 Y=0.541 Z=78.303,0.044643
X=-190.535 Y=0.524 Z=78.299,0.044969
X=-190.531 Y=0.513 Z=78.288,0.044025
X=-190.532 Y=0.510 Z=78.289,0.044162
X=-190.534 Y=0.529 Z=78.283,0.045109
X=-190.537 Y=0.560 Z=78.293,0.044077
X=-190.566 Y=0.580 Z=78.288,0.044647
X=-190.546 Y=0.559 Z=78.294,0.043752
X=-190.551 Y=0.570 Z=78.286,0.045389
X=-190.564 Y=0.546 Z=78.295,0.043936
X=-190.543 Y=0.547 Z=78.293,0.044787
X=-190.519 Y=0.527 Z=78.305,0.043748
X=-190.539 Y=0.542 Z=78.312,0.045275
X=-190.557 Y=0.564 Z=78.315,0.041739
X=-190.579 Y=0.584 Z=78.310,0.042176
X=-190.561 Y=0.565 Z=78.303,0.045103
X=-190.554 Y=0.550 Z=78.299,0.0459
X=-190.526 Y=0.538 Z=78.302,0.043079
X=-190.540 Y=0.524 Z=78.312,0.043886
X=-190.547 Y=0.515 Z=78.311,0.045615
X=-190.560 Y=0.534 Z=78.307,0.044062
X=-190.563 Y=0.543 Z=78.309,0.044377
X=-190.573 Y=0.565 Z=78.302,0.044715
X=-190.573 Y=0.586 Z=78.309,0.043454
X=-190.522 Y=0.565 Z=78.294,0.044769
X=-190.537 Y=0.561 Z=78.293,0.044748
X=-190.543 Y=0.543 Z=78.301,0.04434
X=-190.547 Y=0.553 Z=78.306,0.044352
X=-190.570 Y=0.586 Z=78.309,0.044479
X=-190.558 Y=0.597 Z=78.299,0.044774
X=-190.550 Y=0.567 Z=78.279,0.044683
X=-190.521 Y=0.573 Z=78.305,0.043747
X=-190.543 Y=0.562 Z=78.320,0.045604
X=-190.570 Y=0.559 Z=78.291,0.043598
X=-190.510 Y=0.548 Z=78.280,0.04501
X=-190.485 Y=0.522 Z=78.305,0.044002
X=-190.545 Y=0.544 Z=78.316,0.041127
X=-190.562 Y=0.576 Z=78.307,0.043934
X=-190.581 Y=0.560 Z=78.307,0.044671
X=-190.526 Y=0.550 Z=78.306,0.044882
X=-190.522 Y=0.539 Z=78.292,0.044784
X=-190.530 Y=0.549 Z=78.235,0.04331
X=-190.478 Y=0.512 Z=78.368,0.045647
X=-190.522 Y=0.552 Z=78.260,0.044912
X=-190.609 Y=0.558 Z=78.221,0.042608
X=-190.545 Y=0.591 Z=78.314,0.044674
X=-190.526 Y=0.566 Z=78.322,0.044707
X=-190.575 Y=0.518 Z=78.282,0.044677
X=-190.504 Y=0.596 Z=78.273,0.043653
X=-190.288 Y=0.515 Z=78.411,0.045303
X=-189.618 Y=1.222 Z=79.629,0.043911
X=-189.769 Y=1.754 Z=81.001,0.045536
X=-190.791 Y=2.824 Z=81.918,0.044117
X=-190.461 Y=4.026 Z=84.481,0.043399
X=-189.335 Y=5.563 Z=88.724,0.04539
X=-187.276 Y=6.742 Z=94.401,0.046011
X=-184.412 Y=7.744 Z=100.705,0.04292
X=-180.831 Y=8.664 Z=107.747,0.044436
X=-177.561 Y=9.211 Z=113.498,0.044427
X=-173.835 Y=9.797 Z=119.891,0.041012
X=-170.180 Y=10.438 Z=125.797,0.045636
X=-166.502 Y=11.057 Z=131.213,0.042916
X=-163.296 Y=11.579 Z=136.161,0.045089
X=-160.291 Y=11.901 Z=140.290,0.043629
X=-157.475 Y=12.202 Z=144.056,0.043799
X=-155.251 Y=12.527 Z=147.176,0.045274
X=-153.554 Y=12.796 Z=150.282,0.045304
X=-151.845 Y=12.941 Z=152.872,0.043941
X=-150.842 Y=12.908 Z=155.218,0.045083
X=-149.647 Y=13.178 Z=157.029,0.044053
X=-148.828 Y=13.783 Z=158.557,0.045055
X=-148.676 Y=14.489 Z=160.348,0.044664
X=-148.466 Y=16.101 Z=162.955,0.04352
X=-147.881 Y=18.398 Z=165.222,0.045872
X=-147.596 Y=20.529 Z=167.607,0.041485
X=-147.584 Y=22.346 Z=170.071,0.04624
X=-147.598 Y=23.357 Z=173.150,0.04293
X=-147.260 Y=22.926 Z=174.913,0.045904
X=-146.333 Y=21.052 Z=176.840,0.043677
X=-145.248 Y=19.761 Z=178.617,0.043933
X=-144.536 Y=18.334 Z=179.797,0.045246
X=-144.844 Y=17.031 Z=180.822,0.041288
X=-145.453 Y=15.851 Z=181.240,0.046459
X=-145.910 Y=15.186 Z=181.117,0.044646
