Position, Time(s)
X=-148.821 Y=17.160 Z=162.968,0.008334
X=-148.820 Y=17.250 Z=162.877,0.4
X=-148.955 Y=17.390 Z=162.897,0.015755
X=-148.981 Y=17.407 Z=162.909,0.02256
X=-148.969 Y=17.425 Z=162.913,0.028843
X=-148.987 Y=17.469 Z=162.910,0.035707
X=-148.991 Y=17.515 Z=162.896,0.035643
X=-149.000 Y=17.559 Z=162.888,0.034588
X=-149.011 Y=17.559 Z=162.874,0.033471
X=-149.051 Y=17.556 Z=162.878,0.033863
X=-149.048 Y=17.540 Z=162.877,0.034162
X=-149.034 Y=17.576 Z=162.851,0.034236
X=-149.040 Y=17.618 Z=162.808,0.035547
X=-149.048 Y=17.622 Z=162.781,0.03406
X=-149.017 Y=17.616 Z=162.790,0.034358
X=-148.999 Y=17.601 Z=162.776,0.033994
X=-148.997 Y=17.584 Z=162.784,0.033741
X=-148.984 Y=17.543 Z=162.783,0.034094
X=-148.978 Y=17.570 Z=162.878,0.034147
X=-148.966 Y=17.545 Z=162.889,0.033324
X=-148.959 Y=17.520 Z=162.908,0.033773
X=-148.937 Y=17.523 Z=162.898,0.033681
X=-148.918 Y=17.527 Z=162.870,0.033162
X=-148.886 Y=17.491 Z=162.827,0.033573
X=-148.854 Y=17.427 Z=162.821,0.033645
X=-148.856 Y=17.399 Z=162.788,0.033121
X=-148.833 Y=17.339 Z=162.750,0.033253
X=-148.818 Y=17.273 Z=162.740,0.033446
X=-148.803 Y=17.231 Z=162.723,0.033964
X=-148.786 Y=17.189 Z=162.697,0.032936
X=-148.811 Y=17.160 Z=162.686,0.032541
X=-148.792 Y=17.092 Z=162.685,0.032157
X=-148.777 Y=17.040 Z=162.690,0.031654
X=-148.792 Y=17.036 Z=162.672,0.032423
X=-148.799 Y=17.017 Z=162.668,0.032417
X=-148.792 Y=17.374 Z=163.070,0.041661
X=-149.169 Y=18.465 Z=164.382,0.053972
X=-150.136 Y=19.557 Z=165.616,0.057267
X=-151.311 Y=20.216 Z=166.221,0.055372
X=-152.198 Y=20.595 Z=166.396,0.056158
X=-152.744 Y=20.759 Z=166.386,0.057526
X=-152.992 Y=20.782 Z=166.266,0.053721
X=-152.996 Y=20.725 Z=166.162,0.053963
X=-152.811 Y=20.564 Z=166.084,0.055959
X=-152.486 Y=20.379 Z=166.000,0.056819
X=-152.117 Y=20.172 Z=165.900,0.052978
X=-151.822 Y=20.021 Z=165.707,0.056849
X=-151.495 Y=19.728 Z=165.405,0.054932
X=-151.179 Y=19.332 Z=165.012,0.058816
X=-150.858 Y=18.739 Z=164.913,0.052786
X=-150.497 Y=17.910 Z=164.940,0.054955
X=-150.109 Y=16.939 Z=164.948,0.056078
X=-149.934 Y=16.530 Z=164.948,0.051406
X=-149.539 Y=15.642 Z=164.944,0.027255
X=-149.073 Y=14.774 Z=164.894,0.040904
X=-148.518 Y=13.945 Z=164.842,0.044469
X=-147.848 Y=13.044 Z=164.710,0.044117
X=-147.066 Y=12.150 Z=164.517,0.044077
X=-146.133 Y=11.238 Z=164.287,0.044274
X=-144.866 Y=10.129 Z=163.855,0.044716
X=-143.417 Y=8.908 Z=163.127,0.045032
X=-142.001 Y=7.534 Z=162.405,0.045036
X=-140.851 Y=6.072 Z=161.782,0.043228
X=-140.072 Y=4.553 Z=161.251,0.043687
X=-139.699 Y=3.252 Z=160.961,0.044684
X=-139.567 Y=2.408 Z=160.804,0.04409
X=-139.682 Y=2.051 Z=160.645,0.045483
X=-139.881 Y=2.285 Z=160.596,0.045255
X=-139.948 Y=3.042 Z=160.637,0.044918
X=-139.855 Y=4.044 Z=160.825,0.046382
X=-139.716 Y=5.159 Z=161.018,0.044383
X=-139.364 Y=6.302 Z=161.217,0.04183
X=-139.004 Y=7.415 Z=161.360,0.045239
X=-138.642 Y=8.382 Z=161.324,0.04293
X=-138.420 Y=9.195 Z=161.312,0.045609
X=-138.307 Y=9.828 Z=161.212,0.040778
X=-138.252 Y=10.481 Z=161.125,0.043479
X=-138.121 Y=11.147 Z=161.071,0.044485
X=-137.812 Y=11.739 Z=161.272,0.044357
X=-137.365 Y=12.437 Z=161.425,0.04476
X=-136.963 Y=13.152 Z=161.587,0.044154
X=-136.778 Y=13.893 Z=161.724,0.044756
X=-136.941 Y=14.163 Z=161.817,0.04397
