Position, Time(s)
X=-175.014 Y=-3.713 Z=158.800,0.008333
X=-175.081 Y=-3.394 Z=158.755,0.4
X=-175.385 Y=-2.372 Z=158.568,0.015759
X=-175.391 Y=-2.196 Z=158.475,0.021956
X=-175.368 Y=-2.061 Z=158.366,0.028761
X=-175.346 Y=-1.836 Z=158.152,0.036584
X=-175.346 Y=-1.677 Z=158.007,0.035708
X=-175.294 Y=-1.534 Z=157.888,0.037295
X=-175.304 Y=-1.458 Z=157.832,0.035024
X=-175.344 Y=-1.393 Z=157.766,0.034432
X=-175.394 Y=-1.409 Z=157.756,0.035143
X=-175.410 Y=-1.483 Z=157.778,0.035062
X=-175.461 Y=-1.601 Z=157.799,0.035649
X=-175.475 Y=-1.710 Z=157.854,0.036237
X=-175.502 Y=-1.855 Z=157.920,0.035145
X=-175.520 Y=-2.035 Z=157.964,0.035143
X=-175.551 Y=-2.158 Z=157.961,0.034534
X=-175.609 Y=-2.285 Z=157.954,0.034805
X=-175.627 Y=-2.416 Z=157.972,0.035061
X=-175.640 Y=-2.500 Z=157.950,0.036692
X=-175.666 Y=-2.548 Z=157.928,0.034543
X=-175.729 Y=-2.597 Z=157.908,0.033687
X=-175.838 Y=-2.648 Z=157.887,0.033805
X=-175.960 Y=-2.680 Z=157.861,0.034058
X=-176.056 Y=-2.639 Z=157.775,0.033855
X=-176.102 Y=-2.614 Z=157.790,0.034129
X=-176.134 Y=-2.569 Z=157.783,0.04105
X=-176.189 Y=-2.498 Z=157.762,0.055175
X=-176.217 Y=-2.362 Z=157.735,0.054236
X=-176.240 Y=-2.217 Z=157.758,0.055186
X=-176.314 Y=-2.114 Z=157.786,0.056118
X=-176.343 Y=-2.044 Z=157.811,0.055066
X=-176.437 Y=-1.933 Z=157.842,0.055747
X=-176.452 Y=-1.817 Z=157.830,0.05512
X=-176.549 Y=-1.693 Z=157.859,0.057288
X=-176.606 Y=-1.555 Z=157.881,0.054792
X=-176.653 Y=-1.421 Z=157.924,0.055915
X=-176.701 Y=-1.309 Z=157.959,0.0551
X=-176.764 Y=-1.214 Z=157.982,0.054878
X=-176.800 Y=-1.040 Z=157.975,0.055591
X=-176.819 Y=-0.933 Z=157.992,0.055516
X=-176.855 Y=-0.785 Z=158.010,0.056192
X=-176.847 Y=-0.720 Z=158.039,0.052769
X=-176.823 Y=-0.599 Z=158.091,0.032542
