,,,Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant 14,doesnt matter,zebra,disagree,agree,slightly disagree,moderately agree,louder,lighter,disagree,disagree,slightly disagree,disagree,neither,slower,doesnt matter,moderately agree,agree,slightly agree,slightly disagree,stop signs,day,agree,agree,slighrtly disagree,slightly agree,were not,lower,moderately agree,disagree,moderately agree,disagree,moderately agree,defensivedly,further away,slightly agree,slightly disagree,slightly agree,stronglyy agree
Participant 15,doesnt matter,zebra,strongly disagree,agree,strongly disagree,slightly disagree,louder,doesnt matter,disagree,disagree,moderately agree,moderately disagree,agree,slower,smaller,agree,strongly agree,neither,slightly agree,stop signs,doesnt matter,agree,strongly agree,neither,slightly disagree,were not,lower,slightly agree,slightly disagree,modertayly disagree,disagree,slightly disagree,defensively,further away,disagree,slighrtly agree,agree,agree
Participant 16,doesnt matter,zebra,moderately disagree,moderately agree,slightly dsiagree,moderatelt agree,doesnt matter,lighter,agree,moderately disagree,agree,slightly agree,slightly agree,doesnt matter,doesnt matter,moderately agree,agree,moderately disagree,moderately agree,stop signs,doesnt matter,slightly agree,agree,moderately disagree,neither,were not,lower,slightly agree,slightly disagree,slghtly agree,moderately disagree,moderataly agree,defensively,further away,slightly agree,slightly agree,moderataly disagree,moderataly agree
Participant 17,doesnt matter,zebra,disagree,agree,disagree,agree,doesnt matter,doesnt matter,disagree,disagree,agree,disagree,disagree,doesnt matter,doesnt matter,neither,strongly agree,disagree,disagree,stop signs,doesnt matter,neither,agree,neither,agree,were not,lower,agree,disagree,neither,disagree,disagree,defensively,doesnt matter,disagree,disagree,strongly disagree,strongly agree
Participant 18,doesnt matter,zebra,disagree,agree,moderately disagree,moderately agree,louder,doesnt matter,slightly disagree,disagree,moderately agree,moderately disagree,neither,slower,doesnt matter,slightly agree,agree,disagree,slightly disagree,stop signs,day,agree,strongly agree,slightly agree,slightly agree,were not,lower,agree,disagree,moderately disagree,moderately disagree,slighrtly disagree,defensively,further away,moderately disagree,slightly agree,disagree,strongly agree
Participant 19,doesnt matter,zebra,neither,slightly agree,moderately disagree,moderately agree,louder sounds,lighter,strongly disagree,slightly agree,neither,disagree,agree,doesnt matter,doesnt matter,agree,strongly agree,agree,disagree,doesnt matter,day,neither,agree,moderately agree,neither,doesnt matter,lower,agree,moderately disagree,neither,strongly disagree,moderately disagree,defensively,further away,strongly agree,strongly agree,agree,strongly agree
Participant 20,doesnt matter,zebra,strongly disagree,moderately agree,agree,moderately agree,louder sounds,doesnt matter,disagree,disagree,agree,slightly disagree,disagree,doesnt matter,doesnt matter,agree,disagree,disagree,disagree,stop signs,day,disagree,agree,neither,agree,were not,lower,agree,disagree,disagree,disagree,agree,defensively,further away,strongly disagree,disagree,agree,strongly agree
Participant 21,doesnt matter,zebra,moderately disagree,slightly agree,slightly agree,moderately agree,louder,doesnt matter,moderately disagree,disagree,slightly agree,moderately disagree,moderately agree,slower,doesnt matter,agree,strongly agree,moderately disagree,slightly disagree,stop signs,day,moderately agree,agree,slightly agree,slightly agree,were not,lower,agree,disagree,slightly disagree,strongly disagree,moderately agree,defensively,further away,moderately agree,slightly agree,disagree,agree
Participant 22,black,zebra,disagree,agree,strongly disagree,moderately disagree,doesnt matter,doesnt matter,agree,moderately disagree,neither,strongly agree,agree,doesnt matter,larger,agree,strongly agree,disagree,moderately agree,stop signs,brighter,slightly agree,strongly agree,disagree,agree,were not,lower,moderately disagree,disagree,agree,disagree,agree,defensively,furhterh away,strongly disagree,slightky agree,moderately agree,strongly agree
Participant 23,black,zebra,moderately disagree,slightly disagree,slightly disagree,slightly agree,louder,doesnt matter,slightly disagree,moderately disagree,disagree,disagree,agree,doesnt matter,doesnt matter,agree,moderately agree,slightly disagree,slightly disagree,stop signs,doesnt matter,agree,agree,neither,moderately agree,were not,doesnt matter,moderately agree,disagree,neither,moderately disagree,agree,defensively,doesnt matter,slightly disagree,moderately disagree,slightly disagree,strongly agree
