Position, Time(s)
X=-223.404 Y=-7.807 Z=181.242,0.008333
X=-223.147 Y=-7.689 Z=181.387,0.4
X=-222.705 Y=-8.375 Z=181.286,0.0126
X=-222.574 Y=-8.484 Z=181.294,0.039719
X=-222.480 Y=-8.579 Z=181.272,0.034435
X=-222.369 Y=-8.651 Z=181.247,0.038987
X=-222.187 Y=-8.720 Z=181.206,0.037215
X=-222.026 Y=-8.776 Z=181.116,0.038592
X=-221.826 Y=-8.822 Z=181.066,0.03735
X=-221.610 Y=-8.838 Z=181.102,0.037172
X=-221.377 Y=-8.808 Z=181.137,0.038248
X=-221.129 Y=-8.758 Z=181.047,0.036877
X=-220.907 Y=-8.752 Z=180.995,0.039108
X=-220.495 Y=-8.749 Z=180.903,0.037945
X=-220.122 Y=-8.859 Z=180.831,0.037818
X=-219.509 Y=-9.050 Z=180.668,0.03873
X=-219.030 Y=-9.205 Z=180.555,0.036696
X=-218.610 Y=-9.411 Z=180.446,0.038846
X=-218.097 Y=-9.572 Z=180.353,0.037009
X=-217.759 Y=-9.692 Z=180.293,0.036717
X=-217.552 Y=-9.790 Z=180.159,0.038149
X=-217.322 Y=-9.813 Z=180.076,0.036707
X=-217.205 Y=-9.835 Z=180.110,0.036844
X=-217.174 Y=-9.785 Z=180.160,0.037527
X=-217.208 Y=-9.621 Z=180.262,0.03682
X=-217.261 Y=-9.479 Z=180.323,0.036038
X=-217.365 Y=-9.295 Z=180.467,0.038287
X=-217.478 Y=-9.058 Z=180.650,0.036694
X=-217.527 Y=-8.871 Z=180.723,0.035443
X=-217.514 Y=-8.680 Z=180.794,0.03665
X=-217.527 Y=-8.453 Z=180.836,0.036101
X=-217.444 Y=-8.069 Z=180.876,0.035711
X=-217.355 Y=-7.839 Z=180.879,0.051662
X=-217.251 Y=-7.677 Z=180.833,0.054059
X=-217.192 Y=-7.523 Z=180.798,0.05604
X=-217.230 Y=-7.392 Z=180.760,0.055665
X=-217.307 Y=-7.255 Z=180.782,0.05478
X=-217.315 Y=-7.055 Z=180.882,0.056213
X=-217.154 Y=-6.507 Z=180.815,0.055255
X=-217.222 Y=-5.816 Z=179.988,0.055804
X=-217.339 Y=-5.235 Z=179.762,0.05563
X=-218.026 Y=-4.885 Z=179.933,0.055544
X=-218.798 Y=-4.634 Z=180.448,0.054771
X=-219.545 Y=-4.550 Z=180.740,0.059294
X=-220.048 Y=-4.693 Z=180.863,0.052241
X=-220.179 Y=-5.169 Z=180.939,0.057921
X=-220.181 Y=-6.022 Z=180.842,0.055904
X=-220.251 Y=-7.129 Z=180.628,0.053737
X=-220.117 Y=-8.222 Z=180.706,0.054402
X=-219.973 Y=-8.475 Z=180.809,0.052663
X=-219.458 Y=-9.212 Z=181.063,0.029697
X=-219.232 Y=-9.814 Z=180.878,0.035565
X=-219.251 Y=-10.194 Z=180.584,0.036234
X=-219.202 Y=-10.430 Z=180.566,0.045122
X=-219.109 Y=-10.494 Z=180.686,0.042277
X=-219.072 Y=-10.391 Z=180.767,0.044339
X=-219.058 Y=-10.193 Z=180.843,0.044951
X=-218.960 Y=-9.919 Z=180.907,0.043896
X=-218.903 Y=-9.768 Z=181.040,0.044567
X=-218.986 Y=-9.708 Z=181.173,0.047147
X=-219.046 Y=-9.934 Z=181.191,0.042647
X=-219.005 Y=-10.458 Z=181.264,0.042896
X=-218.657 Y=-11.216 Z=181.537,0.044947
X=-218.277 Y=-12.108 Z=181.589,0.04351
X=-217.965 Y=-13.088 Z=181.292,0.044571
X=-217.845 Y=-14.020 Z=180.888,0.044689
X=-218.138 Y=-14.666 Z=180.591,0.045142
X=-218.603 Y=-15.091 Z=180.922,0.045033
X=-219.117 Y=-15.500 Z=181.366,0.044532
X=-219.592 Y=-16.043 Z=181.594,0.044246
X=-220.021 Y=-16.595 Z=181.504,0.045681
X=-220.340 Y=-16.951 Z=181.144,0.043375
X=-220.276 Y=-16.943 Z=180.985,0.043303
X=-220.027 Y=-16.686 Z=180.886,0.040262
X=-219.672 Y=-16.210 Z=180.823,0.043405
X=-219.147 Y=-15.496 Z=180.846,0.045622
X=-218.328 Y=-14.207 Z=180.907,0.044131
X=-217.380 Y=-12.349 Z=181.032,0.04483
X=-216.770 Y=-10.064 Z=181.081,0.044592
X=-216.750 Y=-7.373 Z=181.368,0.044654
X=-217.255 Y=-4.898 Z=181.578,0.046905
X=-218.138 Y=-2.812 Z=181.555,0.042782
X=-219.123 Y=-1.333 Z=181.391,0.04673
X=-219.954 Y=-0.343 Z=181.197,0.045149
X=-220.682 Y=0.322 Z=181.024,0.041664
X=-221.272 Y=0.892 Z=180.903,0.044979
X=-221.767 Y=1.419 Z=180.788,0.045528
X=-222.209 Y=1.968 Z=180.632,0.042629
X=-222.691 Y=2.476 Z=180.452,0.044793
X=-223.097 Y=2.897 Z=180.365,0.044971
X=-223.368 Y=3.174 Z=180.293,0.043385
X=-223.544 Y=3.384 Z=180.250,0.043821
X=-223.602 Y=3.502 Z=180.216,0.045573
X=-223.546 Y=3.603 Z=180.158,0.043125
X=-223.491 Y=3.638 Z=180.132,0.044608
X=-223.353 Y=3.610 Z=180.080,0.040759
X=-223.277 Y=3.539 Z=180.054,0.044171
X=-223.185 Y=3.429 Z=180.043,0.044998
X=-223.093 Y=3.299 Z=180.046,0.044976
X=-222.956 Y=3.132 Z=180.013,0.044361
X=-222.782 Y=2.926 Z=180.027,0.042916
X=-222.460 Y=2.652 Z=180.086,0.04482
X=-221.621 Y=2.168 Z=180.142,0.045226
X=-220.269 Y=1.424 Z=179.999,0.044252
X=-218.764 Y=0.383 Z=179.862,0.045291
X=-217.558 Y=-0.990 Z=179.838,0.044255
X=-216.728 Y=-2.509 Z=179.826,0.044638
X=-216.283 Y=-3.956 Z=180.004,0.044202
X=-216.155 Y=-5.273 Z=180.106,0.043772
X=-216.134 Y=-6.564 Z=180.118,0.044764
X=-216.235 Y=-7.667 Z=180.104,0.044093
X=-216.405 Y=-8.587 Z=180.067,0.044606
X=-216.569 Y=-9.361 Z=180.041,0.044037
X=-216.806 Y=-9.853 Z=180.022,0.044523
X=-216.991 Y=-10.093 Z=180.067,0.044658
X=-217.152 Y=-10.097 Z=180.048,0.043909
X=-217.235 Y=-10.099 Z=180.023,0.045939
X=-217.288 Y=-10.035 Z=179.966,0.043706
X=-217.263 Y=-9.940 Z=179.982,0.039659
X=-217.238 Y=-9.615 Z=179.942,0.045977
X=-217.165 Y=-9.260 Z=179.942,0.044241
X=-217.080 Y=-8.884 Z=179.982,0.044338
X=-216.977 Y=-8.514 Z=180.005,0.04477
X=-216.888 Y=-8.175 Z=179.974,0.043708
X=-216.768 Y=-7.873 Z=179.915,0.044461
X=-216.605 Y=-7.581 Z=179.830,0.045807
X=-216.398 Y=-7.254 Z=179.765,0.042831
X=-216.156 Y=-6.904 Z=179.689,0.045355
X=-215.825 Y=-6.547 Z=179.663,0.043786
X=-215.458 Y=-6.170 Z=179.580,0.04411
X=-215.114 Y=-5.718 Z=179.506,0.045524
X=-214.712 Y=-5.254 Z=179.404,0.043362
X=-214.309 Y=-4.778 Z=179.258,0.047211
X=-213.845 Y=-4.339 Z=179.102,0.04216
X=-213.347 Y=-3.939 Z=178.890,0.043983
X=-212.772 Y=-3.596 Z=178.580,0.047423
X=-211.964 Y=-3.436 Z=178.335,0.042863
X=-210.930 Y=-3.453 Z=178.049,0.043017
X=-209.783 Y=-3.613 Z=177.921,0.043802
X=-208.653 Y=-3.812 Z=177.773,0.045318
X=-207.292 Y=-4.136 Z=177.603,0.040293
X=-205.684 Y=-4.520 Z=177.392,0.045123
X=-204.093 Y=-4.992 Z=177.030,0.044257
X=-202.319 Y=-5.716 Z=176.511,0.043281
X=-200.488 Y=-6.645 Z=176.152,0.045427
X=-198.520 Y=-7.789 Z=175.816,0.044132
X=-196.428 Y=-9.122 Z=175.517,0.044274
X=-194.156 Y=-10.678 Z=175.331,0.044679
X=-191.574 Y=-12.329 Z=175.442,0.044894
X=-188.703 Y=-14.018 Z=175.713,0.04453
X=-185.600 Y=-15.620 Z=176.182,0.043868
X=-182.748 Y=-17.016 Z=176.479,0.045387
X=-180.062 Y=-18.044 Z=176.494,0.044579
X=-177.486 Y=-18.851 Z=176.485,0.044556
X=-174.913 Y=-19.408 Z=176.457,0.044701
X=-172.608 Y=-19.761 Z=176.517,0.04352
X=-170.594 Y=-20.023 Z=176.936,0.044657
X=-168.901 Y=-20.295 Z=177.383,0.043763
X=-167.376 Y=-20.655 Z=177.690,0.044831
X=-166.028 Y=-21.014 Z=177.892,0.045178
X=-164.771 Y=-21.345 Z=177.939,0.043501
X=-163.504 Y=-21.528 Z=177.920,0.046457
X=-162.165 Y=-21.520 Z=177.779,0.044144
X=-160.687 Y=-21.352 Z=177.621,0.038969
X=-159.088 Y=-20.975 Z=177.445,0.044438
X=-157.288 Y=-20.466 Z=177.320,0.044742
X=-155.384 Y=-19.823 Z=177.148,0.044867
X=-153.333 Y=-19.088 Z=177.021,0.044933
X=-151.205 Y=-18.255 Z=176.837,0.043642
X=-148.899 Y=-17.347 Z=176.678,0.044019
X=-146.540 Y=-16.227 Z=176.475,0.045623
X=-144.073 Y=-15.047 Z=176.529,0.044501
X=-141.404 Y=-13.792 Z=176.983,0.043873
X=-138.909 Y=-12.451 Z=177.408,0.044518
X=-136.572 Y=-11.182 Z=177.617,0.04625
X=-134.494 Y=-10.060 Z=177.725,0.041502
X=-132.876 Y=-9.086 Z=177.747,0.045489
X=-131.473 Y=-8.370 Z=177.759,0.043838
X=-130.307 Y=-7.951 Z=177.916,0.0444
X=-129.379 Y=-7.701 Z=178.157,0.044628
X=-128.641 Y=-7.509 Z=178.667,0.044845
X=-128.063 Y=-7.352 Z=179.080,0.044443
X=-127.539 Y=-7.319 Z=179.347,0.043962
X=-126.976 Y=-7.386 Z=179.410,0.044504
X=-126.367 Y=-7.537 Z=179.402,0.045115
X=-125.823 Y=-7.803 Z=179.325,0.041093
X=-125.374 Y=-8.220 Z=179.421,0.043424
X=-125.092 Y=-8.734 Z=179.307,0.045175
X=-124.937 Y=-9.349 Z=179.402,0.044498
X=-124.731 Y=-9.982 Z=179.494,0.044194
X=-124.452 Y=-10.654 Z=179.587,0.044114
X=-123.997 Y=-11.393 Z=179.620,0.043753
X=-123.496 Y=-12.061 Z=179.547,0.045581
X=-123.013 Y=-12.692 Z=179.369,0.044056
X=-122.641 Y=-13.244 Z=179.143,0.0449
X=-122.328 Y=-13.865 Z=179.080,0.044071
X=-122.107 Y=-14.393 Z=179.059,0.044547
X=-121.968 Y=-14.910 Z=179.147,0.045044
X=-121.844 Y=-15.446 Z=179.113,0.043693
X=-121.713 Y=-15.917 Z=179.120,0.044407
X=-121.621 Y=-16.328 Z=179.018,0.044486
X=-121.597 Y=-16.603 Z=178.964,0.044264
