Position, Time(s)
X=-210.179 Y=14.429 Z=14.991,0.193203
X=-206.369 Y=12.410 Z=26.121,0.4
X=-197.255 Y=6.842 Z=48.656,0.011523
X=-193.720 Y=4.494 Z=57.180,0.035733
X=-191.849 Y=3.128 Z=61.862,0.028794
X=-188.676 Y=0.778 Z=69.940,0.036143
X=-186.406 Y=-0.869 Z=75.637,0.033382
X=-184.246 Y=-2.402 Z=80.983,0.031987
X=-182.690 Y=-3.549 Z=84.824,0.032394
X=-179.229 Y=-6.332 Z=94.091,0.032167
X=-176.764 Y=-8.647 Z=101.265,0.042987
X=-174.803 Y=-10.358 Z=108.208,0.053055
X=-173.277 Y=-11.607 Z=114.566,0.057857
X=-171.942 Y=-12.178 Z=121.274,0.055
X=-170.571 Y=-12.014 Z=127.274,0.056335
X=-170.439 Y=-11.524 Z=132.800,0.055431
X=-170.847 Y=-10.888 Z=137.852,0.055398
X=-171.541 Y=-9.936 Z=142.097,0.055491
X=-172.886 Y=-8.692 Z=146.329,0.056062
X=-175.232 Y=-7.574 Z=150.434,0.056032
X=-178.068 Y=-6.514 Z=154.675,0.053813
X=-180.924 Y=-5.860 Z=158.458,0.056746
X=-183.657 Y=-5.231 Z=161.858,0.054667
X=-186.310 Y=-4.876 Z=165.258,0.055459
X=-188.463 Y=-4.955 Z=168.028,0.056306
X=-190.820 Y=-5.554 Z=169.978,0.054609
X=-193.561 Y=-6.591 Z=171.316,0.055904
X=-195.542 Y=-7.482 Z=171.634,0.055095
X=-197.248 Y=-8.229 Z=171.050,0.040861
X=-198.974 Y=-8.851 Z=170.058,0.045121
X=-199.618 Y=-9.067 Z=168.299,0.043792
X=-199.726 Y=-8.681 Z=166.372,0.045563
X=-199.687 Y=-7.746 Z=164.463,0.044808
X=-199.541 Y=-6.619 Z=162.333,0.043587
X=-199.781 Y=-5.520 Z=160.208,0.044748
X=-200.461 Y=-4.620 Z=158.634,0.044506
X=-201.433 Y=-3.735 Z=157.520,0.046661
X=-202.278 Y=-3.021 Z=156.740,0.044111
X=-203.118 Y=-2.195 Z=156.242,0.042314
X=-203.483 Y=-1.614 Z=156.430,0.04441
X=-202.924 Y=-1.635 Z=156.812,0.043584
X=-202.844 Y=-1.740 Z=156.878,0.045875
X=-203.401 Y=-2.012 Z=157.171,0.044164
X=-203.780 Y=-1.977 Z=157.516,0.044506
X=-204.158 Y=-1.950 Z=157.835,0.044277
X=-204.729 Y=-1.964 Z=157.958,0.043641
X=-206.102 Y=-2.044 Z=158.028,0.044655
X=-207.477 Y=-2.085 Z=157.426,0.044958
X=-208.352 Y=-2.002 Z=156.070,0.044229
X=-209.011 Y=-1.856 Z=154.844,0.045407
X=-209.118 Y=-1.838 Z=155.531,0.04024
X=-208.304 Y=-0.902 Z=157.096,0.04424
X=-208.452 Y=-0.823 Z=158.161,0.044539
X=-208.808 Y=-1.138 Z=158.878,0.043981
X=-209.435 Y=-2.104 Z=159.398,0.043579
X=-209.840 Y=-3.508 Z=159.170,0.044955
X=-209.959 Y=-4.250 Z=158.926,0.044517
X=-210.094 Y=-5.122 Z=158.040,0.044325
X=-210.502 Y=-5.633 Z=157.647,0.044319
X=-210.946 Y=-5.978 Z=157.433,0.045261
X=-210.801 Y=-6.298 Z=157.411,0.043437
X=-210.151 Y=-7.066 Z=157.557,0.044386
X=-209.686 Y=-7.429 Z=157.969,0.045686
X=-209.704 Y=-7.408 Z=158.092,0.043076
X=-210.321 Y=-6.853 Z=158.519,0.044756
X=-210.920 Y=-6.557 Z=159.017,0.046352
X=-211.599 Y=-6.264 Z=159.033,0.043049
X=-212.151 Y=-5.999 Z=158.859,0.04438
X=-212.698 Y=-5.538 Z=158.794,0.044227
X=-213.361 Y=-4.597 Z=158.551,0.044523
X=-213.957 Y=-3.659 Z=158.162,0.045188
X=-214.263 Y=-2.832 Z=158.118,0.043509
X=-214.579 Y=-2.017 Z=157.826,0.045372
X=-214.967 Y=-1.230 Z=157.635,0.040286
X=-214.856 Y=-0.551 Z=157.282,0.045163
X=-214.722 Y=-0.118 Z=156.708,0.0445
X=-214.919 Y=0.235 Z=155.023,0.043158
X=-215.973 Y=0.050 Z=152.766,0.044798
X=-217.425 Y=-0.664 Z=150.955,0.044687
X=-218.917 Y=-0.681 Z=149.747,0.043485
X=-220.516 Y=-0.483 Z=149.098,0.045036
X=-220.295 Y=-0.505 Z=150.461,0.04441
X=-220.182 Y=-0.995 Z=151.154,0.044242
X=-220.179 Y=-1.489 Z=151.624,0.044197
X=-219.829 Y=-2.367 Z=151.965,0.045409
X=-219.690 Y=-3.228 Z=152.290,0.044866
X=-219.773 Y=-3.928 Z=152.687,0.043441
X=-220.010 Y=-4.542 Z=152.747,0.044876
X=-220.127 Y=-4.159 Z=152.869,0.044304
X=-220.609 Y=-3.628 Z=152.694,0.043983
X=-221.053 Y=-4.271 Z=152.918,0.045826
X=-221.160 Y=-4.865 Z=153.554,0.04326
X=-221.325 Y=-4.551 Z=154.429,0.044854
X=-221.685 Y=-3.609 Z=154.753,0.044983
X=-222.032 Y=-2.909 Z=154.215,0.043905
X=-222.020 Y=-2.849 Z=153.593,0.042596
X=-221.832 Y=-3.107 Z=153.254,0.044204
X=-221.734 Y=-3.522 Z=152.965,0.044129
X=-221.707 Y=-3.925 Z=152.761,0.044369
X=-221.584 Y=-4.326 Z=152.636,0.045068
X=-221.412 Y=-4.763 Z=152.526,0.044849
X=-221.440 Y=-5.097 Z=152.563,0.043219
X=-221.584 Y=-4.982 Z=152.718,0.045916
X=-221.739 Y=-4.820 Z=152.819,0.043587
X=-221.819 Y=-4.787 Z=152.956,0.044043
X=-221.809 Y=-4.884 Z=153.149,0.045323
X=-221.885 Y=-5.011 Z=153.204,0.043243
X=-222.071 Y=-4.977 Z=153.305,0.04454
X=-222.542 Y=-4.932 Z=153.123,0.045061
X=-222.918 Y=-5.088 Z=153.017,0.045266
X=-223.078 Y=-5.395 Z=153.048,0.044339
X=-223.046 Y=-5.808 Z=153.201,0.043643
X=-223.172 Y=-6.094 Z=153.345,0.044692
X=-223.467 Y=-6.211 Z=153.470,0.044012
X=-223.777 Y=-6.204 Z=153.735,0.045201
X=-224.129 Y=-6.149 Z=154.138,0.044673
X=-224.519 Y=-5.981 Z=154.384,0.043859
X=-224.798 Y=-5.756 Z=154.384,0.044812
X=-224.886 Y=-5.709 Z=154.158,0.045381
X=-224.796 Y=-5.746 Z=153.834,0.043602
X=-224.665 Y=-5.789 Z=153.586,0.043979
X=-224.668 Y=-5.812 Z=153.372,0.046018
X=-224.688 Y=-5.829 Z=153.367,0.043105
X=-224.768 Y=-6.064 Z=153.254,0.045305
X=-224.781 Y=-6.433 Z=152.949,0.043727
X=-224.666 Y=-6.820 Z=152.402,0.043754
X=-224.719 Y=-6.947 Z=151.835,0.045793
X=-224.961 Y=-6.420 Z=151.749,0.043708
X=-225.236 Y=-5.868 Z=151.945,0.044752
X=-225.675 Y=-5.399 Z=152.144,0.04378
X=-225.848 Y=-4.648 Z=152.144,0.045329
X=-225.896 Y=-4.325 Z=152.217,0.043559
X=-225.882 Y=-4.333 Z=152.287,0.044942
X=-225.873 Y=-4.406 Z=152.370,0.045777
X=-225.855 Y=-4.278 Z=152.577,0.042558
X=-225.755 Y=-4.139 Z=152.779,0.045014
X=-225.780 Y=-4.145 Z=152.909,0.045006
X=-225.850 Y=-4.120 Z=152.787,0.043978
X=-226.044 Y=-3.958 Z=152.618,0.043614
X=-225.833 Y=-3.323 Z=152.504,0.046109
X=-225.427 Y=-2.729 Z=152.173,0.042533
X=-224.808 Y=-2.427 Z=151.817,0.044791
X=-223.810 Y=-2.554 Z=151.684,0.045328
X=-223.182 Y=-2.797 Z=151.344,0.044281
X=-223.249 Y=-3.094 Z=150.931,0.043734
X=-223.174 Y=-3.394 Z=151.185,0.044982
X=-223.002 Y=-3.763 Z=151.659,0.044112
X=-223.007 Y=-4.167 Z=152.019,0.044006
X=-223.113 Y=-4.486 Z=152.312,0.045578
X=-223.306 Y=-4.660 Z=152.568,0.043594
X=-223.467 Y=-4.696 Z=152.620,0.044888
X=-223.634 Y=-4.696 Z=152.611,0.0445
X=-223.664 Y=-4.953 Z=152.645,0.044329
X=-223.809 Y=-4.956 Z=152.613,0.044451
X=-223.983 Y=-5.170 Z=152.673,0.043919
X=-224.064 Y=-5.346 Z=152.892,0.045984
X=-223.983 Y=-5.651 Z=153.078,0.043957
X=-223.983 Y=-5.759 Z=153.029,0.044418
X=-223.930 Y=-5.926 Z=152.967,0.043996
X=-223.815 Y=-5.972 Z=153.022,0.045308
X=-223.607 Y=-5.719 Z=152.959,0.042666
X=-223.633 Y=-5.791 Z=153.020,0.044837
X=-223.776 Y=-5.759 Z=153.268,0.046119
X=-224.108 Y=-5.781 Z=153.688,0.043137
X=-224.860 Y=-5.685 Z=153.742,0.044438
X=-225.836 Y=-5.539 Z=153.625,0.045339
X=-226.757 Y=-5.479 Z=153.488,0.043568
X=-227.367 Y=-5.344 Z=153.621,0.04568
X=-227.548 Y=-5.194 Z=153.992,0.042793
X=-227.465 Y=-5.125 Z=154.169,0.045203
X=-227.282 Y=-5.090 Z=154.109,0.0446
X=-227.035 Y=-5.160 Z=153.924,0.043757
X=-226.745 Y=-5.294 Z=153.656,0.044362
X=-226.439 Y=-5.384 Z=153.502,0.044422
X=-226.093 Y=-5.537 Z=153.495,0.044295
X=-225.823 Y=-5.554 Z=153.503,0.045652
X=-225.452 Y=-5.448 Z=153.670,0.04409
X=-224.916 Y=-5.215 Z=153.588,0.044404
X=-224.245 Y=-4.796 Z=153.305,0.04403
X=-223.503 Y=-4.430 Z=152.802,0.044302
X=-222.908 Y=-4.209 Z=152.539,0.04418
X=-222.568 Y=-4.329 Z=152.358,0.044624
X=-222.534 Y=-4.594 Z=152.404,0.045939
X=-222.474 Y=-4.796 Z=152.665,0.042623
X=-222.392 Y=-4.976 Z=152.789,0.045689
X=-222.512 Y=-5.129 Z=152.745,0.044993
X=-222.537 Y=-5.228 Z=152.741,0.043553
X=-222.470 Y=-5.319 Z=152.744,0.044078
X=-222.368 Y=-5.312 Z=152.766,0.044236
X=-222.241 Y=-5.315 Z=152.871,0.045236
X=-222.195 Y=-5.332 Z=152.793,0.043243
X=-222.117 Y=-5.316 Z=152.795,0.045256
X=-221.971 Y=-5.273 Z=152.810,0.044523
X=-221.836 Y=-5.268 Z=152.822,0.04495
X=-221.770 Y=-5.299 Z=152.763,0.043267
X=-221.711 Y=-5.268 Z=152.827,0.045947
X=-221.717 Y=-5.260 Z=152.904,0.043719
X=-221.699 Y=-5.257 Z=152.939,0.043602
