Position, Time(s)
X=-196.113 Y=-0.674 Z=160.275,0.008334
X=-196.081 Y=-1.523 Z=159.656,0.4
X=-196.587 Y=-1.801 Z=160.817,0.011295
X=-196.812 Y=-1.530 Z=161.088,0.027109
X=-197.039 Y=-1.250 Z=161.321,0.02905
X=-197.294 Y=-0.934 Z=161.559,0.039085
X=-197.577 Y=-0.560 Z=161.793,0.037832
X=-197.820 Y=-0.248 Z=161.949,0.036921
X=-198.091 Y=0.104 Z=162.076,0.037402
X=-198.442 Y=0.513 Z=162.199,0.036412
X=-198.722 Y=0.737 Z=162.425,0.036024
X=-198.979 Y=0.955 Z=162.549,0.036743
X=-199.244 Y=1.278 Z=162.551,0.038448
X=-199.393 Y=1.538 Z=162.599,0.036821
X=-199.485 Y=1.949 Z=162.601,0.037774
X=-199.578 Y=2.646 Z=162.465,0.036807
X=-199.715 Y=3.255 Z=162.163,0.035969
X=-199.894 Y=3.689 Z=161.841,0.036385
X=-200.065 Y=4.029 Z=161.329,0.037315
X=-200.122 Y=4.171 Z=160.954,0.036224
X=-200.183 Y=4.229 Z=160.723,0.035262
X=-200.124 Y=4.320 Z=160.389,0.036416
X=-200.067 Y=4.474 Z=159.789,0.047036
X=-200.029 Y=4.674 Z=159.010,0.055957
X=-199.912 Y=4.903 Z=158.202,0.055169
X=-199.693 Y=5.058 Z=157.045,0.054289
X=-199.565 Y=5.218 Z=155.418,0.056483
X=-199.371 Y=5.281 Z=153.414,0.056548
X=-199.163 Y=5.226 Z=152.197,0.055815
X=-198.887 Y=5.220 Z=151.338,0.056631
X=-198.747 Y=5.215 Z=150.964,0.05652
X=-198.444 Y=5.123 Z=150.939,0.054153
X=-198.283 Y=5.006 Z=150.941,0.053919
X=-198.119 Y=4.856 Z=150.907,0.056173
X=-197.910 Y=4.691 Z=150.958,0.05635
X=-197.748 Y=4.479 Z=151.111,0.055566
X=-197.644 Y=4.260 Z=151.390,0.056042
X=-197.546 Y=4.077 Z=151.882,0.05612
X=-197.547 Y=3.905 Z=152.728,0.054384
X=-197.669 Y=3.878 Z=153.321,0.051408
X=-197.894 Y=3.911 Z=154.170,0.034285
X=-198.224 Y=3.972 Z=155.041,0.044016
X=-198.655 Y=4.034 Z=155.915,0.044561
X=-199.177 Y=4.113 Z=156.769,0.047754
X=-199.658 Y=4.133 Z=157.593,0.042682
X=-200.176 Y=4.128 Z=158.238,0.041605
X=-200.618 Y=4.020 Z=158.703,0.044744
X=-200.944 Y=3.854 Z=159.015,0.043474
X=-201.201 Y=3.694 Z=159.167,0.048052
X=-201.375 Y=3.486 Z=159.420,0.040766
X=-201.520 Y=3.318 Z=159.703,0.044878
X=-201.677 Y=3.140 Z=159.963,0.043319
X=-201.818 Y=2.974 Z=160.150,0.04459
X=-201.944 Y=2.831 Z=160.295,0.045068
X=-202.006 Y=2.701 Z=160.333,0.044881
X=-202.036 Y=2.591 Z=160.350,0.044235
X=-202.077 Y=2.495 Z=160.348,0.044369
X=-202.075 Y=2.395 Z=160.387,0.04488
X=-202.104 Y=2.294 Z=160.406,0.044111
X=-202.178 Y=2.220 Z=160.427,0.043134
X=-202.188 Y=2.164 Z=160.406,0.045989
X=-202.176 Y=2.051 Z=160.352,0.043486
X=-202.147 Y=1.852 Z=160.287,0.041342
X=-202.139 Y=1.628 Z=160.337,0.043885
X=-202.103 Y=1.469 Z=160.301,0.045546
X=-202.079 Y=1.428 Z=160.235,0.044319
X=-201.998 Y=1.424 Z=160.242,0.045863
X=-201.953 Y=1.428 Z=160.241,0.043
X=-201.916 Y=1.413 Z=160.263,0.044618
X=-201.873 Y=1.358 Z=160.310,0.043755
X=-201.815 Y=1.277 Z=160.335,0.044156
X=-201.687 Y=1.166 Z=160.304,0.046291
X=-201.522 Y=1.038 Z=160.277,0.043441
X=-201.346 Y=0.935 Z=160.230,0.043553
X=-201.181 Y=0.917 Z=160.150,0.045181
X=-200.997 Y=0.876 Z=160.097,0.043493
X=-200.880 Y=0.753 Z=160.034,0.045398
X=-200.811 Y=0.549 Z=160.052,0.043773
X=-200.719 Y=0.169 Z=160.177,0.044874
X=-200.714 Y=-0.335 Z=160.408,0.044367
X=-200.891 Y=-1.004 Z=160.596,0.043583
X=-201.262 Y=-1.677 Z=160.740,0.048671
X=-201.684 Y=-2.305 Z=160.861,0.041713
X=-202.190 Y=-2.828 Z=160.933,0.044756
X=-202.576 Y=-3.128 Z=160.881,0.043718
X=-202.925 Y=-3.455 Z=160.834,0.040891
X=-203.130 Y=-3.647 Z=160.793,0.045289
X=-203.246 Y=-3.753 Z=160.770,0.043136
X=-203.334 Y=-3.813 Z=160.785,0.044915
X=-203.350 Y=-3.808 Z=160.782,0.043175
X=-203.384 Y=-3.795 Z=160.792,0.045541
X=-203.358 Y=-3.712 Z=160.827,0.043542
X=-203.266 Y=-3.581 Z=160.834,0.044914
X=-203.158 Y=-3.419 Z=160.866,0.044452
X=-203.012 Y=-3.191 Z=160.781,0.044226
X=-202.721 Y=-2.818 Z=160.548,0.044789
X=-202.296 Y=-2.403 Z=160.201,0.044832
X=-201.895 Y=-2.017 Z=159.715,0.044184
X=-201.640 Y=-1.614 Z=159.105,0.043558
X=-201.347 Y=-1.257 Z=158.533,0.04589
X=-201.044 Y=-1.005 Z=158.014,0.0428
X=-200.831 Y=-0.848 Z=157.512,0.045069
X=-200.688 Y=-0.814 Z=156.781,0.04477
X=-200.612 Y=-0.985 Z=155.838,0.044908
X=-200.661 Y=-1.270 Z=154.687,0.043395
X=-200.704 Y=-1.659 Z=153.443,0.044564
X=-200.673 Y=-2.137 Z=152.237,0.045161
X=-200.617 Y=-2.492 Z=151.155,0.040714
X=-200.371 Y=-2.651 Z=150.386,0.04431
X=-200.215 Y=-2.540 Z=149.780,0.044339
X=-199.856 Y=-2.438 Z=149.411,0.044919
X=-199.612 Y=-2.457 Z=149.118,0.044676
X=-199.537 Y=-2.578 Z=148.733,0.043628
X=-199.517 Y=-2.726 Z=148.328,0.043775
X=-199.452 Y=-2.779 Z=148.038,0.044782
X=-199.309 Y=-2.727 Z=148.006,0.047185
X=-199.128 Y=-2.542 Z=148.218,0.043928
X=-198.936 Y=-2.299 Z=148.491,0.044375
X=-198.850 Y=-2.077 Z=148.699,0.042577
X=-198.825 Y=-1.781 Z=148.848,0.046273
X=-198.815 Y=-1.442 Z=149.032,0.043843
X=-198.834 Y=-1.125 Z=149.322,0.044335
X=-198.815 Y=-0.805 Z=149.685,0.04278
X=-198.818 Y=-0.495 Z=150.159,0.045109
X=-198.774 Y=-0.276 Z=150.719,0.045722
X=-198.776 Y=-0.126 Z=151.380,0.044139
X=-198.916 Y=-0.021 Z=152.034,0.04413
X=-199.032 Y=0.099 Z=152.607,0.044853
X=-199.125 Y=0.205 Z=153.155,0.043378
X=-199.216 Y=0.297 Z=153.652,0.044261
X=-199.305 Y=0.361 Z=154.131,0.040836
X=-199.376 Y=0.365 Z=154.662,0.045419
X=-199.472 Y=0.413 Z=155.225,0.044015
X=-199.538 Y=0.500 Z=155.870,0.043577
X=-199.630 Y=0.625 Z=156.429,0.045836
X=-199.713 Y=0.808 Z=156.901,0.043825
X=-199.780 Y=1.041 Z=157.274,0.045166
X=-199.822 Y=1.297 Z=157.641,0.043407
X=-199.754 Y=1.701 Z=157.918,0.046067
X=-199.620 Y=2.346 Z=157.993,0.042927
X=-199.461 Y=3.075 Z=157.944,0.04429
X=-199.270 Y=3.745 Z=157.889,0.04613
X=-199.151 Y=4.245 Z=157.923,0.045387
X=-199.016 Y=4.708 Z=157.960,0.044208
X=-198.796 Y=5.215 Z=157.972,0.044705
X=-198.563 Y=5.744 Z=158.006,0.043597
X=-198.195 Y=6.228 Z=157.993,0.043581
X=-197.666 Y=6.634 Z=157.964,0.0444
X=-196.885 Y=6.896 Z=157.753,0.046045
X=-195.909 Y=7.036 Z=157.693,0.04317
X=-194.787 Y=7.022 Z=157.260,0.044278
X=-193.543 Y=6.934 Z=157.041,0.044745
X=-192.206 Y=6.722 Z=157.008,0.040731
X=-190.806 Y=6.393 Z=157.065,0.044448
X=-189.104 Y=5.996 Z=157.124,0.04715
X=-187.068 Y=5.538 Z=157.052,0.04055
X=-184.814 Y=4.974 Z=156.824,0.044375
X=-182.374 Y=4.376 Z=156.498,0.045522
X=-179.775 Y=3.706 Z=156.127,0.044563
X=-177.118 Y=2.890 Z=155.888,0.043827
X=-174.492 Y=2.043 Z=156.137,0.045208
