Position, Time(s)
X=-230.234 Y=23.172 Z=163.643,0.008334
X=-230.109 Y=23.306 Z=163.530,0.4
X=-230.003 Y=23.785 Z=163.044,0.014862
X=-229.993 Y=23.829 Z=162.979,0.041018
X=-229.961 Y=23.859 Z=162.940,0.034601
X=-229.942 Y=23.895 Z=162.948,0.035603
X=-229.956 Y=23.960 Z=162.986,0.040273
X=-230.004 Y=23.967 Z=163.009,0.03759
X=-230.041 Y=23.998 Z=163.007,0.038875
X=-230.151 Y=24.038 Z=163.045,0.037466
X=-230.251 Y=24.041 Z=163.052,0.040005
X=-230.440 Y=24.056 Z=163.069,0.037282
X=-230.566 Y=24.056 Z=163.081,0.038586
X=-230.746 Y=24.039 Z=163.115,0.037891
X=-230.917 Y=24.013 Z=163.140,0.038401
X=-231.139 Y=23.951 Z=163.203,0.037504
X=-231.277 Y=23.907 Z=163.223,0.037008
X=-231.458 Y=23.826 Z=163.256,0.039333
X=-231.644 Y=23.724 Z=163.287,0.037049
X=-231.895 Y=23.560 Z=163.313,0.03704
X=-232.092 Y=23.359 Z=163.312,0.046766
X=-232.361 Y=23.197 Z=163.330,0.054068
X=-232.575 Y=23.055 Z=163.332,0.056368
X=-232.773 Y=22.904 Z=163.367,0.05435
X=-233.032 Y=22.727 Z=163.378,0.056032
X=-233.237 Y=22.565 Z=163.381,0.056753
X=-233.430 Y=22.298 Z=163.400,0.05487
X=-233.650 Y=22.028 Z=163.390,0.056369
X=-233.919 Y=21.532 Z=163.394,0.054212
X=-234.248 Y=20.871 Z=163.320,0.056046
X=-234.607 Y=20.268 Z=163.195,0.055221
X=-234.878 Y=19.719 Z=163.076,0.055658
X=-235.157 Y=19.341 Z=162.976,0.056439
X=-235.405 Y=19.109 Z=162.953,0.055474
X=-235.512 Y=19.001 Z=162.940,0.056621
X=-235.527 Y=18.976 Z=162.940,0.053814
X=-235.502 Y=19.044 Z=162.919,0.05469
X=-235.419 Y=19.085 Z=162.893,0.041891
