Position, Time(s)
X=-222.179 Y=0.051 Z=182.454,0.333333
X=-222.167 Y=-0.465 Z=182.429,0.4
X=-221.913 Y=-2.496 Z=182.488,0.017243
X=-221.734 Y=-2.660 Z=182.438,0.023051
X=-221.555 Y=-2.634 Z=182.396,0.028651
X=-221.226 Y=-2.500 Z=182.382,0.035242
X=-220.896 Y=-2.403 Z=182.384,0.034353
X=-220.390 Y=-2.144 Z=182.278,0.0328
X=-219.515 Y=-1.676 Z=182.207,0.032325
X=-218.179 Y=-0.885 Z=182.106,0.032187
X=-216.984 Y=-0.284 Z=181.913,0.032223
X=-215.140 Y=0.377 Z=181.392,0.033154
X=-213.162 Y=0.897 Z=180.369,0.033839
X=-211.306 Y=0.979 Z=179.013,0.034171
X=-209.305 Y=0.565 Z=176.958,0.033772
X=-208.003 Y=-0.210 Z=175.013,0.034251
X=-206.846 Y=-1.229 Z=173.391,0.033919
X=-206.068 Y=-2.427 Z=172.013,0.033675
X=-205.685 Y=-3.597 Z=171.406,0.033471
X=-205.222 Y=-4.443 Z=171.292,0.033083
X=-204.901 Y=-4.966 Z=171.247,0.033589
X=-204.647 Y=-5.271 Z=171.452,0.033651
X=-204.502 Y=-5.358 Z=171.407,0.033104
X=-204.369 Y=-5.268 Z=171.210,0.032994
X=-204.382 Y=-4.997 Z=171.031,0.033057
X=-204.286 Y=-4.610 Z=171.022,0.032865
X=-204.138 Y=-4.151 Z=171.045,0.032859
X=-203.841 Y=-3.402 Z=170.857,0.033209
X=-203.412 Y=-2.867 Z=170.382,0.043344
X=-202.951 Y=-2.417 Z=169.854,0.053407
X=-202.432 Y=-1.999 Z=169.098,0.056615
X=-202.010 Y=-1.400 Z=168.397,0.054093
X=-201.635 Y=-0.902 Z=167.981,0.055739
X=-201.437 Y=-0.454 Z=168.098,0.05489
X=-201.487 Y=-0.064 Z=168.404,0.05618
X=-201.688 Y=0.248 Z=168.719,0.056846
X=-201.878 Y=0.422 Z=168.992,0.054185
X=-202.184 Y=0.566 Z=169.277,0.055517
X=-202.479 Y=0.636 Z=169.542,0.054972
X=-202.766 Y=0.642 Z=169.764,0.056203
X=-203.058 Y=0.631 Z=170.062,0.055435
X=-203.397 Y=0.636 Z=170.352,0.055564
X=-203.765 Y=0.634 Z=170.637,0.055127
X=-204.088 Y=0.604 Z=170.998,0.055521
X=-204.422 Y=0.525 Z=171.342,0.054808
X=-204.712 Y=0.448 Z=171.672,0.057245
X=-204.847 Y=0.388 Z=171.829,0.057705
X=-205.047 Y=0.280 Z=172.193,0.028238
X=-205.284 Y=0.143 Z=172.489,0.034018
X=-205.449 Y=0.018 Z=172.797,0.045704
X=-205.698 Y=-0.098 Z=173.058,0.041624
X=-205.890 Y=-0.216 Z=173.241,0.043727
X=-206.051 Y=-0.386 Z=173.473,0.045787
X=-206.161 Y=-0.681 Z=173.614,0.043786
X=-206.335 Y=-1.234 Z=173.803,0.045034
X=-206.540 Y=-2.099 Z=173.924,0.045476
X=-206.792 Y=-3.405 Z=174.024,0.042374
X=-207.318 Y=-4.698 Z=173.721,0.0454
X=-207.888 Y=-5.628 Z=173.477,0.045475
X=-208.255 Y=-6.027 Z=173.559,0.044288
X=-208.590 Y=-6.086 Z=173.734,0.043163
X=-208.769 Y=-5.795 Z=173.969,0.044292
X=-208.836 Y=-5.433 Z=174.233,0.04388
X=-208.892 Y=-5.012 Z=174.472,0.044728
X=-208.986 Y=-4.574 Z=174.720,0.044823
X=-209.186 Y=-4.123 Z=175.012,0.044702
X=-209.388 Y=-3.734 Z=175.345,0.044547
X=-209.686 Y=-3.364 Z=175.594,0.043741
X=-210.002 Y=-3.107 Z=175.781,0.044887
X=-210.285 Y=-2.927 Z=175.938,0.040274
X=-210.512 Y=-2.744 Z=176.110,0.04452
X=-210.616 Y=-2.681 Z=176.300,0.043592
X=-210.758 Y=-2.566 Z=176.322,0.045364
X=-210.895 Y=-2.411 Z=176.326,0.044044
X=-211.054 Y=-2.311 Z=176.231,0.046647
X=-211.124 Y=-2.200 Z=176.171,0.04217
X=-211.180 Y=-2.084 Z=176.205,0.044657
X=-211.222 Y=-1.911 Z=176.185,0.043935
X=-211.218 Y=-1.708 Z=176.069,0.045332
X=-211.237 Y=-1.462 Z=175.905,0.044174
X=-211.287 Y=-1.141 Z=175.746,0.043695
X=-211.299 Y=-0.842 Z=175.681,0.045902
X=-211.210 Y=-0.530 Z=175.512,0.043753
X=-211.129 Y=-0.217 Z=175.408,0.043556
X=-211.103 Y=0.105 Z=175.266,0.045447
X=-211.009 Y=0.416 Z=175.101,0.04458
X=-211.000 Y=0.698 Z=175.025,0.044183
X=-210.920 Y=0.983 Z=174.886,0.044023
X=-210.806 Y=1.252 Z=174.859,0.045698
X=-210.668 Y=1.524 Z=174.787,0.043357
X=-210.498 Y=1.765 Z=174.680,0.044701
X=-210.284 Y=2.021 Z=174.584,0.04088
X=-210.119 Y=2.236 Z=174.441,0.047725
X=-209.979 Y=2.482 Z=174.384,0.042273
X=-209.847 Y=2.740 Z=174.327,0.044543
X=-209.721 Y=2.996 Z=174.229,0.043902
X=-209.587 Y=3.236 Z=174.195,0.043952
X=-209.464 Y=3.461 Z=174.152,0.044263
X=-209.304 Y=3.664 Z=174.102,0.04428
X=-209.202 Y=3.868 Z=174.061,0.045484
X=-209.096 Y=4.066 Z=173.991,0.043556
X=-208.979 Y=4.271 Z=173.956,0.04527
X=-208.874 Y=4.506 Z=173.888,0.044411
X=-208.741 Y=4.780 Z=173.823,0.044572
X=-208.501 Y=5.070 Z=173.744,0.0443
X=-208.199 Y=5.453 Z=173.540,0.043599
X=-207.885 Y=5.872 Z=173.348,0.045116
X=-207.481 Y=6.309 Z=173.039,0.043436
X=-206.981 Y=6.828 Z=172.529,0.044802
X=-206.471 Y=7.375 Z=171.875,0.044549
X=-205.863 Y=7.948 Z=171.051,0.04477
X=-205.252 Y=8.498 Z=170.077,0.0443
X=-204.575 Y=9.043 Z=168.979,0.044369
X=-203.816 Y=9.611 Z=167.919,0.04453
X=-203.094 Y=10.161 Z=166.785,0.043298
X=-202.218 Y=10.667 Z=165.850,0.044976
X=-201.369 Y=11.019 Z=164.968,0.044586
X=-200.487 Y=11.244 Z=164.056,0.043865
X=-199.504 Y=11.292 Z=163.215,0.044961
X=-198.310 Y=11.158 Z=162.852,0.044308
X=-196.945 Y=10.940 Z=162.580,0.043473
X=-195.444 Y=10.625 Z=162.377,0.044774
X=-193.862 Y=10.233 Z=162.032,0.045352
X=-192.130 Y=9.603 Z=161.710,0.042538
X=-190.277 Y=8.856 Z=161.604,0.045759
X=-188.334 Y=7.961 Z=161.564,0.043887
X=-186.297 Y=6.882 Z=161.678,0.044786
X=-184.098 Y=5.814 Z=161.925,0.044686
X=-181.571 Y=4.691 Z=162.214,0.044749
X=-179.019 Y=3.566 Z=162.410,0.044662
X=-176.321 Y=2.430 Z=162.770,0.04499
X=-173.440 Y=1.307 Z=163.294,0.042762
X=-170.784 Y=0.328 Z=163.832,0.045247
X=-168.558 Y=-0.525 Z=164.431,0.043371
X=-166.649 Y=-1.203 Z=165.145,0.044944
X=-164.841 Y=-1.741 Z=165.830,0.044711
X=-163.126 Y=-2.085 Z=166.382,0.045272
X=-161.434 Y=-2.309 Z=166.806,0.043621
X=-159.618 Y=-2.446 Z=167.249,0.045364
X=-157.639 Y=-2.482 Z=167.619,0.044174
X=-155.616 Y=-2.402 Z=167.804,0.044824
X=-153.432 Y=-2.279 Z=167.928,0.043478
X=-151.012 Y=-2.110 Z=167.960,0.044826
X=-148.498 Y=-1.896 Z=167.861,0.043967
X=-145.971 Y=-1.628 Z=167.687,0.045132
X=-143.211 Y=-1.382 Z=167.654,0.043464
X=-140.430 Y=-1.231 Z=167.646,0.046046
X=-137.725 Y=-1.215 Z=167.712,0.044067
X=-134.938 Y=-1.413 Z=168.219,0.043438
X=-132.297 Y=-1.930 Z=168.941,0.046984
X=-129.886 Y=-2.653 Z=169.861,0.04217
X=-128.214 Y=-3.572 Z=170.394,0.04505
X=-126.717 Y=-4.808 Z=170.954,0.046029
X=-125.470 Y=-6.358 Z=171.765,0.045494
X=-124.254 Y=-7.826 Z=172.588,0.043679
X=-122.912 Y=-9.006 Z=172.964,0.043398
X=-121.120 Y=-10.070 Z=173.043,0.044225
X=-119.001 Y=-11.084 Z=172.866,0.045191
X=-116.249 Y=-12.239 Z=172.546,0.043681
X=-113.104 Y=-13.431 Z=171.917,0.043254
X=-109.623 Y=-14.794 Z=171.432,0.045457
X=-105.736 Y=-16.272 Z=170.910,0.042535
X=-101.856 Y=-17.672 Z=170.603,0.045861
X=-98.002 Y=-19.124 Z=170.720,0.042966
X=-94.791 Y=-20.289 Z=170.858,0.046463
X=-91.897 Y=-21.242 Z=171.394,0.044066
X=-89.451 Y=-21.972 Z=171.878,0.04495
X=-87.100 Y=-22.812 Z=172.652,0.043652
X=-84.777 Y=-23.765 Z=173.527,0.043217
X=-82.604 Y=-24.707 Z=174.152,0.044674
X=-80.818 Y=-25.622 Z=174.584,0.044601
X=-79.317 Y=-26.453 Z=174.961,0.044381
X=-77.958 Y=-27.265 Z=175.286,0.045379
X=-76.752 Y=-27.791 Z=175.256,0.043802
X=-75.780 Y=-28.094 Z=175.202,0.044971
X=-74.979 Y=-28.107 Z=175.031,0.044338
X=-74.398 Y=-27.755 Z=174.680,0.04468
X=-73.743 Y=-27.321 Z=174.618,0.044104
X=-73.186 Y=-26.618 Z=174.423,0.043337
X=-72.547 Y=-25.801 Z=174.212,0.045509
X=-71.734 Y=-24.810 Z=173.963,0.044047
X=-70.788 Y=-23.756 Z=173.936,0.044999
X=-69.860 Y=-22.530 Z=173.846,0.045137
X=-68.769 Y=-21.270 Z=173.611,0.043332
X=-67.345 Y=-20.252 Z=174.035,0.045142
X=-66.125 Y=-18.933 Z=173.773,0.044542
X=-64.916 Y=-17.788 Z=173.518,0.044583
X=-63.754 Y=-16.872 Z=173.486,0.0448
X=-62.748 Y=-16.079 Z=173.311,0.045199
X=-61.892 Y=-15.455 Z=173.141,0.043273
X=-61.117 Y=-15.074 Z=173.129,0.043375
X=-60.379 Y=-15.011 Z=173.393,0.044388
X=-59.730 Y=-15.081 Z=173.718,0.046007
X=-59.237 Y=-15.259 Z=173.940,0.04412
X=-58.978 Y=-15.312 Z=173.815,0.044752
X=-58.814 Y=-15.471 Z=173.594,0.043548
X=-58.608 Y=-15.872 Z=173.967,0.045916
X=-58.494 Y=-16.309 Z=174.371,0.042392
X=-58.314 Y=-16.657 Z=174.453,0.045775
X=-58.126 Y=-16.976 Z=174.533,0.044302
X=-57.889 Y=-17.254 Z=174.513,0.044043
X=-57.622 Y=-17.558 Z=174.497,0.0442
X=-57.213 Y=-17.838 Z=174.445,0.044752
X=-56.787 Y=-18.075 Z=174.352,0.044906
X=-56.272 Y=-18.210 Z=174.405,0.143575
X=-55.260 Y=-18.516 Z=174.372,0.12584
X=-54.138 Y=-18.879 Z=174.318,0.118958
X=-53.476 Y=-19.420 Z=174.404,0.113915
X=-52.950 Y=-19.909 Z=174.364,0.117111
X=-51.514 Y=-21.044 Z=174.253,0.122655
X=-50.077 Y=-22.052 Z=174.080,0.12132
X=-49.375 Y=-22.448 Z=174.047,0.029929
X=-49.154 Y=-22.554 Z=174.025,0.032169
X=-48.936 Y=-22.583 Z=173.992,0.031205
X=-48.776 Y=-22.557 Z=173.966,0.029759
X=-48.698 Y=-22.518 Z=173.972,0.03757
X=-48.622 Y=-22.474 Z=174.109,0.038991
X=-48.540 Y=-22.401 Z=174.198,0.045439
X=-48.474 Y=-22.275 Z=174.266,0.043681
X=-48.432 Y=-22.120 Z=174.293,0.046526
X=-48.342 Y=-21.914 Z=174.298,0.042174
X=-48.132 Y=-21.542 Z=174.326,0.044423
X=-47.928 Y=-21.111 Z=174.303,0.044699
X=-47.775 Y=-20.776 Z=174.309,0.043392
X=-47.756 Y=-20.604 Z=174.216,0.04589
X=-47.819 Y=-20.544 Z=174.221,0.044241
X=-47.915 Y=-20.582 Z=174.175,0.04366
X=-48.023 Y=-20.651 Z=174.154,0.045951
X=-48.138 Y=-20.829 Z=174.135,0.045012
X=-48.254 Y=-21.025 Z=174.171,0.043302
X=-48.393 Y=-21.223 Z=174.243,0.04376
X=-48.599 Y=-21.415 Z=174.239,0.044919
