Position, Time(s)
X=-225.412 Y=9.062 Z=163.946,0.149602
X=-225.633 Y=9.206 Z=163.979,0.4
X=-226.492 Y=9.155 Z=164.119,0.013292
X=-226.565 Y=9.119 Z=164.081,0.033279
X=-226.702 Y=9.071 Z=164.062,0.063221
X=-226.759 Y=8.985 Z=164.080,0.052527
X=-226.760 Y=8.872 Z=164.047,0.066664
X=-226.809 Y=8.723 Z=164.007,0.054589
X=-226.793 Y=8.571 Z=163.959,0.057486
X=-226.809 Y=8.352 Z=163.949,0.054549
X=-226.819 Y=8.202 Z=163.949,0.053836
X=-226.827 Y=7.965 Z=163.954,0.054417
X=-226.778 Y=7.801 Z=163.939,0.054254
X=-226.700 Y=7.669 Z=163.935,0.051787
X=-226.555 Y=7.700 Z=163.902,0.05289
X=-226.376 Y=7.743 Z=163.913,0.05367
X=-226.303 Y=7.864 Z=163.867,0.053898
X=-226.370 Y=7.976 Z=163.833,0.053633
X=-226.434 Y=7.971 Z=163.908,0.052007
X=-226.454 Y=7.962 Z=163.922,0.053939
X=-226.463 Y=7.916 Z=163.956,0.054449
X=-226.375 Y=7.791 Z=163.948,0.051496
X=-226.270 Y=7.718 Z=163.847,0.048582
X=-226.185 Y=7.669 Z=163.660,0.049696
X=-225.987 Y=7.566 Z=163.607,0.050838
X=-225.774 Y=7.515 Z=163.644,0.049112
X=-225.561 Y=7.545 Z=163.614,0.05075
X=-225.319 Y=7.588 Z=163.516,0.049354
X=-225.143 Y=7.616 Z=163.442,0.052803
X=-225.054 Y=7.641 Z=163.412,0.050948
X=-224.969 Y=7.727 Z=163.404,0.054451
X=-224.936 Y=7.780 Z=163.441,0.054513
X=-224.943 Y=7.836 Z=163.457,0.05506
X=-225.014 Y=7.887 Z=163.496,0.057207
X=-225.076 Y=8.044 Z=163.496,0.055184
X=-225.151 Y=8.169 Z=163.541,0.053326
X=-225.269 Y=8.252 Z=163.593,0.057833
X=-225.391 Y=8.334 Z=163.655,0.054373
X=-225.465 Y=8.442 Z=163.704,0.054834
X=-225.579 Y=8.557 Z=163.795,0.055138
X=-225.601 Y=8.647 Z=163.913,0.055858
X=-225.588 Y=8.756 Z=164.079,0.055149
X=-225.578 Y=8.887 Z=164.208,0.051678
X=-225.588 Y=8.969 Z=164.297,0.055951
X=-225.708 Y=9.074 Z=164.333,0.055806
X=-225.685 Y=9.136 Z=164.293,0.054603
X=-225.666 Y=9.206 Z=164.215,0.055653
X=-225.638 Y=9.219 Z=164.155,0.055825
X=-225.603 Y=9.252 Z=164.123,0.056319
X=-225.557 Y=9.329 Z=164.135,0.055513
X=-225.598 Y=9.383 Z=164.146,0.0558
X=-225.650 Y=9.452 Z=164.124,0.05461
X=-225.671 Y=9.503 Z=164.112,0.055366
X=-225.669 Y=9.563 Z=164.094,0.055243
X=-225.724 Y=9.624 Z=164.089,0.056143
X=-225.752 Y=9.657 Z=164.083,0.055386
X=-225.778 Y=9.699 Z=164.094,0.055295
X=-225.736 Y=9.771 Z=164.103,0.055057
X=-225.715 Y=9.840 Z=164.104,0.056993
X=-225.663 Y=9.896 Z=164.074,0.055511
X=-225.641 Y=9.989 Z=164.026,0.050867
X=-225.569 Y=10.015 Z=164.005,0.056767
X=-225.524 Y=10.058 Z=163.994,0.055464
X=-225.461 Y=10.099 Z=163.998,0.054898
X=-225.473 Y=10.142 Z=164.026,0.055131
X=-225.476 Y=10.225 Z=164.072,0.058177
X=-225.423 Y=10.265 Z=164.068,0.054659
X=-225.393 Y=10.315 Z=164.048,0.054433
X=-225.324 Y=10.282 Z=164.052,0.056365
X=-225.322 Y=10.245 Z=164.052,0.055015
X=-225.434 Y=10.258 Z=164.083,0.055555
X=-225.459 Y=10.179 Z=164.217,0.055649
X=-225.473 Y=10.061 Z=164.304,0.055748
X=-225.484 Y=9.898 Z=164.316,0.055382
X=-225.428 Y=9.740 Z=164.226,0.057038
X=-225.361 Y=9.538 Z=164.027,0.054622
X=-225.323 Y=9.403 Z=163.988,0.054379
X=-225.315 Y=9.359 Z=164.147,0.056327
X=-225.396 Y=9.319 Z=164.340,0.055779
X=-225.403 Y=9.363 Z=164.501,0.054723
X=-225.492 Y=9.385 Z=164.564,0.056361
X=-225.570 Y=9.380 Z=164.597,0.055321
X=-225.708 Y=9.383 Z=164.603,0.056483
X=-225.782 Y=9.362 Z=164.645,0.054987
X=-225.755 Y=9.402 Z=164.623,0.057041
X=-225.593 Y=9.383 Z=164.465,0.053153
X=-225.403 Y=9.361 Z=164.447,0.058814
X=-225.356 Y=9.331 Z=164.543,0.052891
X=-225.197 Y=9.273 Z=164.753,0.05551
X=-225.063 Y=9.246 Z=164.792,0.056263
X=-224.881 Y=9.098 Z=164.764,0.054372
X=-224.694 Y=9.062 Z=164.740,0.05671
X=-224.535 Y=9.122 Z=164.659,0.054347
X=-224.362 Y=9.176 Z=164.582,0.056421
X=-224.242 Y=9.302 Z=164.660,0.054295
X=-224.007 Y=9.433 Z=164.709,0.056099
X=-223.738 Y=9.666 Z=164.655,0.055929
X=-223.358 Y=9.996 Z=164.484,0.057413
X=-222.972 Y=10.389 Z=164.252,0.053962
X=-222.564 Y=10.943 Z=164.125,0.055032
X=-222.214 Y=11.573 Z=163.902,0.056103
X=-221.699 Y=12.357 Z=163.604,0.054954
X=-221.130 Y=13.168 Z=163.360,0.056017
X=-220.545 Y=14.135 Z=163.168,0.054715
X=-219.695 Y=15.116 Z=162.936,0.056609
X=-218.665 Y=16.051 Z=162.608,0.055886
X=-217.149 Y=16.753 Z=162.177,0.054701
X=-215.195 Y=17.137 Z=161.588,0.055713
X=-213.023 Y=17.138 Z=160.952,0.056922
X=-210.304 Y=16.929 Z=160.550,0.054558
X=-207.730 Y=16.607 Z=159.999,0.05598
X=-205.130 Y=16.082 Z=159.581,0.055598
X=-202.195 Y=15.259 Z=159.686,0.056079
X=-199.508 Y=14.122 Z=159.367,0.054844
X=-196.983 Y=12.690 Z=159.211,0.054738
X=-194.221 Y=11.108 Z=160.043,0.056369
X=-191.869 Y=9.577 Z=160.522,0.055867
X=-189.684 Y=8.330 Z=160.900,0.055071
X=-187.452 Y=7.315 Z=161.019,0.054932
X=-185.494 Y=6.513 Z=160.667,0.055631
X=-183.701 Y=6.051 Z=160.139,0.056476
X=-182.193 Y=5.751 Z=159.960,0.05573
X=-180.635 Y=5.798 Z=160.171,0.054762
X=-178.947 Y=6.023 Z=160.433,0.05498
X=-177.024 Y=6.413 Z=160.383,0.055924
X=-174.994 Y=6.881 Z=160.051,0.055632
X=-172.855 Y=7.480 Z=159.628,0.055688
X=-170.402 Y=8.208 Z=159.334,0.054893
X=-167.625 Y=9.091 Z=159.199,0.055518
X=-164.701 Y=10.132 Z=159.048,0.055984
X=-161.453 Y=11.289 Z=158.949,0.056287
X=-157.999 Y=12.575 Z=159.045,0.055142
X=-154.439 Y=14.022 Z=159.296,0.05536
X=-151.085 Y=15.445 Z=159.734,0.056296
X=-148.147 Y=16.824 Z=160.015,0.055098
X=-145.448 Y=17.977 Z=160.330,0.055909
X=-142.934 Y=18.806 Z=160.251,0.054541
X=-140.584 Y=19.128 Z=160.215,0.056179
X=-138.295 Y=18.913 Z=160.640,0.054188
X=-136.226 Y=18.469 Z=161.201,0.057066
X=-134.116 Y=17.695 Z=161.719,0.054253
X=-132.194 Y=16.227 Z=162.155,0.056246
X=-130.726 Y=14.567 Z=162.648,0.05584
X=-129.601 Y=12.972 Z=162.992,0.055235
X=-128.726 Y=11.717 Z=163.011,0.05556
X=-127.734 Y=10.504 Z=163.013,0.056636
X=-126.547 Y=9.201 Z=163.160,0.054996
X=-125.107 Y=7.764 Z=163.738,0.062576
X=-123.569 Y=6.430 Z=163.911,0.050247
X=-122.009 Y=5.254 Z=163.637,0.052506
X=-120.503 Y=4.185 Z=163.443,0.057852
X=-119.231 Y=3.367 Z=163.545,0.054188
X=-118.208 Y=2.755 Z=163.871,0.05545
X=-117.508 Y=2.239 Z=164.114,0.055749
X=-116.966 Y=1.837 Z=164.152,0.055233
X=-116.393 Y=1.588 Z=163.940,0.056005
X=-115.905 Y=1.592 Z=163.788,0.055538
X=-115.461 Y=1.747 Z=163.642,0.05535
X=-115.174 Y=2.067 Z=163.433,0.054987
X=-114.843 Y=2.495 Z=163.407,0.055895
X=-114.477 Y=3.017 Z=163.438,0.055429
X=-114.065 Y=3.581 Z=163.444,0.054686
X=-113.636 Y=4.249 Z=163.368,0.057028
X=-113.185 Y=4.937 Z=163.339,0.05491
X=-112.634 Y=5.635 Z=163.321,0.054396
X=-112.095 Y=6.379 Z=163.271,0.056291
X=-111.588 Y=7.074 Z=163.245,0.055622
X=-111.081 Y=7.650 Z=163.223,0.059241
X=-110.604 Y=8.205 Z=163.215,0.051811
X=-110.228 Y=8.659 Z=163.280,0.05509
X=-110.045 Y=9.044 Z=163.302,0.056686
X=-109.893 Y=9.330 Z=163.300,0.054535
X=-109.814 Y=9.551 Z=163.313,0.05659
X=-109.804 Y=9.708 Z=163.268,0.055193
X=-109.806 Y=9.882 Z=163.224,0.055398
X=-109.762 Y=9.953 Z=163.258,0.056286
X=-109.756 Y=10.103 Z=163.300,0.054205
X=-109.645 Y=10.151 Z=163.310,0.056819
X=-109.531 Y=10.192 Z=163.302,0.053618
X=-109.393 Y=10.230 Z=163.256,0.056951
X=-109.253 Y=10.321 Z=163.240,0.05468
X=-109.030 Y=10.358 Z=163.285,0.056963
X=-108.783 Y=10.394 Z=163.290,0.053677
X=-108.516 Y=10.479 Z=163.201,0.056362
X=-108.244 Y=10.536 Z=163.136,0.05553
X=-108.024 Y=10.598 Z=163.094,0.055901
X=-107.800 Y=10.646 Z=163.127,0.055042
X=-107.517 Y=10.660 Z=163.202,0.05718
X=-107.324 Y=10.699 Z=163.184,0.055256
X=-107.163 Y=10.791 Z=163.074,0.054773
X=-107.065 Y=10.879 Z=163.005,0.055831
X=-107.017 Y=10.976 Z=162.993,0.055325
X=-107.086 Y=11.088 Z=162.991,0.056453
X=-107.166 Y=11.191 Z=163.038,0.055393
X=-107.263 Y=11.320 Z=163.068,0.055161
X=-107.423 Y=11.485 Z=163.060,0.055843
X=-107.550 Y=11.651 Z=163.055,0.056584
X=-107.677 Y=11.774 Z=163.107,0.053854
X=-107.752 Y=11.904 Z=163.150,0.056605
X=-107.777 Y=12.055 Z=163.148,0.054886
X=-107.747 Y=12.169 Z=163.101,0.056098
X=-107.681 Y=12.263 Z=163.077,0.05555
X=-107.631 Y=12.254 Z=163.102,0.055642
X=-107.583 Y=12.271 Z=163.068,0.054126
X=-107.504 Y=12.313 Z=163.025,0.05535
X=-107.380 Y=12.360 Z=163.019,0.056454
X=-107.221 Y=12.411 Z=163.026,0.055446
