Position, Time(s)
X=-226.988 Y=13.457 Z=163.622,0.164126
X=-226.597 Y=13.329 Z=163.568,0.4
X=-226.290 Y=13.052 Z=163.511,0.011608
X=-226.269 Y=13.042 Z=163.489,0.033177
X=-226.286 Y=13.020 Z=163.464,0.047443
X=-226.284 Y=13.060 Z=163.471,0.068221
X=-226.272 Y=13.075 Z=163.461,0.055539
X=-226.263 Y=13.095 Z=163.461,0.057628
X=-226.210 Y=13.091 Z=163.455,0.056476
X=-226.234 Y=13.143 Z=163.465,0.054278
X=-226.217 Y=13.201 Z=163.441,0.053669
X=-226.205 Y=13.186 Z=163.446,0.054615
X=-226.179 Y=13.154 Z=163.443,0.054711
X=-226.177 Y=13.170 Z=163.427,0.065225
X=-226.191 Y=13.187 Z=163.418,0.055606
X=-226.306 Y=13.087 Z=163.410,0.056219
X=-226.368 Y=13.031 Z=163.349,0.054741
X=-226.333 Y=12.963 Z=163.274,0.05197
X=-226.087 Y=12.944 Z=163.159,0.052946
X=-225.819 Y=12.908 Z=163.009,0.05413
X=-225.624 Y=12.934 Z=162.843,0.053806
X=-225.406 Y=12.920 Z=162.707,0.049902
X=-225.346 Y=12.878 Z=162.634,0.051547
X=-225.428 Y=12.881 Z=162.542,0.052608
X=-225.503 Y=12.828 Z=162.477,0.056814
X=-225.531 Y=12.788 Z=162.369,0.05348
X=-225.617 Y=12.739 Z=162.251,0.056855
X=-225.703 Y=12.735 Z=162.145,0.07491
X=-225.714 Y=12.675 Z=162.091,0.050061
X=-225.520 Y=12.634 Z=162.161,0.050775
X=-225.055 Y=12.614 Z=162.289,0.051703
X=-224.441 Y=12.667 Z=162.222,0.049066
X=-223.869 Y=12.785 Z=162.200,0.055783
X=-223.493 Y=13.004 Z=162.352,0.058045
X=-223.202 Y=13.269 Z=162.560,0.055774
X=-223.023 Y=13.570 Z=162.688,0.055602
X=-222.923 Y=13.857 Z=162.812,0.052143
X=-223.116 Y=14.111 Z=162.899,0.055593
X=-223.347 Y=14.179 Z=163.080,0.054729
X=-223.634 Y=14.097 Z=163.307,0.054623
X=-223.957 Y=13.980 Z=163.455,0.056122
X=-224.179 Y=13.741 Z=163.478,0.056191
X=-224.370 Y=13.461 Z=163.429,0.054823
X=-224.523 Y=13.125 Z=163.387,0.055817
