Position, Time(s)
X=-217.875 Y=18.706 Z=11.271,0.008334
X=-216.399 Y=18.817 Z=9.885,0.4
X=-217.992 Y=22.831 Z=34.920,0.00845
X=-216.625 Y=24.804 Z=44.113,0.040266
X=-215.661 Y=25.914 Z=48.737,0.031631
X=-213.979 Y=27.783 Z=56.551,0.04192
X=-212.224 Y=29.721 Z=64.112,0.038935
X=-210.942 Y=31.293 Z=69.722,0.039133
X=-209.120 Y=33.729 Z=76.793,0.038579
X=-207.858 Y=35.515 Z=82.198,0.039291
X=-206.443 Y=37.547 Z=88.998,0.038142
X=-205.574 Y=39.071 Z=94.491,0.039098
X=-204.603 Y=40.763 Z=101.881,0.037403
X=-203.989 Y=41.731 Z=107.334,0.03787
X=-203.177 Y=42.825 Z=114.609,0.038837
X=-202.554 Y=43.466 Z=119.621,0.037414
X=-201.798 Y=43.914 Z=124.925,0.038767
X=-200.991 Y=44.463 Z=130.810,0.037368
X=-200.203 Y=44.668 Z=138.675,0.038258
X=-199.990 Y=44.757 Z=145.915,0.036863
X=-200.376 Y=44.501 Z=152.278,0.053636
X=-202.023 Y=44.061 Z=158.273,0.053428
X=-204.165 Y=43.686 Z=163.623,0.056489
X=-206.477 Y=42.870 Z=167.999,0.05478
X=-209.747 Y=40.943 Z=172.746,0.055522
X=-212.868 Y=38.612 Z=177.153,0.055938
X=-215.579 Y=35.939 Z=180.420,0.054802
X=-217.759 Y=32.950 Z=183.028,0.057609
X=-219.569 Y=29.985 Z=184.846,0.054063
X=-220.995 Y=27.159 Z=186.124,0.056508
X=-222.155 Y=24.896 Z=186.086,0.055472
X=-223.783 Y=24.010 Z=184.752,0.055311
X=-225.689 Y=24.062 Z=182.909,0.05432
X=-226.125 Y=23.720 Z=181.579,0.056478
X=-225.012 Y=22.789 Z=180.428,0.056209
X=-224.842 Y=22.557 Z=179.709,0.055282
X=-225.019 Y=22.395 Z=179.779,0.051057
X=-225.459 Y=22.133 Z=179.518,0.031244
X=-225.762 Y=22.450 Z=179.190,0.036971
X=-226.034 Y=22.032 Z=179.464,0.038207
X=-227.157 Y=21.106 Z=179.269,0.040784
X=-228.344 Y=21.206 Z=178.522,0.042256
X=-227.954 Y=21.384 Z=178.949,0.04523
X=-227.975 Y=21.440 Z=178.644,0.043821
X=-228.034 Y=22.041 Z=177.766,0.044026
X=-227.668 Y=22.688 Z=175.958,0.044245
X=-227.720 Y=23.559 Z=173.643,0.045227
X=-227.091 Y=23.240 Z=172.741,0.043621
X=-226.324 Y=22.884 Z=172.809,0.044874
X=-225.426 Y=22.446 Z=172.641,0.046052
X=-224.446 Y=22.509 Z=172.544,0.041564
X=-223.592 Y=21.117 Z=171.338,0.044697
X=-222.622 Y=20.032 Z=170.137,0.04674
X=-222.441 Y=18.497 Z=168.168,0.044296
X=-222.633 Y=16.853 Z=166.371,0.043357
X=-222.948 Y=15.508 Z=164.698,0.044665
X=-223.700 Y=14.771 Z=163.589,0.04464
X=-224.349 Y=13.915 Z=162.986,0.044203
X=-224.649 Y=12.817 Z=162.522,0.044997
X=-225.067 Y=11.824 Z=161.646,0.043894
X=-225.314 Y=10.947 Z=161.186,0.041032
X=-226.139 Y=9.712 Z=160.838,0.045073
X=-226.574 Y=7.877 Z=160.349,0.042038
X=-227.124 Y=5.726 Z=159.296,0.045063
X=-227.782 Y=3.076 Z=157.642,0.043848
X=-228.536 Y=0.486 Z=154.975,0.044795
X=-229.401 Y=-2.498 Z=151.557,0.043942
X=-230.432 Y=-5.347 Z=147.280,0.043434
X=-231.520 Y=-7.763 Z=142.078,0.044155
X=-232.671 Y=-9.627 Z=136.605,0.050229
X=-233.599 Y=-11.683 Z=130.880,0.04013
X=-234.802 Y=-13.408 Z=124.848,0.047286
X=-236.237 Y=-14.475 Z=118.729,0.043165
X=-238.207 Y=-15.101 Z=112.793,0.040741
X=-240.367 Y=-15.870 Z=107.005,0.04501
X=-242.675 Y=-16.183 Z=101.192,0.044495
X=-244.819 Y=-15.954 Z=95.646,0.04543
X=-246.428 Y=-15.341 Z=90.486,0.043406
X=-247.609 Y=-14.489 Z=85.775,0.042412
X=-248.627 Y=-13.730 Z=81.507,0.045228
X=-249.212 Y=-13.143 Z=77.957,0.044369
X=-249.793 Y=-12.159 Z=75.027,0.043662
X=-250.388 Y=-11.538 Z=73.096,0.0436
X=-250.720 Y=-11.820 Z=71.582,0.043215
X=-250.539 Y=-11.945 Z=70.730,0.043616
X=-250.193 Y=-12.298 Z=70.394,0.044071
X=-249.792 Y=-12.496 Z=70.632,0.045316
X=-249.130 Y=-12.308 Z=71.334,0.043914
X=-248.632 Y=-12.355 Z=72.699,0.044558
X=-247.841 Y=-12.331 Z=75.203,0.044218
X=-247.142 Y=-12.370 Z=78.698,0.046803
X=-246.513 Y=-12.575 Z=83.446,0.041426
X=-245.513 Y=-12.945 Z=89.150,0.045339
X=-243.886 Y=-13.480 Z=96.028,0.043312
X=-241.948 Y=-13.781 Z=103.606,0.045125
X=-253.847 Y=3.158 Z=112.900,0.046071
X=-239.237 Y=-10.286 Z=125.027,0.048383
X=-235.937 Y=-9.807 Z=132.064,0.040338
X=-233.430 Y=-7.975 Z=140.693,0.046895
X=-231.917 Y=-4.615 Z=149.726,0.043862
X=-230.212 Y=-0.457 Z=157.089,0.043673
X=-229.079 Y=3.981 Z=162.886,0.04479
X=-228.408 Y=8.649 Z=167.366,0.044176
X=-227.935 Y=12.961 Z=171.341,0.045511
X=-227.830 Y=16.989 Z=173.569,0.044489
X=-228.193 Y=20.763 Z=174.526,0.040602
X=-228.638 Y=23.927 Z=175.131,0.045176
X=-229.234 Y=26.430 Z=175.606,0.044266
X=-230.186 Y=28.357 Z=175.815,0.044034
X=-231.217 Y=29.382 Z=176.020,0.047613
X=-232.030 Y=29.896 Z=176.384,0.043686
X=-232.661 Y=29.821 Z=176.721,0.042775
X=-233.096 Y=29.491 Z=176.804,0.043857
X=-233.378 Y=28.966 Z=176.834,0.043667
X=-233.636 Y=28.305 Z=176.816,0.046036
X=-233.879 Y=27.522 Z=176.769,0.043726
X=-233.983 Y=26.613 Z=176.689,0.045549
X=-234.033 Y=25.489 Z=176.400,0.043466
X=-234.051 Y=24.231 Z=176.029,0.044241
X=-234.059 Y=23.173 Z=175.926,0.044727
X=-234.028 Y=22.735 Z=175.839,0.044142
X=-233.895 Y=22.820 Z=175.516,0.043952
X=-233.622 Y=23.033 Z=174.960,0.045877
X=-233.117 Y=23.319 Z=174.094,0.043915
X=-232.628 Y=23.789 Z=173.415,0.04421
X=-232.218 Y=24.315 Z=171.548,0.0446
X=-232.155 Y=24.336 Z=170.267,0.045328
X=-231.984 Y=24.697 Z=169.700,0.042492
X=-232.145 Y=25.732 Z=169.357,0.042871
X=-232.123 Y=26.714 Z=169.632,0.044953
X=-232.025 Y=27.391 Z=170.078,0.044445
X=-231.931 Y=28.324 Z=170.586,0.043834
X=-231.771 Y=29.218 Z=170.977,0.044782
X=-231.364 Y=29.916 Z=171.670,0.044318
X=-230.845 Y=31.160 Z=172.032,0.044744
X=-230.632 Y=32.836 Z=171.605,0.043868
X=-230.596 Y=34.422 Z=170.826,0.044387
X=-230.196 Y=35.470 Z=170.803,0.044915
X=-229.336 Y=36.086 Z=170.898,0.04446
X=-228.328 Y=36.338 Z=170.912,0.043932
X=-227.596 Y=36.174 Z=170.782,0.044308
X=-227.167 Y=36.028 Z=170.694,0.045154
X=-226.538 Y=36.010 Z=170.738,0.044343
X=-226.147 Y=36.027 Z=170.525,0.045246
X=-226.086 Y=36.083 Z=170.224,0.04391
X=-226.166 Y=36.090 Z=170.049,0.043094
X=-226.175 Y=36.069 Z=169.536,0.045457
X=-226.423 Y=36.229 Z=168.660,0.043435
X=-226.593 Y=36.234 Z=168.691,0.044935
X=-226.617 Y=35.960 Z=168.562,0.044563
X=-226.599 Y=35.210 Z=168.306,0.044445
X=-226.896 Y=34.258 Z=168.512,0.045685
X=-227.117 Y=33.564 Z=169.539,0.043944
X=-227.227 Y=32.778 Z=170.193,0.044517
X=-227.624 Y=32.263 Z=170.185,0.044273
X=-228.065 Y=31.639 Z=170.259,0.044891
X=-227.805 Y=30.820 Z=170.681,0.044472
X=-227.458 Y=29.634 Z=170.774,0.044179
X=-227.476 Y=28.245 Z=170.310,0.043675
X=-227.522 Y=27.307 Z=169.858,0.046147
X=-226.873 Y=27.164 Z=170.385,0.04335
X=-226.495 Y=27.388 Z=170.259,0.044112
X=-226.343 Y=26.983 Z=169.922,0.045623
X=-226.151 Y=26.297 Z=169.402,0.044352
X=-226.303 Y=25.497 Z=168.918,0.044748
X=-226.971 Y=24.765 Z=168.521,0.042676
X=-227.399 Y=24.571 Z=168.380,0.045607
X=-227.467 Y=24.793 Z=168.603,0.044069
X=-227.750 Y=24.956 Z=168.809,0.044783
X=-227.676 Y=25.197 Z=169.429,0.043925
X=-227.650 Y=25.369 Z=169.866,0.043837
X=-227.695 Y=25.895 Z=170.139,0.044497
X=-227.701 Y=25.936 Z=170.577,0.044344
X=-227.747 Y=24.881 Z=171.112,0.044756
X=-227.883 Y=23.989 Z=171.305,0.044727
X=-228.047 Y=23.884 Z=171.302,0.04377
X=-227.863 Y=24.050 Z=171.500,0.045299
X=-227.829 Y=23.851 Z=171.991,0.044239
X=-227.777 Y=23.561 Z=172.536,0.044745
X=-227.851 Y=23.358 Z=172.766,0.043539
X=-227.801 Y=22.822 Z=173.191,0.045148
X=-227.912 Y=22.522 Z=173.757,0.043756
X=-228.085 Y=22.773 Z=173.832,0.044578
X=-228.493 Y=23.353 Z=173.446,0.045203
X=-228.562 Y=23.933 Z=173.094,0.044115
X=-228.596 Y=24.242 Z=172.813,0.04356
X=-228.601 Y=24.425 Z=172.802,0.045704
X=-228.600 Y=24.551 Z=172.811,0.043894
X=-228.403 Y=24.008 Z=173.400,0.044326
X=-228.213 Y=23.724 Z=173.827,0.044811
X=-228.368 Y=23.676 Z=173.707,0.045602
X=-228.673 Y=23.704 Z=173.160,0.042415
X=-228.728 Y=23.874 Z=172.839,0.045188
X=-228.742 Y=23.840 Z=172.744,0.044306
