Position, Time(s)
X=-212.026 Y=30.407 Z=65.792,0.370189
X=-207.673 Y=33.412 Z=87.990,0.4
X=-202.608 Y=38.375 Z=123.464,0.014177
X=-201.965 Y=39.746 Z=131.771,0.038492
X=-202.058 Y=40.344 Z=135.866,0.038636
X=-202.350 Y=40.708 Z=139.504,0.033035
X=-202.996 Y=41.137 Z=144.031,0.039858
X=-203.442 Y=41.328 Z=147.383,0.036457
X=-203.930 Y=41.326 Z=150.508,0.036193
X=-205.003 Y=40.634 Z=154.739,0.037778
X=-205.824 Y=39.696 Z=158.224,0.036036
X=-206.431 Y=38.710 Z=161.397,0.036151
X=-207.130 Y=37.587 Z=164.714,0.038354
X=-207.885 Y=36.088 Z=168.391,0.036641
X=-208.978 Y=32.828 Z=174.016,0.037477
X=-209.939 Y=30.159 Z=178.017,0.047342
X=-210.883 Y=27.749 Z=181.356,0.054571
X=-212.732 Y=25.280 Z=185.068,0.053461
X=-214.344 Y=24.634 Z=187.193,0.056355
X=-216.811 Y=23.869 Z=188.883,0.056861
X=-219.490 Y=23.127 Z=189.196,0.055026
X=-221.540 Y=22.655 Z=188.366,0.054527
X=-223.530 Y=22.309 Z=186.655,0.057573
X=-224.795 Y=22.017 Z=184.784,0.053909
X=-225.116 Y=22.119 Z=183.277,0.055398
X=-224.770 Y=22.161 Z=182.593,0.055606
X=-223.984 Y=22.479 Z=182.509,0.054837
X=-223.561 Y=22.794 Z=182.533,0.056227
X=-223.448 Y=22.479 Z=182.371,0.055499
X=-223.941 Y=21.991 Z=181.789,0.056274
X=-224.977 Y=21.719 Z=180.904,0.055015
X=-226.172 Y=22.169 Z=180.023,0.056379
X=-226.585 Y=22.533 Z=179.934,0.051851
X=-226.986 Y=22.731 Z=179.607,0.030713
X=-226.331 Y=22.206 Z=179.794,0.037008
X=-225.921 Y=21.858 Z=179.523,0.043647
X=-226.160 Y=21.748 Z=179.321,0.044531
X=-226.512 Y=21.847 Z=179.390,0.044992
X=-226.560 Y=21.982 Z=179.726,0.043104
X=-226.541 Y=21.743 Z=179.933,0.044095
X=-226.890 Y=21.835 Z=180.133,0.045482
X=-227.028 Y=21.815 Z=180.176,0.044043
X=-227.066 Y=21.233 Z=179.783,0.04485
X=-227.460 Y=20.579 Z=179.295,0.043887
X=-227.165 Y=20.277 Z=179.113,0.045041
X=-227.251 Y=20.192 Z=178.614,0.043703
X=-227.310 Y=20.542 Z=178.196,0.044205
X=-227.302 Y=20.731 Z=177.859,0.044568
X=-227.001 Y=20.500 Z=177.393,0.044351
X=-226.770 Y=19.915 Z=177.015,0.044698
X=-226.506 Y=19.320 Z=176.665,0.045003
