Position, Time(s)
X=-207.726 Y=-0.553 Z=172.230,0.008333
X=-207.544 Y=-0.473 Z=172.045,0.4
X=-207.326 Y=0.457 Z=170.922,0.008883
X=-207.349 Y=0.727 Z=170.517,0.025959
X=-207.310 Y=0.949 Z=170.217,0.029165
X=-207.272 Y=1.267 Z=169.848,0.036906
X=-207.252 Y=1.532 Z=169.846,0.036012
X=-207.235 Y=1.756 Z=169.873,0.034309
X=-207.230 Y=1.902 Z=169.902,0.034645
X=-207.260 Y=1.963 Z=169.854,0.034426
X=-207.322 Y=1.950 Z=169.723,0.035336
X=-207.340 Y=2.087 Z=169.825,0.033943
X=-207.389 Y=2.161 Z=169.875,0.034926
X=-207.384 Y=2.178 Z=169.962,0.035072
X=-207.294 Y=2.168 Z=169.994,0.034402
X=-207.320 Y=2.136 Z=169.973,0.034093
X=-207.437 Y=1.978 Z=169.924,0.034573
X=-207.449 Y=2.012 Z=170.052,0.034921
X=-207.365 Y=1.923 Z=170.320,0.034927
X=-207.307 Y=1.880 Z=170.473,0.033854
X=-207.215 Y=1.579 Z=170.616,0.034579
X=-207.247 Y=1.511 Z=170.643,0.033918
X=-207.268 Y=1.497 Z=170.706,0.033226
X=-207.267 Y=1.499 Z=170.785,0.033971
X=-207.278 Y=1.357 Z=170.820,0.03365
X=-207.351 Y=1.156 Z=170.907,0.033035
X=-207.254 Y=0.889 Z=170.996,0.033924
X=-207.166 Y=0.626 Z=171.100,0.033843
X=-207.129 Y=0.421 Z=171.087,0.034013
X=-207.081 Y=0.267 Z=171.047,0.032903
X=-207.110 Y=0.273 Z=171.029,0.032578
X=-207.159 Y=0.433 Z=171.044,0.032819
X=-207.011 Y=0.399 Z=171.342,0.03195
X=-206.862 Y=0.235 Z=171.560,0.056355
X=-206.818 Y=-0.014 Z=171.827,0.051598
X=-206.961 Y=-0.038 Z=171.897,0.05612
X=-206.961 Y=-0.259 Z=171.919,0.055392
X=-206.917 Y=-0.425 Z=171.770,0.055482
X=-206.827 Y=-0.743 Z=171.817,0.056651
X=-206.889 Y=-1.073 Z=171.848,0.053759
X=-206.906 Y=-1.055 Z=171.805,0.0564
X=-207.003 Y=-0.828 Z=171.854,0.054934
X=-206.984 Y=-0.710 Z=172.148,0.056358
X=-207.012 Y=-0.888 Z=172.233,0.055517
X=-207.082 Y=-1.074 Z=172.115,0.055769
X=-207.053 Y=-1.211 Z=172.046,0.055055
X=-207.054 Y=-1.173 Z=172.006,0.055338
X=-207.058 Y=-1.243 Z=172.060,0.057114
X=-207.059 Y=-1.431 Z=172.132,0.055205
X=-207.068 Y=-1.481 Z=172.130,0.053742
X=-207.053 Y=-1.504 Z=172.219,0.028023
X=-206.963 Y=-1.496 Z=172.480,0.033052
X=-206.975 Y=-1.568 Z=172.524,0.037049
X=-207.060 Y=-1.490 Z=172.567,0.043783
X=-207.270 Y=-1.283 Z=172.830,0.043738
X=-207.440 Y=-0.971 Z=173.217,0.046309
X=-207.634 Y=-0.614 Z=173.563,0.043306
X=-207.892 Y=-0.174 Z=173.760,0.043782
X=-208.178 Y=0.597 Z=173.711,0.045116
X=-208.432 Y=1.381 Z=173.529,0.045795
X=-208.622 Y=2.206 Z=173.187,0.04445
X=-208.573 Y=2.745 Z=172.925,0.044949
X=-208.431 Y=3.221 Z=172.795,0.044294
X=-208.342 Y=3.635 Z=172.483,0.043042
X=-208.319 Y=3.991 Z=172.292,0.046573
X=-208.369 Y=4.172 Z=172.205,0.043147
X=-208.480 Y=4.304 Z=172.329,0.043975
X=-208.681 Y=4.391 Z=172.522,0.043932
X=-208.876 Y=4.396 Z=172.606,0.045098
X=-209.006 Y=4.372 Z=172.581,0.043884
X=-209.105 Y=4.304 Z=172.424,0.044084
X=-209.238 Y=4.245 Z=172.312,0.044639
X=-209.288 Y=4.118 Z=172.284,0.045467
X=-209.395 Y=3.968 Z=172.250,0.040998
X=-209.405 Y=3.775 Z=172.252,0.043387
X=-209.417 Y=3.682 Z=172.416,0.044608
X=-209.575 Y=3.781 Z=172.612,0.043536
X=-209.646 Y=3.857 Z=173.043,0.044574
X=-209.796 Y=4.016 Z=173.711,0.044715
X=-210.163 Y=4.018 Z=174.069,0.044993
X=-210.629 Y=4.053 Z=174.111,0.044643
X=-211.136 Y=3.919 Z=174.213,0.044783
X=-211.566 Y=3.497 Z=174.060,0.044161
X=-211.795 Y=3.108 Z=173.879,0.04379
X=-211.906 Y=2.788 Z=173.843,0.044072
X=-211.937 Y=2.548 Z=173.908,0.045209
X=-211.873 Y=2.402 Z=174.085,0.044667
X=-211.820 Y=2.289 Z=174.193,0.043646
X=-211.742 Y=2.105 Z=174.182,0.045014
X=-211.660 Y=1.884 Z=174.140,0.044397
X=-211.562 Y=1.657 Z=174.136,0.044495
X=-211.502 Y=1.384 Z=174.159,0.044746
X=-211.375 Y=1.179 Z=174.141,0.04666
X=-211.182 Y=0.939 Z=174.051,0.042653
X=-210.836 Y=0.559 Z=173.894,0.043402
X=-210.303 Y=0.137 Z=173.487,0.041709
X=-209.744 Y=-0.379 Z=172.786,0.043746
X=-209.269 Y=-0.913 Z=172.133,0.044589
X=-208.870 Y=-1.403 Z=171.789,0.044037
X=-208.677 Y=-1.742 Z=171.593,0.04488
X=-208.523 Y=-2.118 Z=171.330,0.043489
X=-208.360 Y=-2.513 Z=171.185,0.045307
X=-208.266 Y=-2.862 Z=171.261,0.044945
X=-208.087 Y=-3.254 Z=171.163,0.04295
X=-207.881 Y=-3.403 Z=171.021,0.045622
X=-207.537 Y=-3.627 Z=170.898,0.044418
X=-207.259 Y=-3.748 Z=171.018,0.04376
X=-207.030 Y=-3.659 Z=171.198,0.044299
X=-206.945 Y=-3.385 Z=171.358,0.043996
X=-206.837 Y=-3.246 Z=171.472,0.045785
X=-206.773 Y=-2.986 Z=171.626,0.042846
X=-206.720 Y=-3.068 Z=171.729,0.045076
X=-206.601 Y=-3.023 Z=171.911,0.045295
X=-206.549 Y=-2.826 Z=172.011,0.043831
X=-206.494 Y=-2.674 Z=172.106,0.043831
X=-206.514 Y=-2.502 Z=172.107,0.045611
X=-206.603 Y=-2.411 Z=172.031,0.044467
X=-206.677 Y=-2.377 Z=171.936,0.043498
X=-206.721 Y=-2.383 Z=171.937,0.041354
X=-206.753 Y=-2.337 Z=172.029,0.044664
X=-206.752 Y=-2.273 Z=171.977,0.043848
X=-206.738 Y=-2.292 Z=171.855,0.04596
X=-206.686 Y=-2.336 Z=171.729,0.043529
X=-206.707 Y=-2.453 Z=171.624,0.043868
X=-206.680 Y=-2.561 Z=171.603,0.044022
X=-206.588 Y=-2.523 Z=171.480,0.045221
X=-206.495 Y=-2.522 Z=171.432,0.044695
X=-206.371 Y=-2.547 Z=171.449,0.044962
X=-206.213 Y=-2.678 Z=171.487,0.04374
X=-206.088 Y=-2.653 Z=171.608,0.044302
X=-205.988 Y=-2.493 Z=171.583,0.04402
X=-205.860 Y=-2.474 Z=171.534,0.045184
X=-205.775 Y=-2.511 Z=171.559,0.043965
X=-205.750 Y=-2.501 Z=171.533,0.044293
X=-205.651 Y=-2.463 Z=171.590,0.045673
X=-205.612 Y=-2.347 Z=171.562,0.043764
X=-205.567 Y=-2.245 Z=171.596,0.043303
X=-205.550 Y=-2.126 Z=171.554,0.045235
X=-205.560 Y=-1.918 Z=171.442,0.044509
X=-205.606 Y=-1.793 Z=171.283,0.04418
X=-205.639 Y=-1.756 Z=171.247,0.045753
X=-205.731 Y=-1.637 Z=171.275,0.039873
X=-205.968 Y=-1.497 Z=171.165,0.045457
X=-206.281 Y=-1.327 Z=170.852,0.042464
X=-206.543 Y=-1.137 Z=170.610,0.045056
X=-206.714 Y=-0.929 Z=170.512,0.044918
X=-206.807 Y=-0.812 Z=170.343,0.043618
X=-206.960 Y=-0.923 Z=170.222,0.044725
X=-206.783 Y=-1.212 Z=170.305,0.045279
X=-206.409 Y=-1.423 Z=170.350,0.044916
X=-205.733 Y=-1.500 Z=170.283,0.042976
X=-204.959 Y=-1.305 Z=169.912,0.044304
X=-204.124 Y=-0.829 Z=169.147,0.045678
X=-203.244 Y=-0.239 Z=168.678,0.042842
X=-202.424 Y=0.453 Z=168.894,0.045724
