Position, Time(s)
X=-207.506 Y=-5.159 Z=159.396,0.280869
X=-207.475 Y=-5.136 Z=159.359,0.4
X=-207.655 Y=-4.433 Z=159.303,0.013876
X=-207.753 Y=-3.958 Z=159.236,0.037896
X=-207.837 Y=-3.568 Z=159.132,0.032884
X=-207.954 Y=-3.008 Z=159.096,0.037388
X=-208.113 Y=-2.535 Z=159.056,0.03866
X=-208.255 Y=-1.850 Z=159.106,0.039088
X=-208.376 Y=-1.383 Z=159.080,0.036993
X=-208.485 Y=-0.897 Z=159.099,0.037687
X=-208.585 Y=-0.317 Z=159.192,0.037466
X=-208.705 Y=0.109 Z=159.247,0.037094
X=-208.902 Y=0.648 Z=159.350,0.03902
X=-208.989 Y=0.978 Z=159.456,0.037769
X=-208.992 Y=1.283 Z=159.511,0.037182
X=-208.942 Y=1.654 Z=159.534,0.03779
X=-208.948 Y=1.905 Z=159.516,0.037032
X=-208.885 Y=2.114 Z=159.463,0.037193
X=-208.760 Y=2.261 Z=159.441,0.038523
X=-208.654 Y=2.270 Z=159.444,0.036789
X=-208.485 Y=2.252 Z=159.457,0.037531
X=-208.349 Y=2.175 Z=159.477,0.036428
X=-208.211 Y=2.010 Z=159.470,0.036248
X=-208.060 Y=1.852 Z=159.452,0.035967
X=-207.866 Y=1.611 Z=159.430,0.036924
X=-207.749 Y=1.399 Z=159.395,0.03665
X=-207.644 Y=1.172 Z=159.349,0.036593
X=-207.505 Y=0.876 Z=159.326,0.037619
X=-207.441 Y=0.720 Z=159.312,0.034279
X=-207.300 Y=0.405 Z=159.311,0.035237
X=-207.151 Y=0.086 Z=159.214,0.042956
X=-206.981 Y=-0.142 Z=159.054,0.051749
X=-206.873 Y=-0.330 Z=158.877,0.054261
X=-206.795 Y=-0.389 Z=158.744,0.057382
X=-206.783 Y=-0.377 Z=158.605,0.054235
X=-206.785 Y=-0.345 Z=158.605,0.056899
X=-206.803 Y=-0.316 Z=158.544,0.055433
X=-206.860 Y=-0.245 Z=158.284,0.054189
X=-206.856 Y=-0.195 Z=158.013,0.055032
X=-206.834 Y=-0.130 Z=157.718,0.056272
X=-206.758 Y=-0.030 Z=157.413,0.056867
X=-206.739 Y=0.152 Z=157.337,0.055007
X=-206.777 Y=0.512 Z=157.591,0.05499
X=-206.859 Y=1.014 Z=157.739,0.055069
X=-207.033 Y=1.663 Z=157.866,0.055611
X=-207.204 Y=2.445 Z=158.046,0.058773
X=-207.493 Y=3.348 Z=158.232,0.054433
X=-207.755 Y=3.875 Z=158.357,0.052069
X=-208.159 Y=4.535 Z=158.525,0.034387
X=-208.483 Y=5.086 Z=158.646,0.044045
X=-208.818 Y=5.566 Z=158.758,0.046019
X=-209.105 Y=5.945 Z=158.899,0.042508
X=-209.431 Y=6.364 Z=159.002,0.04311
X=-209.717 Y=6.722 Z=159.102,0.046263
X=-210.000 Y=7.104 Z=159.184,0.044241
X=-210.315 Y=7.449 Z=159.235,0.042408
X=-210.683 Y=7.788 Z=159.283,0.045828
X=-211.040 Y=8.068 Z=159.357,0.044923
X=-211.302 Y=8.270 Z=159.492,0.044344
X=-211.468 Y=8.364 Z=159.629,0.043771
X=-211.559 Y=8.369 Z=159.782,0.043988
X=-211.733 Y=8.355 Z=159.959,0.045078
X=-211.953 Y=8.342 Z=160.158,0.04455
X=-212.210 Y=8.350 Z=160.398,0.044133
X=-212.503 Y=8.291 Z=160.603,0.044159
X=-212.804 Y=8.191 Z=160.756,0.043748
X=-213.090 Y=8.130 Z=160.839,0.044526
X=-213.338 Y=8.090 Z=160.853,0.045406
X=-213.560 Y=8.046 Z=160.907,0.043786
X=-213.798 Y=8.055 Z=160.938,0.043876
X=-214.054 Y=8.044 Z=160.961,0.041935
X=-214.411 Y=8.111 Z=160.963,0.042703
X=-214.772 Y=8.188 Z=160.871,0.044996
X=-215.120 Y=8.355 Z=160.744,0.044003
X=-215.431 Y=8.463 Z=160.691,0.048213
X=-215.640 Y=8.554 Z=160.626,0.040621
X=-215.833 Y=8.601 Z=160.570,0.044375
X=-215.967 Y=8.674 Z=160.536,0.045545
X=-216.053 Y=8.691 Z=160.488,0.042843
X=-216.104 Y=8.683 Z=160.475,0.045124
X=-216.106 Y=8.676 Z=160.474,0.045
X=-216.064 Y=8.615 Z=160.441,0.044156
X=-215.852 Y=8.510 Z=160.428,0.043733
X=-215.643 Y=8.321 Z=160.409,0.045555
X=-215.326 Y=8.055 Z=160.307,0.043452
X=-214.946 Y=7.749 Z=160.244,0.045095
X=-214.546 Y=7.377 Z=160.271,0.044468
X=-214.172 Y=7.042 Z=160.300,0.045517
X=-213.801 Y=6.660 Z=160.302,0.045561
X=-213.495 Y=6.218 Z=160.229,0.042643
X=-213.149 Y=5.727 Z=160.050,0.045871
X=-212.802 Y=5.187 Z=159.938,0.043643
X=-212.490 Y=4.433 Z=159.821,0.039673
X=-212.248 Y=3.582 Z=159.699,0.045028
X=-211.934 Y=2.628 Z=159.639,0.045285
X=-211.750 Y=1.848 Z=159.674,0.043261
X=-211.608 Y=1.054 Z=159.647,0.044172
X=-211.530 Y=0.366 Z=159.667,0.046283
X=-211.437 Y=-0.289 Z=159.585,0.043444
X=-211.307 Y=-0.838 Z=159.489,0.043848
X=-211.198 Y=-1.352 Z=159.367,0.044129
X=-211.125 Y=-1.799 Z=159.306,0.044287
X=-211.065 Y=-2.103 Z=159.289,0.045461
X=-210.985 Y=-2.268 Z=159.332,0.044397
X=-211.018 Y=-2.245 Z=159.361,0.044374
