Position, Time(s)
X=-211.258 Y=-9.748 Z=158.330,0.008334
X=-211.445 Y=-9.915 Z=158.035,0.4
X=-211.732 Y=-10.113 Z=157.790,0.016043
X=-211.816 Y=-10.128 Z=157.829,0.024655
X=-211.809 Y=-10.147 Z=157.894,0.030438
X=-211.787 Y=-10.251 Z=157.893,0.03937
X=-211.755 Y=-10.370 Z=157.915,0.039037
X=-211.705 Y=-10.435 Z=157.969,0.037075
X=-211.618 Y=-10.499 Z=158.004,0.037664
X=-211.429 Y=-10.554 Z=158.039,0.036298
X=-211.258 Y=-10.525 Z=158.092,0.036328
X=-211.062 Y=-10.480 Z=158.100,0.036378
X=-210.812 Y=-10.397 Z=158.136,0.037799
X=-210.586 Y=-10.311 Z=158.189,0.036379
X=-210.349 Y=-10.219 Z=158.238,0.037842
X=-210.108 Y=-10.123 Z=158.293,0.036917
X=-209.848 Y=-10.008 Z=158.322,0.036674
X=-209.657 Y=-9.946 Z=158.322,0.03638
X=-209.442 Y=-9.844 Z=158.341,0.037248
X=-209.186 Y=-9.794 Z=158.403,0.036308
X=-208.998 Y=-9.783 Z=158.440,0.03627
X=-208.819 Y=-9.786 Z=158.459,0.037507
X=-208.634 Y=-9.803 Z=158.478,0.035827
X=-208.506 Y=-9.817 Z=158.495,0.035583
X=-208.401 Y=-9.834 Z=158.497,0.035967
X=-208.332 Y=-9.853 Z=158.464,0.037238
X=-208.198 Y=-9.856 Z=158.458,0.036114
X=-208.096 Y=-9.877 Z=158.445,0.03562
X=-207.932 Y=-9.941 Z=158.500,0.037715
X=-207.886 Y=-9.990 Z=158.540,0.060391
X=-207.800 Y=-10.094 Z=158.581,0.051882
X=-207.760 Y=-10.148 Z=158.667,0.055616
X=-207.760 Y=-10.209 Z=158.719,0.055599
X=-207.745 Y=-10.358 Z=158.694,0.055172
X=-207.783 Y=-10.483 Z=158.691,0.057157
X=-207.710 Y=-10.646 Z=158.709,0.054786
X=-207.645 Y=-10.793 Z=158.665,0.056148
X=-207.643 Y=-10.991 Z=158.592,0.055983
X=-207.653 Y=-11.225 Z=158.540,0.055382
X=-207.645 Y=-11.472 Z=158.515,0.054274
X=-207.672 Y=-11.688 Z=158.497,0.056047
X=-207.642 Y=-11.908 Z=158.459,0.056765
X=-207.606 Y=-12.047 Z=158.466,0.054418
X=-207.535 Y=-12.161 Z=158.469,0.056737
X=-207.454 Y=-12.241 Z=158.475,0.055079
X=-207.382 Y=-12.280 Z=158.499,0.057609
X=-207.372 Y=-12.327 Z=158.500,0.053098
X=-207.353 Y=-12.375 Z=158.546,0.031164
X=-207.300 Y=-12.387 Z=158.595,0.0359
X=-207.228 Y=-12.350 Z=158.640,0.034822
X=-207.131 Y=-12.318 Z=158.653,0.041021
X=-207.038 Y=-12.272 Z=158.668,0.044585
X=-206.966 Y=-12.203 Z=158.707,0.042517
X=-206.953 Y=-12.164 Z=158.748,0.045012
X=-206.891 Y=-12.015 Z=158.764,0.04611
X=-206.835 Y=-11.904 Z=158.840,0.043279
X=-206.789 Y=-11.816 Z=158.893,0.043606
X=-206.776 Y=-11.734 Z=158.965,0.044393
X=-206.797 Y=-11.657 Z=159.016,0.044513
X=-206.835 Y=-11.564 Z=159.025,0.045152
X=-206.844 Y=-11.485 Z=159.018,0.043354
X=-206.859 Y=-11.395 Z=159.002,0.044965
X=-206.931 Y=-11.333 Z=158.967,0.044212
X=-207.044 Y=-11.266 Z=159.002,0.044031
X=-207.141 Y=-11.214 Z=159.022,0.045259
X=-207.161 Y=-11.142 Z=159.030,0.043608
X=-207.230 Y=-11.074 Z=159.060,0.049158
X=-207.321 Y=-10.967 Z=159.071,0.040632
X=-207.411 Y=-10.779 Z=159.063,0.042896
X=-207.509 Y=-10.637 Z=159.006,0.045542
X=-207.616 Y=-10.418 Z=158.957,0.040245
X=-207.682 Y=-10.169 Z=158.989,0.044278
X=-207.785 Y=-9.868 Z=158.939,0.044898
X=-207.873 Y=-9.525 Z=158.926,0.044387
X=-207.957 Y=-9.167 Z=158.935,0.044673
X=-208.125 Y=-8.776 Z=158.931,0.044459
X=-208.277 Y=-8.327 Z=158.971,0.044053
X=-208.423 Y=-7.907 Z=158.930,0.045718
