Position, Time(s)
X=-160.972 Y=1.128 Z=150.852,0.008333
X=-161.359 Y=1.306 Z=151.325,0.4
X=-161.003 Y=1.277 Z=151.173,0.014164
X=-160.838 Y=1.257 Z=151.108,0.044875
X=-160.732 Y=1.224 Z=151.148,0.034039
X=-160.615 Y=1.205 Z=151.177,0.039305
X=-160.424 Y=1.253 Z=151.226,0.040004
X=-160.277 Y=1.292 Z=151.031,0.041154
X=-160.272 Y=1.299 Z=150.812,0.041488
X=-160.196 Y=1.271 Z=150.903,0.040507
X=-159.918 Y=1.295 Z=151.031,0.040936
X=-159.746 Y=1.357 Z=150.969,0.041309
X=-159.541 Y=1.439 Z=150.808,0.039142
X=-159.421 Y=1.502 Z=150.742,0.040651
X=-159.297 Y=1.604 Z=150.722,0.040932
X=-159.225 Y=1.679 Z=150.753,0.039535
X=-159.208 Y=1.730 Z=150.799,0.041373
X=-159.217 Y=1.765 Z=150.865,0.040778
X=-159.285 Y=1.787 Z=150.934,0.039135
X=-159.312 Y=1.797 Z=150.979,0.040404
X=-159.349 Y=1.820 Z=150.989,0.039035
X=-159.369 Y=1.834 Z=150.982,0.040438
X=-159.416 Y=1.830 Z=150.957,0.039207
X=-159.464 Y=1.808 Z=150.928,0.040569
X=-159.476 Y=1.792 Z=150.942,0.040138
X=-159.514 Y=1.789 Z=150.934,0.038919
X=-159.561 Y=1.800 Z=150.936,0.039888
X=-159.589 Y=1.808 Z=150.985,0.03825
X=-159.756 Y=1.968 Z=150.933,0.039706
X=-159.875 Y=2.100 Z=150.922,0.056826
X=-160.050 Y=2.162 Z=150.925,0.053454
X=-160.206 Y=2.262 Z=150.907,0.056099
X=-160.376 Y=2.344 Z=150.920,0.055715
X=-160.568 Y=2.352 Z=150.959,0.055546
X=-160.733 Y=2.362 Z=150.983,0.054705
X=-160.865 Y=2.367 Z=150.968,0.056268
X=-161.007 Y=2.363 Z=150.959,0.055049
X=-161.058 Y=2.338 Z=150.960,0.055782
X=-161.140 Y=2.337 Z=150.976,0.055992
X=-161.253 Y=2.286 Z=150.996,0.054689
X=-161.300 Y=2.250 Z=150.983,0.057728
X=-161.346 Y=2.259 Z=150.988,0.054403
X=-161.345 Y=2.264 Z=150.986,0.054409
X=-161.379 Y=2.284 Z=150.980,0.056865
X=-161.413 Y=2.296 Z=150.975,0.054848
X=-161.418 Y=2.296 Z=150.993,0.056236
X=-161.482 Y=2.309 Z=151.029,0.050924
X=-161.442 Y=2.373 Z=151.017,0.056777
X=-161.371 Y=2.412 Z=151.013,0.053938
X=-161.371 Y=2.457 Z=151.017,0.056194
X=-161.373 Y=2.530 Z=151.024,0.054525
X=-161.449 Y=2.635 Z=151.030,0.055851
X=-161.501 Y=2.724 Z=151.044,0.056821
X=-161.564 Y=2.843 Z=151.064,0.054901
X=-161.590 Y=2.969 Z=151.045,0.056921
X=-161.651 Y=3.097 Z=151.046,0.054416
X=-161.666 Y=3.137 Z=151.055,0.055903
X=-161.675 Y=3.183 Z=151.040,0.054909
X=-161.693 Y=3.181 Z=151.043,0.055845
X=-161.712 Y=3.168 Z=151.017,0.055808
X=-161.725 Y=3.113 Z=151.001,0.056034
X=-161.722 Y=3.068 Z=150.964,0.056054
X=-161.760 Y=2.945 Z=150.955,0.053881
X=-161.764 Y=2.887 Z=150.967,0.055718
X=-161.788 Y=2.798 Z=150.992,0.052218
X=-161.877 Y=2.702 Z=151.019,0.054817
X=-161.985 Y=2.650 Z=151.032,0.05607
X=-162.048 Y=2.577 Z=151.010,0.05534
X=-162.089 Y=2.476 Z=151.011,0.057702
X=-162.099 Y=2.400 Z=151.035,0.052935
X=-162.128 Y=2.316 Z=151.041,0.056482
X=-162.201 Y=2.251 Z=151.041,0.055318
X=-162.251 Y=2.163 Z=151.024,0.055555
X=-162.239 Y=2.096 Z=150.982,0.055362
X=-162.248 Y=2.030 Z=151.006,0.055732
X=-162.231 Y=1.940 Z=151.018,0.056842
