Position, Time(s)
X=-173.936 Y=-3.109 Z=180.335,0.008334
X=-173.899 Y=-3.199 Z=180.387,0.4
X=-173.588 Y=-2.960 Z=180.451,0.015685
X=-173.440 Y=-2.747 Z=180.476,0.040714
X=-173.356 Y=-2.611 Z=180.468,0.030822
X=-173.259 Y=-2.397 Z=180.445,0.039701
X=-173.227 Y=-2.247 Z=180.433,0.040459
X=-173.166 Y=-2.041 Z=180.414,0.037585
X=-173.134 Y=-1.909 Z=180.403,0.036735
X=-173.071 Y=-1.810 Z=180.433,0.039427
X=-172.989 Y=-1.704 Z=180.431,0.036259
X=-172.839 Y=-1.678 Z=180.480,0.037322
X=-172.644 Y=-1.595 Z=180.457,0.038762
X=-172.533 Y=-1.542 Z=180.493,0.041918
X=-172.471 Y=-1.499 Z=180.496,0.055032
X=-172.374 Y=-1.498 Z=180.505,0.054566
X=-172.296 Y=-1.506 Z=180.480,0.054933
X=-172.278 Y=-1.483 Z=180.390,0.056576
X=-172.267 Y=-1.442 Z=180.348,0.054559
X=-172.297 Y=-1.440 Z=180.304,0.056596
X=-172.385 Y=-1.422 Z=180.313,0.054885
X=-172.478 Y=-1.406 Z=180.342,0.055817
X=-172.597 Y=-1.386 Z=180.342,0.055296
X=-172.721 Y=-1.386 Z=180.318,0.055321
X=-172.881 Y=-1.361 Z=180.268,0.055441
X=-173.013 Y=-1.371 Z=180.217,0.055982
X=-173.167 Y=-1.344 Z=180.238,0.055337
X=-173.397 Y=-1.278 Z=180.299,0.055904
X=-173.678 Y=-1.202 Z=180.338,0.055625
X=-173.931 Y=-1.201 Z=180.355,0.056164
X=-174.009 Y=-1.210 Z=180.355,0.052937
X=-174.191 Y=-1.231 Z=180.365,0.030015
X=-174.340 Y=-1.240 Z=180.378,0.03593
X=-174.439 Y=-1.242 Z=180.361,0.044638
X=-174.557 Y=-1.279 Z=180.313,0.04304
X=-174.605 Y=-1.375 Z=180.294,0.044839
X=-174.641 Y=-1.408 Z=180.268,0.044661
X=-174.582 Y=-1.447 Z=180.265,0.045127
X=-174.518 Y=-1.514 Z=180.304,0.043644
X=-174.409 Y=-1.601 Z=180.305,0.043875
X=-174.222 Y=-1.684 Z=180.296,0.045561
X=-173.993 Y=-1.776 Z=180.250,0.043978
X=-173.777 Y=-1.905 Z=180.145,0.04523
X=-173.547 Y=-2.007 Z=180.063,0.045137
X=-173.283 Y=-2.103 Z=180.052,0.043022
X=-173.043 Y=-2.198 Z=180.033,0.044401
X=-172.823 Y=-2.245 Z=180.030,0.043717
X=-172.593 Y=-2.329 Z=180.045,0.045
X=-172.392 Y=-2.388 Z=180.027,0.044321
X=-172.164 Y=-2.408 Z=180.003,0.046748
