Position, Time(s)
X=-168.444 Y=1.436 Z=150.599,0.008333
X=-167.398 Y=0.734 Z=150.996,0.4
X=-164.115 Y=1.881 Z=151.260,0.013814
X=-163.664 Y=2.173 Z=151.248,0.041479
X=-163.515 Y=2.310 Z=151.221,0.035186
X=-163.486 Y=2.351 Z=151.093,0.036354
X=-163.541 Y=2.225 Z=151.064,0.039482
X=-163.607 Y=2.084 Z=151.074,0.037686
X=-163.763 Y=1.903 Z=151.076,0.038917
X=-163.978 Y=1.626 Z=151.114,0.037824
X=-164.265 Y=1.136 Z=151.323,0.038612
X=-164.425 Y=0.801 Z=151.359,0.045021
X=-164.423 Y=0.651 Z=151.368,0.054165
X=-164.427 Y=0.701 Z=151.401,0.055393
X=-164.276 Y=0.777 Z=151.457,0.055689
X=-164.190 Y=0.918 Z=151.500,0.054698
X=-164.191 Y=0.963 Z=151.490,0.055479
X=-164.135 Y=0.972 Z=151.665,0.055862
X=-164.210 Y=1.097 Z=151.639,0.05562
X=-164.411 Y=1.280 Z=151.470,0.056324
X=-164.633 Y=1.518 Z=151.257,0.055077
X=-164.794 Y=1.713 Z=151.178,0.054767
X=-165.026 Y=1.909 Z=151.071,0.056187
X=-165.244 Y=2.047 Z=151.098,0.054504
X=-165.349 Y=2.213 Z=151.073,0.056122
X=-165.284 Y=2.325 Z=151.125,0.055813
X=-165.024 Y=2.331 Z=151.093,0.055493
X=-164.529 Y=2.511 Z=151.016,0.056412
X=-164.254 Y=2.660 Z=150.862,0.055122
X=-163.775 Y=2.917 Z=150.768,0.031229
X=-163.205 Y=3.215 Z=150.827,0.042882
X=-162.564 Y=3.511 Z=150.779,0.045421
X=-161.969 Y=3.782 Z=150.546,0.044343
X=-161.479 Y=3.994 Z=150.226,0.044041
X=-161.087 Y=4.216 Z=150.078,0.043983
X=-160.818 Y=4.322 Z=150.039,0.044556
X=-160.797 Y=4.434 Z=150.041,0.044354
X=-160.917 Y=4.499 Z=149.962,0.044678
X=-161.163 Y=4.469 Z=150.114,0.044484
X=-161.494 Y=4.407 Z=150.169,0.045522
X=-161.837 Y=4.323 Z=150.151,0.044085
X=-162.264 Y=4.182 Z=150.030,0.043632
X=-162.617 Y=4.076 Z=149.873,0.043544
X=-162.743 Y=3.999 Z=149.864,0.044963
