Position, Time(s)
X=-216.888 Y=-4.934 Z=165.599,0.008333
X=-216.904 Y=-5.017 Z=165.598,0.4
X=-217.010 Y=-5.103 Z=165.614,0.011261
X=-217.031 Y=-5.102 Z=165.628,0.025928
X=-217.031 Y=-5.103 Z=165.637,0.029954
X=-216.993 Y=-5.130 Z=165.632,0.037705
X=-216.983 Y=-5.129 Z=165.635,0.037245
X=-216.957 Y=-5.162 Z=165.612,0.037412
X=-216.919 Y=-5.140 Z=165.610,0.043668
X=-216.913 Y=-5.178 Z=165.572,0.054451
X=-216.865 Y=-5.309 Z=165.512,0.055486
X=-216.808 Y=-5.422 Z=165.496,0.055778
X=-216.791 Y=-5.476 Z=165.425,0.054791
X=-216.723 Y=-5.415 Z=165.449,0.05565
X=-216.658 Y=-5.301 Z=165.471,0.05591
X=-216.569 Y=-5.178 Z=165.465,0.055682
X=-216.502 Y=-5.179 Z=165.437,0.054324
X=-216.471 Y=-5.243 Z=165.451,0.060083
X=-216.451 Y=-5.249 Z=165.462,0.051078
X=-216.411 Y=-5.215 Z=165.471,0.057358
X=-216.305 Y=-5.163 Z=165.458,0.054559
X=-216.183 Y=-5.136 Z=165.489,0.055746
X=-216.063 Y=-5.220 Z=165.513,0.056354
X=-215.862 Y=-5.178 Z=165.478,0.054712
X=-215.543 Y=-5.093 Z=165.412,0.055741
X=-215.367 Y=-4.887 Z=165.351,0.056003
X=-215.287 Y=-4.757 Z=165.343,0.052061
X=-215.141 Y=-4.352 Z=165.380,0.027996
X=-215.009 Y=-3.810 Z=165.457,0.042795
X=-215.039 Y=-3.095 Z=165.538,0.043733
X=-215.229 Y=-2.285 Z=165.611,0.042392
X=-215.574 Y=-1.527 Z=165.652,0.044413
X=-216.055 Y=-0.795 Z=165.674,0.044102
X=-216.607 Y=-0.173 Z=165.667,0.045114
X=-217.195 Y=0.379 Z=165.722,0.045901
X=-217.810 Y=0.840 Z=165.858,0.042658
X=-218.384 Y=1.098 Z=165.925,0.044953
X=-218.920 Y=1.277 Z=166.051,0.044597
X=-219.325 Y=1.366 Z=166.127,0.043341
X=-219.667 Y=1.404 Z=166.113,0.043934
X=-219.926 Y=1.444 Z=166.093,0.04466
X=-220.156 Y=1.517 Z=166.108,0.043794
