Position, Time(s)
X=-213.421 Y=-5.851 Z=162.584,0.008334
X=-213.300 Y=-5.732 Z=162.822,0.4
X=-213.049 Y=-5.737 Z=163.361,0.012485
X=-212.900 Y=-5.749 Z=163.319,0.023375
X=-212.824 Y=-5.757 Z=163.271,0.028285
X=-212.698 Y=-5.811 Z=163.232,0.035782
X=-212.573 Y=-5.870 Z=163.202,0.035447
X=-212.430 Y=-5.968 Z=163.165,0.034407
X=-212.333 Y=-6.014 Z=163.181,0.033639
X=-212.271 Y=-6.015 Z=163.270,0.034354
X=-212.184 Y=-5.946 Z=163.428,0.035533
X=-212.301 Y=-5.885 Z=163.636,0.040151
X=-212.441 Y=-5.843 Z=163.906,0.055739
X=-212.602 Y=-5.804 Z=164.202,0.053879
X=-212.840 Y=-5.797 Z=164.398,0.05429
X=-213.066 Y=-5.819 Z=164.632,0.056164
X=-213.208 Y=-5.890 Z=164.744,0.055909
X=-213.275 Y=-5.978 Z=164.607,0.05454
X=-213.342 Y=-6.017 Z=164.300,0.055972
X=-213.434 Y=-6.058 Z=164.080,0.056965
X=-213.500 Y=-6.146 Z=164.197,0.055348
X=-213.654 Y=-6.029 Z=164.272,0.056072
X=-213.744 Y=-5.709 Z=164.263,0.054177
X=-213.896 Y=-5.232 Z=164.628,0.054986
X=-214.088 Y=-4.991 Z=164.786,0.056298
X=-214.124 Y=-4.869 Z=164.877,0.055679
X=-214.138 Y=-4.546 Z=165.002,0.056327
X=-214.139 Y=-4.347 Z=164.960,0.052791
X=-214.035 Y=-4.364 Z=164.966,0.03398
X=-213.849 Y=-4.713 Z=164.975,0.043688
X=-213.669 Y=-5.091 Z=165.035,0.04499
X=-213.537 Y=-5.056 Z=165.321,0.043102
X=-214.107 Y=-3.848 Z=165.955,0.043967
X=-214.881 Y=-2.258 Z=166.851,0.04667
X=-215.845 Y=-1.181 Z=167.222,0.043372
X=-216.930 Y=-0.756 Z=166.819,0.043831
X=-217.640 Y=-1.095 Z=165.930,0.043746
X=-217.754 Y=-1.561 Z=165.562,0.045934
X=-217.485 Y=-2.051 Z=165.532,0.042626
X=-217.291 Y=-2.553 Z=165.388,0.044184
X=-217.423 Y=-2.924 Z=165.197,0.045884
X=-217.753 Y=-3.247 Z=164.921,0.046973
X=-217.897 Y=-3.575 Z=164.883,0.042209
X=-217.806 Y=-3.945 Z=164.814,0.043935
X=-217.491 Y=-4.232 Z=164.902,0.043361
X=-217.104 Y=-4.610 Z=164.962,0.043882
X=-216.705 Y=-4.990 Z=165.062,0.045486
X=-216.340 Y=-5.252 Z=165.142,0.045735
X=-215.913 Y=-5.515 Z=165.050,0.042087
X=-215.417 Y=-5.812 Z=164.922,0.044503
X=-214.787 Y=-6.026 Z=164.774,0.041884
X=-213.876 Y=-6.193 Z=164.782,0.044663
X=-212.626 Y=-6.309 Z=164.851,0.044865
X=-211.325 Y=-6.530 Z=164.889,0.044207
X=-210.264 Y=-7.049 Z=164.772,0.04578
X=-209.896 Y=-7.551 Z=164.786,0.043026
X=-209.979 Y=-7.664 Z=164.904,0.044069
X=-210.351 Y=-7.501 Z=164.924,0.044688
X=-211.096 Y=-7.043 Z=164.951,0.043602
X=-212.016 Y=-6.421 Z=164.930,0.044867
X=-212.933 Y=-5.697 Z=164.817,0.044878
X=-213.940 Y=-4.943 Z=164.652,0.043607
X=-214.967 Y=-4.224 Z=164.509,0.045452
X=-215.836 Y=-3.601 Z=164.490,0.044143
X=-216.632 Y=-2.933 Z=164.529,0.045325
X=-217.270 Y=-2.242 Z=164.494,0.043127
X=-217.765 Y=-1.420 Z=164.345,0.045134
X=-218.050 Y=-0.295 Z=164.055,0.044496
X=-218.265 Y=1.080 Z=163.634,0.043724
X=-218.432 Y=2.751 Z=163.323,0.04397
X=-218.692 Y=4.519 Z=162.929,0.04546
X=-218.873 Y=6.399 Z=162.461,0.043314
X=-219.108 Y=8.268 Z=161.997,0.044484
X=-219.559 Y=10.061 Z=161.604,0.041876
X=-219.919 Y=11.894 Z=161.410,0.043758
X=-220.122 Y=13.569 Z=161.060,0.044703
X=-220.234 Y=15.071 Z=160.730,0.044535
X=-220.340 Y=16.468 Z=160.424,0.045905
X=-220.370 Y=17.757 Z=160.027,0.04297
X=-220.274 Y=18.965 Z=159.612,0.04352
X=-220.195 Y=19.860 Z=159.338,0.046586
X=-220.260 Y=20.688 Z=159.192,0.042798
X=-220.377 Y=21.407 Z=159.102,0.044884
X=-220.510 Y=21.991 Z=159.001,0.044971
X=-220.648 Y=22.445 Z=158.977,0.044301
X=-220.611 Y=22.704 Z=158.995,0.043862
X=-220.551 Y=22.851 Z=159.158,0.044383
X=-220.421 Y=22.727 Z=159.480,0.044296
X=-220.268 Y=22.343 Z=160.205,0.044862
X=-220.089 Y=21.619 Z=161.383,0.045725
X=-220.045 Y=20.531 Z=162.984,0.043985
X=-220.199 Y=19.132 Z=164.433,0.044958
X=-220.441 Y=17.570 Z=165.560,0.043249
X=-220.707 Y=15.942 Z=166.565,0.043634
X=-220.987 Y=14.479 Z=167.349,0.045591
X=-221.275 Y=12.977 Z=168.054,0.039249
X=-221.543 Y=11.417 Z=168.848,0.045196
X=-221.777 Y=10.035 Z=169.354,0.044524
X=-221.937 Y=8.856 Z=169.730,0.044279
X=-222.130 Y=7.904 Z=170.094,0.04521
X=-222.391 Y=7.077 Z=170.258,0.043719
X=-222.400 Y=6.407 Z=170.391,0.044509
X=-222.348 Y=5.937 Z=170.482,0.043276
X=-222.274 Y=5.538 Z=170.584,0.045978
X=-222.272 Y=5.188 Z=170.648,0.044031
X=-222.275 Y=4.866 Z=170.704,0.045567
X=-222.205 Y=4.682 Z=170.666,0.043998
X=-222.156 Y=4.593 Z=170.719,0.044258
X=-222.070 Y=4.562 Z=170.784,0.043339
X=-221.930 Y=4.626 Z=170.765,0.045237
X=-221.743 Y=4.673 Z=170.744,0.04442
X=-221.539 Y=4.815 Z=170.744,0.043596
X=-221.238 Y=4.984 Z=170.725,0.045751
X=-220.922 Y=5.253 Z=170.733,0.043831
X=-220.580 Y=5.535 Z=170.712,0.045695
X=-220.235 Y=5.792 Z=170.712,0.043288
X=-219.920 Y=6.006 Z=170.708,0.044622
X=-219.643 Y=6.274 Z=170.717,0.045003
X=-219.404 Y=6.464 Z=170.734,0.040107
X=-219.222 Y=6.562 Z=170.770,0.04356
X=-219.133 Y=6.583 Z=170.781,0.04519
X=-219.151 Y=6.583 Z=170.823,0.043821
X=-219.265 Y=6.554 Z=170.863,0.044703
X=-219.457 Y=6.516 Z=170.924,0.045028
X=-219.695 Y=6.370 Z=170.970,0.045605
X=-220.036 Y=6.240 Z=170.977,0.043685
X=-220.423 Y=6.086 Z=170.993,0.043635
X=-220.841 Y=6.012 Z=170.961,0.044497
X=-221.208 Y=5.958 Z=170.892,0.043948
X=-221.462 Y=5.975 Z=170.942,0.043941
X=-221.845 Y=6.023 Z=170.941,0.04575
X=-222.332 Y=6.041 Z=170.923,0.044703
X=-222.835 Y=6.032 Z=170.881,0.044478
X=-223.302 Y=6.013 Z=170.864,0.045615
X=-223.904 Y=5.996 Z=170.839,0.043023
X=-224.452 Y=6.023 Z=170.838,0.045104
X=-224.906 Y=5.944 Z=170.831,0.042779
X=-225.231 Y=5.809 Z=170.840,0.046285
X=-225.589 Y=5.717 Z=170.864,0.042968
X=-225.915 Y=5.600 Z=170.828,0.044969
X=-226.291 Y=5.483 Z=170.789,0.045325
X=-226.498 Y=5.396 Z=170.804,0.04181
X=-226.703 Y=5.271 Z=170.792,0.043837
X=-226.772 Y=5.096 Z=170.787,0.044856
X=-226.781 Y=5.021 Z=170.816,0.044522
X=-226.659 Y=5.027 Z=170.825,0.045318
X=-226.474 Y=5.042 Z=170.817,0.043004
X=-226.119 Y=5.071 Z=170.842,0.045162
X=-225.713 Y=5.165 Z=170.851,0.044108
X=-225.227 Y=5.295 Z=170.856,0.044292
X=-224.748 Y=5.422 Z=170.873,0.045103
X=-224.235 Y=5.554 Z=170.863,0.045548
X=-223.794 Y=5.630 Z=170.872,0.04295
X=-223.374 Y=5.726 Z=170.821,0.044348
X=-222.881 Y=5.867 Z=170.748,0.044596
X=-222.125 Y=6.185 Z=170.603,0.044601
X=-220.843 Y=6.726 Z=170.385,0.044494
X=-218.991 Y=7.429 Z=169.959,0.045281
X=-216.551 Y=8.126 Z=169.152,0.044027
X=-213.864 Y=8.546 Z=167.812,0.044343
X=-211.272 Y=8.412 Z=165.938,0.045048
X=-209.482 Y=7.624 Z=163.992,0.044145
X=-208.273 Y=6.604 Z=162.219,0.045132
X=-207.868 Y=5.627 Z=161.243,0.04079
X=-207.739 Y=5.385 Z=160.935,0.045191
X=-207.426 Y=5.799 Z=161.561,0.042811
X=-207.194 Y=6.435 Z=161.745,0.044471
X=-206.847 Y=6.988 Z=161.856,0.045118
X=-206.535 Y=7.147 Z=161.850,0.044117
X=-206.105 Y=7.028 Z=161.899,0.044563
X=-205.563 Y=6.684 Z=161.930,0.044733
X=-204.824 Y=6.232 Z=162.086,0.044575
X=-203.873 Y=5.686 Z=162.110,0.043762
X=-202.744 Y=5.130 Z=162.151,0.044438
X=-201.615 Y=4.611 Z=162.069,0.044864
X=-200.479 Y=4.114 Z=162.003,0.045382
X=-199.334 Y=3.471 Z=161.900,0.044525
X=-198.133 Y=2.555 Z=161.834,0.044131
X=-196.899 Y=1.396 Z=161.790,0.044013
X=-195.626 Y=-0.011 Z=161.669,0.043777
X=-194.134 Y=-1.762 Z=161.683,0.044043
X=-192.241 Y=-3.975 Z=162.330,0.046507
X=-190.180 Y=-6.806 Z=162.924,0.043114
X=-188.343 Y=-9.254 Z=163.529,0.044974
X=-186.719 Y=-10.986 Z=163.545,0.045723
X=-185.091 Y=-11.749 Z=162.938,0.043537
X=-183.295 Y=-11.892 Z=162.639,0.048613
X=-181.451 Y=-11.461 Z=162.846,0.043888
X=-179.672 Y=-10.680 Z=163.462,0.044916
X=-177.771 Y=-9.697 Z=164.173,0.042791
X=-175.863 Y=-8.715 Z=164.678,0.044454
X=-173.871 Y=-7.595 Z=164.797,0.044191
X=-172.049 Y=-6.344 Z=164.441,0.044789
X=-170.271 Y=-5.024 Z=163.939,0.043994
X=-168.640 Y=-3.589 Z=163.348,0.045233
X=-167.158 Y=-2.332 Z=163.636,0.044507
X=-165.832 Y=-1.382 Z=164.537,0.043602
X=-164.550 Y=-0.985 Z=165.270,0.04695
X=-163.209 Y=-0.669 Z=165.501,0.042096
X=-161.662 Y=-0.289 Z=165.459,0.046256
X=-160.340 Y=-0.276 Z=165.564,0.044358
X=-159.216 Y=-0.658 Z=165.687,0.04281
