Position, Time(s)
X=-160.356 Y=-2.290 Z=167.964,0.303257
X=-160.250 Y=-2.131 Z=167.889,0.4
X=-159.986 Y=-2.234 Z=167.849,0.011438
X=-159.809 Y=-2.284 Z=167.809,0.038125
X=-159.633 Y=-2.331 Z=167.746,0.032164
X=-159.338 Y=-2.319 Z=167.588,0.039337
X=-159.066 Y=-2.287 Z=167.390,0.039598
X=-158.729 Y=-2.262 Z=167.065,0.037172
X=-158.240 Y=-2.302 Z=166.434,0.038711
X=-157.847 Y=-2.361 Z=165.894,0.036653
X=-157.383 Y=-2.468 Z=165.429,0.036982
X=-157.134 Y=-2.536 Z=165.283,0.038544
X=-156.910 Y=-2.574 Z=165.288,0.038422
X=-156.728 Y=-2.594 Z=165.343,0.039068
X=-156.606 Y=-2.618 Z=165.452,0.037461
X=-156.396 Y=-2.588 Z=165.532,0.038498
X=-156.209 Y=-2.541 Z=165.548,0.037184
X=-155.995 Y=-2.464 Z=165.549,0.037246
X=-155.765 Y=-2.371 Z=165.505,0.038237
X=-155.619 Y=-2.308 Z=165.443,0.03689
X=-155.472 Y=-2.248 Z=165.350,0.038371
X=-155.373 Y=-2.221 Z=165.329,0.036603
X=-155.304 Y=-2.188 Z=165.333,0.036632
X=-155.257 Y=-2.196 Z=165.335,0.037902
X=-155.229 Y=-2.250 Z=165.334,0.036682
X=-155.186 Y=-2.380 Z=165.320,0.036632
X=-155.111 Y=-2.545 Z=165.259,0.044272
X=-155.024 Y=-2.794 Z=165.140,0.055489
X=-154.908 Y=-3.028 Z=164.985,0.053849
X=-154.826 Y=-3.380 Z=164.770,0.055248
X=-154.742 Y=-3.736 Z=164.586,0.05676
X=-154.673 Y=-4.052 Z=164.491,0.057734
X=-154.723 Y=-4.134 Z=164.411,0.053185
X=-154.868 Y=-3.869 Z=164.350,0.056102
X=-154.951 Y=-3.263 Z=164.349,0.055026
X=-155.019 Y=-2.298 Z=164.383,0.055192
X=-155.187 Y=-1.077 Z=164.383,0.054934
X=-155.551 Y=0.233 Z=164.501,0.055096
X=-156.186 Y=1.519 Z=164.630,0.056558
X=-156.836 Y=2.395 Z=164.775,0.057538
X=-157.375 Y=2.790 Z=164.749,0.054291
X=-157.861 Y=3.140 Z=164.665,0.055659
X=-158.075 Y=3.563 Z=164.694,0.055019
X=-158.339 Y=4.660 Z=164.882,0.030344
X=-158.565 Y=6.261 Z=165.126,0.045271
X=-159.042 Y=7.830 Z=165.211,0.044169
X=-159.837 Y=9.300 Z=165.204,0.04416
X=-160.758 Y=10.388 Z=165.208,0.045677
X=-161.642 Y=10.966 Z=165.272,0.0458
X=-162.457 Y=11.236 Z=165.530,0.042547
X=-163.006 Y=11.197 Z=165.766,0.043431
X=-163.281 Y=10.989 Z=166.005,0.044834
X=-163.334 Y=10.811 Z=166.107,0.043988
X=-163.274 Y=10.703 Z=166.093,0.044425
X=-163.133 Y=10.589 Z=165.969,0.044544
X=-162.852 Y=10.389 Z=165.850,0.044907
X=-162.461 Y=10.130 Z=165.678,0.043297
X=-162.106 Y=9.872 Z=165.529,0.044778
X=-161.856 Y=9.627 Z=165.336,0.045456
X=-161.584 Y=9.444 Z=164.992,0.042947
X=-161.166 Y=9.338 Z=164.232,0.045401
X=-160.494 Y=9.265 Z=162.853,0.044814
X=-159.886 Y=9.134 Z=161.455,0.043243
X=-159.372 Y=9.081 Z=160.620,0.044595
X=-159.099 Y=9.210 Z=160.538,0.044707
X=-159.097 Y=9.391 Z=160.910,0.04057
X=-159.284 Y=9.609 Z=161.602,0.04508
X=-159.584 Y=9.878 Z=162.536,0.044145
X=-160.057 Y=10.174 Z=163.320,0.045076
X=-160.587 Y=10.396 Z=163.695,0.042999
X=-161.205 Y=10.691 Z=163.703,0.045487
X=-161.875 Y=11.036 Z=163.586,0.044444
X=-162.767 Y=11.409 Z=163.424,0.043973
X=-163.550 Y=11.654 Z=163.345,0.044438
X=-164.182 Y=11.780 Z=163.378,0.044578
X=-164.814 Y=11.856 Z=163.598,0.043608
X=-165.441 Y=11.899 Z=163.790,0.043777
X=-165.924 Y=11.876 Z=163.962,0.045426
X=-166.139 Y=11.760 Z=164.246,0.045142
X=-165.986 Y=11.509 Z=164.644,0.043256
X=-165.491 Y=11.135 Z=165.253,0.044419
X=-164.864 Y=10.678 Z=165.807,0.044854
X=-164.024 Y=10.076 Z=166.340,0.043848
X=-162.907 Y=9.326 Z=166.889,0.045923
X=-161.385 Y=8.189 Z=167.346,0.043453
X=-159.878 Y=6.834 Z=167.384,0.050621
X=-158.354 Y=5.281 Z=167.282,0.03974
X=-157.012 Y=3.267 Z=166.894,0.043152
X=-156.051 Y=0.994 Z=166.422,0.041402
X=-155.640 Y=-1.527 Z=166.020,0.043146
X=-155.970 Y=-4.102 Z=165.884,0.044789
X=-156.964 Y=-6.084 Z=165.909,0.044589
X=-158.005 Y=-7.343 Z=165.988,0.045311
X=-158.880 Y=-8.107 Z=165.963,0.045495
X=-159.486 Y=-8.570 Z=166.020,0.044765
X=-159.963 Y=-8.880 Z=166.099,0.043065
X=-160.356 Y=-9.045 Z=166.132,0.044052
X=-160.598 Y=-9.172 Z=166.158,0.043764
X=-160.442 Y=-9.110 Z=166.067,0.044556
X=-160.224 Y=-9.000 Z=166.063,0.042725
X=-159.829 Y=-8.830 Z=165.979,0.045078
X=-159.502 Y=-8.726 Z=165.907,0.045109
X=-159.174 Y=-8.648 Z=165.775,0.044369
X=-158.875 Y=-8.479 Z=165.680,0.044157
X=-158.483 Y=-8.194 Z=165.619,0.044354
X=-158.086 Y=-7.870 Z=165.628,0.04501
X=-157.539 Y=-7.482 Z=165.608,0.043402
X=-156.795 Y=-6.977 Z=165.523,0.044609
X=-155.754 Y=-6.294 Z=165.257,0.045891
X=-154.515 Y=-5.301 Z=164.669,0.042833
X=-153.408 Y=-4.284 Z=163.873,0.045607
X=-152.251 Y=-3.230 Z=162.757,0.040986
X=-151.389 Y=-2.428 Z=161.522,0.044294
X=-150.789 Y=-2.008 Z=160.369,0.044922
X=-150.382 Y=-2.069 Z=159.636,0.045189
X=-150.089 Y=-2.463 Z=159.179,0.042975
X=-149.859 Y=-3.026 Z=158.830,0.044729
X=-149.629 Y=-3.782 Z=158.571,0.043435
X=-149.351 Y=-4.507 Z=158.323,0.045323
X=-149.129 Y=-5.098 Z=158.201,0.043987
X=-148.844 Y=-5.662 Z=158.113,0.044686
X=-148.296 Y=-6.120 Z=158.001,0.045206
X=-147.806 Y=-6.482 Z=157.998,0.043542
X=-147.256 Y=-6.616 Z=158.335,0.043869
X=-146.562 Y=-6.753 Z=158.737,0.046179
X=-145.693 Y=-7.095 Z=158.922,0.044514
X=-144.646 Y=-7.622 Z=159.071,0.043286
X=-143.443 Y=-8.137 Z=159.268,0.045156
X=-142.020 Y=-8.532 Z=159.387,0.044569
X=-140.359 Y=-8.738 Z=159.388,0.043608
X=-138.577 Y=-8.662 Z=159.286,0.044789
X=-136.537 Y=-8.332 Z=159.175,0.045047
X=-134.364 Y=-7.914 Z=159.213,0.043386
X=-132.113 Y=-7.345 Z=159.332,0.040326
X=-129.802 Y=-6.758 Z=159.627,0.044912
X=-127.385 Y=-6.201 Z=160.280,0.045024
X=-124.973 Y=-5.552 Z=160.984,0.043469
X=-122.611 Y=-4.662 Z=161.688,0.044851
X=-120.192 Y=-3.703 Z=162.007,0.046459
X=-117.721 Y=-2.769 Z=161.759,0.043336
X=-115.293 Y=-1.854 Z=161.150,0.044242
