Position, Time(s)
X=-148.977 Y=10.160 Z=165.609,0.008333
X=-146.336 Y=13.779 Z=165.526,0.4
X=-148.519 Y=13.185 Z=166.406,0.014711
X=-148.939 Y=12.153 Z=166.375,0.048865
X=-149.032 Y=11.284 Z=166.167,0.036291
X=-149.041 Y=10.563 Z=166.010,0.037401
X=-149.009 Y=9.645 Z=165.762,0.040657
X=-149.046 Y=9.019 Z=165.602,0.040752
X=-149.279 Y=8.230 Z=165.482,0.039618
X=-149.634 Y=7.555 Z=165.505,0.041951
X=-149.985 Y=7.034 Z=165.628,0.040763
X=-150.440 Y=6.392 Z=165.943,0.039807
X=-150.748 Y=5.909 Z=166.207,0.040801
X=-151.082 Y=5.457 Z=166.488,0.03958
X=-151.365 Y=4.998 Z=166.696,0.040753
X=-151.492 Y=4.683 Z=166.765,0.04051
X=-151.605 Y=4.430 Z=166.735,0.039627
X=-151.771 Y=4.409 Z=166.538,0.040551
X=-151.929 Y=4.521 Z=166.595,0.039339
X=-152.273 Y=4.793 Z=166.733,0.040775
X=-152.599 Y=5.025 Z=166.892,0.040712
X=-152.925 Y=5.251 Z=167.079,0.039699
X=-153.149 Y=5.542 Z=167.251,0.040153
X=-153.352 Y=5.821 Z=167.375,0.040813
X=-153.552 Y=6.455 Z=167.277,0.039768
X=-153.589 Y=6.964 Z=167.019,0.050776
X=-153.539 Y=7.428 Z=166.590,0.05437
X=-153.244 Y=7.789 Z=166.111,0.056489
X=-152.910 Y=8.207 Z=165.368,0.054113
X=-152.615 Y=8.658 Z=164.167,0.056099
X=-152.445 Y=9.076 Z=163.409,0.055155
X=-152.657 Y=9.491 Z=163.344,0.056235
X=-152.987 Y=9.693 Z=163.564,0.054856
X=-153.419 Y=9.739 Z=163.837,0.05678
X=-153.788 Y=9.563 Z=164.109,0.054351
X=-154.023 Y=9.459 Z=164.160,0.055066
X=-154.296 Y=9.212 Z=164.203,0.056107
X=-154.675 Y=8.835 Z=164.486,0.05545
X=-155.032 Y=8.311 Z=165.019,0.058406
X=-155.346 Y=7.790 Z=165.424,0.053524
X=-155.492 Y=7.327 Z=165.662,0.056995
X=-155.512 Y=6.962 Z=165.874,0.056367
X=-155.401 Y=6.566 Z=165.954,0.049658
X=-155.189 Y=6.098 Z=165.872,0.0552
X=-154.931 Y=5.696 Z=165.852,0.054997
X=-154.755 Y=5.254 Z=165.976,0.056851
X=-154.644 Y=4.878 Z=165.968,0.054755
X=-154.510 Y=4.522 Z=166.000,0.055644
X=-154.266 Y=4.177 Z=166.025,0.056023
X=-153.897 Y=3.922 Z=166.048,0.05515
X=-153.452 Y=3.825 Z=165.963,0.056037
X=-153.045 Y=3.793 Z=165.849,0.055876
X=-152.686 Y=3.757 Z=165.621,0.055293
X=-152.389 Y=3.651 Z=165.322,0.055939
X=-152.233 Y=3.672 Z=165.240,0.054524
X=-152.309 Y=3.872 Z=165.373,0.056537
X=-152.484 Y=4.022 Z=165.563,0.05565
X=-152.665 Y=4.093 Z=165.649,0.054354
X=-152.813 Y=4.162 Z=165.585,0.056075
X=-153.032 Y=4.250 Z=165.527,0.055312
X=-153.181 Y=4.376 Z=165.602,0.051727
X=-153.380 Y=4.501 Z=165.704,0.055237
X=-153.611 Y=4.598 Z=165.782,0.055571
X=-153.798 Y=4.636 Z=165.830,0.055303
X=-153.894 Y=4.604 Z=165.847,0.056743
X=-154.006 Y=4.637 Z=165.841,0.054226
X=-154.067 Y=4.685 Z=165.845,0.056005
X=-154.086 Y=4.714 Z=165.817,0.055582
X=-154.078 Y=4.671 Z=165.733,0.055541
