Position, Time(s)
X=-155.856 Y=12.609 Z=7.821,0.008334
X=-155.859 Y=12.625 Z=7.820,0.4
X=-155.862 Y=12.623 Z=7.817,0.013544
X=-155.866 Y=12.584 Z=7.834,0.044975
X=-155.855 Y=12.598 Z=7.830,0.037506
X=-155.850 Y=12.633 Z=7.819,0.032619
X=-155.816 Y=12.658 Z=7.800,0.038901
X=-155.845 Y=12.623 Z=7.828,0.036687
X=-155.830 Y=12.633 Z=7.819,0.035799
X=-155.851 Y=12.627 Z=7.818,0.037264
X=-155.823 Y=12.620 Z=7.815,0.035853
X=-155.767 Y=12.606 Z=7.803,0.035644
X=-155.617 Y=12.609 Z=7.818,0.035528
X=-155.546 Y=12.620 Z=7.866,0.03763
X=-155.515 Y=12.867 Z=8.117,0.035914
X=-155.692 Y=13.261 Z=9.588,0.035866
X=-156.101 Y=13.701 Z=11.980,0.036126
X=-156.521 Y=14.529 Z=16.578,0.037224
X=-156.396 Y=15.180 Z=22.481,0.036147
X=-155.504 Y=16.294 Z=30.844,0.052461
X=-154.103 Y=17.643 Z=40.828,0.05498
X=-152.826 Y=19.560 Z=52.238,0.055639
X=-151.659 Y=22.097 Z=63.979,0.055678
X=-150.893 Y=24.523 Z=74.530,0.056611
X=-150.618 Y=26.826 Z=84.254,0.054846
X=-150.662 Y=28.845 Z=92.462,0.056366
X=-150.882 Y=30.668 Z=99.076,0.054686
X=-151.141 Y=32.484 Z=104.192,0.055927
X=-151.473 Y=33.749 Z=108.188,0.054882
X=-151.651 Y=34.695 Z=111.764,0.055781
X=-151.369 Y=35.363 Z=115.272,0.055167
X=-150.771 Y=35.916 Z=118.082,0.056442
X=-149.208 Y=36.398 Z=121.826,0.054715
X=-147.468 Y=36.784 Z=126.907,0.054943
X=-145.845 Y=36.982 Z=132.477,0.05595
X=-144.360 Y=37.038 Z=138.070,0.05553
X=-143.637 Y=36.921 Z=141.444,0.052722
X=-142.363 Y=36.778 Z=145.513,0.031728
X=-141.286 Y=36.574 Z=149.393,0.04562
X=-140.389 Y=36.186 Z=153.113,0.044227
X=-139.597 Y=35.322 Z=156.661,0.044917
X=-139.031 Y=33.933 Z=160.318,0.043604
X=-138.964 Y=32.078 Z=163.974,0.046401
X=-139.048 Y=29.838 Z=168.005,0.042781
X=-139.180 Y=27.429 Z=172.241,0.04422
X=-139.627 Y=25.005 Z=175.477,0.044972
X=-140.295 Y=22.754 Z=178.040,0.045009
X=-141.381 Y=20.920 Z=179.780,0.044727
X=-142.792 Y=19.551 Z=181.430,0.046573
X=-143.651 Y=18.098 Z=182.711,0.041157
X=-144.297 Y=16.628 Z=184.011,0.044187
