Position, Time(s)
X=-186.733 Y=9.303 Z=98.107,0.158835
X=-186.944 Y=8.587 Z=104.560,0.4
X=-187.969 Y=7.155 Z=117.528,0.012356
X=-188.112 Y=6.084 Z=123.576,0.042622
X=-188.686 Y=5.478 Z=126.921,0.032367
X=-189.538 Y=4.888 Z=129.994,0.035614
X=-190.641 Y=4.237 Z=133.233,0.037043
X=-191.746 Y=3.314 Z=136.487,0.036054
X=-192.652 Y=2.663 Z=139.435,0.032945
X=-193.672 Y=2.265 Z=142.386,0.032636
X=-194.749 Y=1.996 Z=145.548,0.031073
X=-196.051 Y=1.706 Z=148.833,0.032393
X=-197.449 Y=1.672 Z=151.838,0.032502
X=-198.893 Y=1.372 Z=154.341,0.033442
X=-200.463 Y=1.012 Z=156.471,0.032667
X=-201.954 Y=0.784 Z=157.945,0.032595
X=-203.080 Y=0.832 Z=158.532,0.032459
X=-204.020 Y=1.166 Z=158.984,0.032522
X=-204.796 Y=1.341 Z=159.351,0.03228
X=-205.224 Y=1.251 Z=159.515,0.031979
X=-205.660 Y=1.144 Z=159.471,0.032934
X=-205.925 Y=0.668 Z=159.031,0.032118
X=-206.701 Y=0.443 Z=158.013,0.032524
X=-207.357 Y=0.416 Z=157.088,0.045666
X=-206.841 Y=0.041 Z=155.903,0.053408
X=-206.559 Y=0.752 Z=155.292,0.056525
X=-206.259 Y=0.391 Z=155.461,0.055591
X=-205.111 Y=1.066 Z=155.910,0.055233
X=-203.742 Y=1.916 Z=155.761,0.054578
X=-203.376 Y=1.811 Z=154.786,0.056649
X=-204.100 Y=1.327 Z=153.577,0.055343
X=-204.858 Y=1.189 Z=151.984,0.055718
X=-204.869 Y=2.455 Z=152.589,0.054809
X=-204.673 Y=3.406 Z=154.178,0.055761
X=-204.397 Y=3.692 Z=155.302,0.055085
X=-204.127 Y=2.913 Z=155.110,0.056704
X=-203.728 Y=1.446 Z=154.792,0.054845
X=-203.308 Y=0.866 Z=154.524,0.055803
X=-202.890 Y=1.344 Z=153.820,0.055343
X=-202.882 Y=1.814 Z=153.340,0.055733
X=-203.053 Y=1.972 Z=153.207,0.052147
X=-203.432 Y=2.033 Z=153.035,0.048048
X=-203.989 Y=2.335 Z=153.276,0.041898
X=-204.414 Y=2.596 Z=153.574,0.04623
X=-204.215 Y=2.428 Z=153.578,0.045224
X=-204.407 Y=2.179 Z=153.579,0.042982
X=-204.307 Y=2.253 Z=153.730,0.044749
X=-204.326 Y=2.531 Z=154.088,0.046486
X=-204.562 Y=2.856 Z=154.464,0.043258
X=-204.829 Y=3.148 Z=154.408,0.043359
X=-205.012 Y=3.326 Z=154.434,0.043745
X=-205.169 Y=3.769 Z=154.176,0.044805
X=-205.246 Y=4.069 Z=154.388,0.04418
X=-205.532 Y=4.231 Z=154.761,0.046207
X=-205.667 Y=4.149 Z=154.951,0.04346
X=-205.737 Y=3.971 Z=154.768,0.044902
X=-205.791 Y=3.768 Z=154.540,0.043012
X=-205.772 Y=3.643 Z=154.367,0.046249
X=-205.633 Y=3.360 Z=154.108,0.0434
X=-205.561 Y=3.093 Z=153.909,0.044105
X=-205.556 Y=2.948 Z=153.727,0.045076
X=-205.471 Y=2.951 Z=153.628,0.044436
X=-205.527 Y=3.170 Z=153.554,0.038594
X=-205.608 Y=3.534 Z=153.496,0.044232
X=-205.567 Y=4.135 Z=153.321,0.044346
X=-205.674 Y=4.599 Z=152.854,0.045456
X=-205.921 Y=4.751 Z=152.327,0.044061
X=-206.185 Y=4.579 Z=151.907,0.044807
X=-206.467 Y=4.061 Z=151.596,0.043932
X=-206.802 Y=3.499 Z=151.698,0.043705
X=-207.186 Y=3.256 Z=151.819,0.044168
X=-207.450 Y=3.302 Z=151.841,0.045019
X=-207.636 Y=3.445 Z=151.749,0.044141
X=-207.767 Y=3.430 Z=151.732,0.045236
X=-207.880 Y=3.434 Z=151.723,0.047098
X=-208.296 Y=3.697 Z=151.536,0.043478
X=-208.955 Y=4.097 Z=151.135,0.042273
X=-209.550 Y=4.275 Z=150.871,0.044545
X=-209.871 Y=4.162 Z=150.923,0.043692
X=-209.886 Y=3.830 Z=150.945,0.044444
X=-209.710 Y=3.204 Z=151.070,0.045256
X=-209.632 Y=2.555 Z=151.318,0.044764
X=-208.794 Y=2.874 Z=152.126,0.043476
X=-208.435 Y=2.701 Z=152.703,0.044946
X=-208.222 Y=2.685 Z=153.033,0.044757
X=-208.355 Y=2.680 Z=153.378,0.040477
X=-208.827 Y=2.955 Z=153.574,0.044575
X=-209.548 Y=3.269 Z=153.943,0.044889
X=-210.352 Y=3.721 Z=154.055,0.044216
