Position, Time(s)
X=-193.349 Y=-9.569 Z=164.577,0.008333
X=-193.736 Y=-9.987 Z=164.941,0.4
X=-195.398 Y=-11.187 Z=165.654,0.013674
X=-195.636 Y=-11.381 Z=165.695,0.022779
X=-195.783 Y=-11.492 Z=165.709,0.028249
X=-195.964 Y=-11.651 Z=165.675,0.035759
X=-196.075 Y=-11.742 Z=165.710,0.036056
X=-196.117 Y=-11.800 Z=165.892,0.034331
X=-196.035 Y=-11.643 Z=165.983,0.036071
X=-195.900 Y=-11.394 Z=166.046,0.055163
X=-195.779 Y=-11.419 Z=166.173,0.055234
X=-195.758 Y=-11.609 Z=166.172,0.057
X=-195.738 Y=-11.829 Z=166.069,0.055582
X=-195.715 Y=-11.922 Z=165.921,0.054409
X=-195.731 Y=-11.927 Z=165.662,0.055281
X=-195.777 Y=-11.902 Z=165.419,0.055013
X=-195.783 Y=-12.071 Z=165.575,0.055525
X=-195.861 Y=-12.128 Z=165.554,0.056282
X=-195.875 Y=-11.999 Z=165.479,0.055352
X=-195.957 Y=-11.645 Z=165.330,0.054995
X=-196.036 Y=-11.390 Z=165.245,0.057156
X=-196.001 Y=-11.172 Z=165.181,0.057362
X=-195.985 Y=-10.918 Z=165.204,0.053153
X=-195.900 Y=-10.727 Z=165.291,0.054677
X=-195.761 Y=-10.617 Z=165.505,0.055524
X=-195.623 Y=-10.504 Z=165.637,0.05238
X=-195.389 Y=-10.390 Z=165.751,0.044424
X=-195.137 Y=-10.331 Z=165.706,0.04594
X=-194.870 Y=-10.244 Z=165.606,0.042656
X=-194.617 Y=-10.221 Z=165.500,0.045308
X=-194.336 Y=-10.154 Z=165.485,0.043968
X=-194.160 Y=-10.020 Z=165.591,0.044412
X=-194.034 Y=-9.927 Z=165.837,0.044775
X=-193.862 Y=-9.829 Z=166.054,0.043322
X=-193.642 Y=-9.687 Z=166.133,0.045451
X=-193.395 Y=-9.544 Z=166.108,0.044179
X=-193.155 Y=-9.398 Z=166.080,0.044839
X=-192.898 Y=-9.201 Z=166.073,0.044005
X=-192.684 Y=-9.035 Z=166.166,0.044478
X=-192.439 Y=-8.906 Z=166.199,0.044281
X=-192.223 Y=-8.857 Z=166.232,0.044656
