Position, Time(s)
X=-205.592 Y=-22.483 Z=154.258,0.008333
X=-205.764 Y=-22.714 Z=154.369,0.4
X=-205.924 Y=-24.218 Z=154.079,0.012926
X=-205.928 Y=-24.299 Z=154.136,0.104324
X=-205.955 Y=-24.354 Z=154.165,0.032365
X=-205.993 Y=-24.371 Z=154.205,0.031917
X=-206.032 Y=-24.370 Z=154.223,0.034722
X=-206.073 Y=-24.331 Z=154.239,0.034314
X=-206.095 Y=-24.317 Z=154.267,0.034087
X=-206.089 Y=-24.236 Z=154.295,0.034346
X=-206.029 Y=-24.082 Z=154.287,0.034146
X=-205.971 Y=-23.909 Z=154.258,0.034665
X=-205.904 Y=-23.712 Z=154.218,0.033866
X=-205.820 Y=-23.531 Z=154.236,0.034305
X=-205.788 Y=-23.273 Z=154.211,0.034113
X=-205.727 Y=-23.077 Z=154.215,0.034188
X=-205.686 Y=-22.913 Z=154.218,0.03636
X=-205.702 Y=-22.770 Z=154.248,0.033087
X=-205.732 Y=-22.609 Z=154.313,0.033769
X=-205.796 Y=-22.511 Z=154.341,0.03399
X=-205.859 Y=-22.519 Z=154.413,0.03442
X=-205.875 Y=-22.609 Z=154.677,0.034162
X=-206.032 Y=-22.728 Z=154.875,0.034159
X=-206.287 Y=-22.756 Z=154.687,0.032638
X=-206.347 Y=-22.667 Z=154.361,0.033235
X=-206.256 Y=-22.528 Z=154.233,0.033035
X=-206.156 Y=-22.472 Z=154.253,0.032913
X=-206.166 Y=-22.391 Z=154.169,0.033186
X=-206.200 Y=-22.331 Z=154.044,0.033255
X=-206.182 Y=-22.234 Z=153.985,0.033104
X=-206.145 Y=-22.163 Z=153.965,0.033317
X=-206.170 Y=-22.084 Z=153.988,0.033053
X=-206.195 Y=-21.956 Z=154.017,0.032601
X=-206.180 Y=-21.877 Z=154.030,0.032827
X=-206.136 Y=-21.841 Z=153.983,0.032709
X=-206.109 Y=-21.859 Z=153.999,0.031354
X=-206.038 Y=-21.882 Z=153.988,0.032808
X=-205.929 Y=-21.898 Z=153.976,0.033278
X=-205.878 Y=-21.922 Z=154.015,0.032408
X=-205.861 Y=-21.994 Z=154.040,0.033247
X=-205.846 Y=-22.124 Z=154.097,0.033258
X=-205.794 Y=-22.290 Z=154.210,0.03279
