Position, Time(s)
X=-205.858 Y=37.979 Z=103.150,0.008334
X=-204.703 Y=41.766 Z=107.587,0.4
X=-202.769 Y=48.066 Z=114.594,0.016986
X=-201.955 Y=49.269 Z=116.233,0.023248
X=-201.169 Y=50.002 Z=117.518,0.033103
X=-199.835 Y=50.917 Z=119.301,0.041319
X=-198.642 Y=51.587 Z=120.798,0.038943
X=-196.951 Y=52.451 Z=122.998,0.040036
X=-195.677 Y=52.925 Z=124.728,0.036824
X=-194.545 Y=53.292 Z=126.516,0.035564
X=-193.838 Y=53.560 Z=128.171,0.034585
X=-193.438 Y=53.707 Z=129.794,0.034865
X=-193.254 Y=53.895 Z=131.531,0.034135
X=-193.617 Y=54.056 Z=132.706,0.034065
X=-194.150 Y=54.116 Z=133.957,0.033596
X=-194.686 Y=54.109 Z=134.699,0.034128
X=-195.451 Y=54.085 Z=135.716,0.034457
X=-196.687 Y=53.439 Z=137.806,0.034804
X=-198.115 Y=52.926 Z=140.092,0.039154
X=-198.910 Y=52.086 Z=143.334,0.056091
X=-198.995 Y=51.811 Z=149.164,0.051937
X=-198.503 Y=50.751 Z=153.669,0.057031
X=-197.446 Y=46.840 Z=157.164,0.053981
X=-196.421 Y=42.574 Z=159.871,0.056563
X=-195.414 Y=38.547 Z=163.176,0.055071
X=-195.168 Y=34.669 Z=166.034,0.056787
X=-195.703 Y=30.437 Z=167.936,0.054138
X=-196.735 Y=26.107 Z=168.386,0.055928
X=-198.169 Y=22.341 Z=167.577,0.056873
X=-199.850 Y=19.436 Z=165.651,0.053511
X=-199.830 Y=18.121 Z=164.014,0.056268
X=-197.443 Y=16.576 Z=164.074,0.055821
X=-196.834 Y=16.829 Z=163.827,0.053968
X=-196.616 Y=16.256 Z=163.828,0.05639
X=-196.819 Y=16.155 Z=163.713,0.052674
X=-197.046 Y=15.528 Z=163.167,0.02726
X=-196.999 Y=15.056 Z=162.962,0.0387
X=-197.541 Y=14.943 Z=162.687,0.046176
X=-198.319 Y=14.991 Z=162.667,0.041966
X=-198.707 Y=15.237 Z=162.825,0.046841
X=-198.941 Y=15.901 Z=162.523,0.043125
X=-199.618 Y=16.934 Z=162.172,0.043581
X=-200.183 Y=18.152 Z=162.734,0.045063
X=-200.662 Y=19.309 Z=163.350,0.045122
X=-201.015 Y=19.872 Z=163.786,0.043067
X=-201.151 Y=20.559 Z=164.433,0.045097
X=-201.411 Y=20.840 Z=164.730,0.045196
X=-201.277 Y=20.652 Z=164.463,0.043143
X=-201.096 Y=20.214 Z=163.498,0.044443
X=-201.434 Y=20.133 Z=162.341,0.045413
X=-201.691 Y=20.490 Z=161.385,0.044265
X=-201.972 Y=21.507 Z=160.863,0.04418
X=-202.276 Y=22.009 Z=159.179,0.044942
X=-203.174 Y=22.933 Z=158.146,0.043733
X=-203.724 Y=23.193 Z=157.523,0.044301
X=-204.033 Y=23.294 Z=157.806,0.044312
X=-203.529 Y=23.316 Z=158.568,0.044768
X=-203.243 Y=23.210 Z=159.075,0.045961
X=-203.141 Y=23.097 Z=159.578,0.038404
X=-202.975 Y=23.198 Z=159.849,0.045265
X=-203.033 Y=23.268 Z=160.016,0.045429
X=-203.106 Y=22.965 Z=160.083,0.042112
X=-203.145 Y=22.898 Z=160.071,0.045732
X=-203.167 Y=22.515 Z=159.957,0.044459
X=-202.966 Y=22.199 Z=159.604,0.045184
X=-202.988 Y=21.869 Z=159.073,0.044505
X=-203.046 Y=21.726 Z=158.971,0.044409
X=-203.234 Y=21.634 Z=159.004,0.044051
X=-203.245 Y=21.646 Z=158.971,0.04374
X=-203.275 Y=21.579 Z=158.722,0.046016
X=-203.281 Y=21.406 Z=158.847,0.043005
X=-203.192 Y=21.196 Z=159.056,0.044437
X=-203.098 Y=21.306 Z=159.184,0.04336
X=-202.957 Y=21.567 Z=159.207,0.045194
X=-202.792 Y=21.913 Z=159.158,0.044211
X=-202.628 Y=22.121 Z=159.049,0.044991
X=-202.476 Y=22.173 Z=158.974,0.043987
X=-202.266 Y=22.211 Z=158.725,0.046088
X=-202.255 Y=22.298 Z=158.358,0.043319
X=-202.299 Y=22.902 Z=158.069,0.043916
X=-202.257 Y=23.359 Z=157.885,0.040724
X=-202.251 Y=23.130 Z=157.639,0.045148
X=-202.273 Y=22.606 Z=157.263,0.044239
X=-202.205 Y=22.241 Z=157.467,0.044044
X=-202.136 Y=22.032 Z=157.431,0.045005
X=-202.098 Y=22.055 Z=157.658,0.046777
X=-202.208 Y=21.375 Z=157.487,0.041835
X=-202.357 Y=20.834 Z=156.754,0.044816
X=-202.545 Y=20.409 Z=156.210,0.044496
X=-202.498 Y=19.801 Z=155.984,0.044443
X=-202.459 Y=19.442 Z=155.800,0.04493
X=-202.200 Y=19.261 Z=156.304,0.045449
X=-202.218 Y=18.980 Z=156.708,0.04256
X=-202.212 Y=18.527 Z=157.229,0.044298
X=-202.217 Y=18.051 Z=157.661,0.045139
X=-202.283 Y=17.470 Z=157.997,0.043544
X=-202.526 Y=17.167 Z=158.274,0.045581
X=-201.189 Y=18.539 Z=158.755,0.043411
X=-201.290 Y=18.707 Z=158.850,0.044464
X=-201.359 Y=18.871 Z=159.138,0.044504
X=-201.642 Y=19.262 Z=159.180,0.045257
X=-201.831 Y=19.452 Z=159.306,0.044799
X=-201.995 Y=19.595 Z=159.797,0.044021
X=-202.148 Y=19.647 Z=160.167,0.040834
X=-202.433 Y=19.842 Z=160.217,0.045874
X=-202.829 Y=20.051 Z=159.879,0.04303
X=-203.245 Y=20.320 Z=159.494,0.044487
X=-203.820 Y=20.403 Z=158.784,0.044595
