Position, Time(s)
X=-232.935 Y=28.366 Z=176.010,0.008334
X=-233.640 Y=29.278 Z=175.943,0.4
X=-233.652 Y=30.698 Z=175.983,0.013811
X=-233.414 Y=30.752 Z=175.872,0.045116
X=-233.191 Y=30.778 Z=175.959,0.0328
X=-232.836 Y=30.754 Z=176.069,0.042922
X=-232.591 Y=30.714 Z=176.103,0.041415
X=-232.260 Y=30.644 Z=176.167,0.039726
X=-231.857 Y=30.565 Z=176.171,0.040811
X=-231.533 Y=30.516 Z=176.222,0.040747
X=-231.106 Y=30.455 Z=176.213,0.040237
X=-230.720 Y=30.371 Z=176.187,0.040313
X=-230.376 Y=30.270 Z=176.193,0.040804
X=-229.868 Y=30.136 Z=176.226,0.039883
X=-229.469 Y=30.022 Z=176.240,0.040704
X=-229.000 Y=29.871 Z=176.178,0.03893
X=-228.309 Y=29.672 Z=176.111,0.040378
X=-227.639 Y=29.549 Z=175.894,0.042969
X=-227.050 Y=29.461 Z=175.723,0.055342
X=-226.594 Y=29.450 Z=175.381,0.054686
X=-226.060 Y=29.645 Z=175.044,0.05548
X=-225.707 Y=29.734 Z=174.909,0.055452
X=-225.239 Y=29.682 Z=174.827,0.055422
X=-225.003 Y=29.723 Z=174.660,0.054997
X=-224.641 Y=29.649 Z=174.551,0.055666
X=-224.442 Y=29.724 Z=174.291,0.056128
X=-224.280 Y=29.763 Z=174.175,0.055621
X=-224.285 Y=29.822 Z=174.072,0.057182
X=-224.244 Y=29.913 Z=174.033,0.055707
X=-224.254 Y=29.914 Z=173.950,0.053582
X=-224.280 Y=30.062 Z=173.851,0.055884
X=-224.297 Y=30.236 Z=173.804,0.055244
X=-224.280 Y=30.466 Z=173.861,0.05531
X=-224.313 Y=30.541 Z=173.919,0.05677
X=-224.396 Y=30.689 Z=173.975,0.054543
X=-224.427 Y=30.804 Z=174.061,0.051583
X=-224.405 Y=30.897 Z=174.120,0.055318
X=-224.400 Y=31.013 Z=174.094,0.05613
X=-224.351 Y=31.153 Z=174.158,0.05729
X=-224.293 Y=31.306 Z=174.210,0.055331
X=-224.232 Y=31.498 Z=174.241,0.055779
X=-224.244 Y=31.686 Z=174.287,0.053533
X=-224.223 Y=31.842 Z=174.257,0.057064
X=-224.187 Y=31.887 Z=174.312,0.055248
X=-224.190 Y=31.871 Z=174.371,0.055332
X=-224.247 Y=31.744 Z=174.456,0.054649
X=-224.307 Y=31.563 Z=174.434,0.056266
X=-224.311 Y=31.228 Z=174.475,0.055916
X=-224.371 Y=30.465 Z=174.634,0.056337
X=-224.456 Y=28.962 Z=174.825,0.054421
X=-224.795 Y=27.172 Z=174.891,0.056215
X=-225.296 Y=25.945 Z=174.796,0.05518
X=-225.664 Y=25.245 Z=174.872,0.05535
X=-225.888 Y=24.751 Z=174.874,0.052487
X=-226.082 Y=24.486 Z=174.802,0.066325
X=-226.061 Y=24.328 Z=174.805,0.049378
X=-225.929 Y=24.317 Z=174.816,0.057587
X=-225.658 Y=24.645 Z=174.686,0.050242
X=-224.925 Y=26.330 Z=174.874,0.053306
X=-224.626 Y=28.095 Z=174.997,0.055015
X=-224.614 Y=29.597 Z=175.249,0.055168
X=-224.839 Y=30.915 Z=175.422,0.057719
X=-225.206 Y=32.085 Z=175.656,0.053935
X=-225.629 Y=32.843 Z=175.679,0.056025
X=-225.878 Y=33.235 Z=175.842,0.055381
X=-225.885 Y=33.421 Z=175.886,0.05706
X=-225.824 Y=33.812 Z=175.849,0.054537
X=-225.764 Y=34.193 Z=175.806,0.055618
X=-225.783 Y=34.720 Z=175.726,0.053927
X=-225.919 Y=35.397 Z=175.689,0.055415
X=-226.417 Y=36.369 Z=175.983,0.056987
X=-227.353 Y=37.532 Z=176.243,0.053642
X=-228.469 Y=38.516 Z=176.449,0.054244
X=-229.278 Y=38.732 Z=176.534,0.055667
X=-229.579 Y=38.591 Z=176.612,0.055118
X=-229.442 Y=38.391 Z=176.601,0.05666
X=-229.253 Y=38.308 Z=176.536,0.054486
X=-229.134 Y=38.333 Z=176.575,0.055629
X=-228.957 Y=38.416 Z=176.437,0.054488
X=-228.792 Y=38.603 Z=176.413,0.05617
X=-228.548 Y=38.757 Z=176.342,0.05595
X=-228.046 Y=38.702 Z=176.287,0.057633
X=-226.979 Y=37.993 Z=176.172,0.053485
X=-225.662 Y=36.876 Z=176.086,0.055223
X=-224.656 Y=35.595 Z=175.966,0.054697
X=-223.978 Y=34.420 Z=175.643,0.056423
X=-223.656 Y=33.511 Z=175.334,0.054249
X=-223.441 Y=33.026 Z=175.141,0.056288
X=-223.318 Y=32.551 Z=175.050,0.055042
X=-223.326 Y=32.473 Z=175.027,0.052112
X=-223.290 Y=32.380 Z=174.859,0.055989
X=-223.172 Y=32.420 Z=174.632,0.055374
X=-223.000 Y=32.404 Z=174.305,0.056215
X=-222.788 Y=32.379 Z=174.022,0.053675
X=-222.385 Y=32.348 Z=173.738,0.0565
X=-221.776 Y=32.270 Z=173.650,0.055466
X=-220.811 Y=32.163 Z=173.709,0.055261
X=-219.721 Y=32.089 Z=173.624,0.056791
X=-218.409 Y=31.941 Z=173.416,0.055317
X=-216.849 Y=31.607 Z=173.238,0.056029
X=-214.939 Y=31.212 Z=173.141,0.055208
X=-212.713 Y=30.569 Z=172.936,0.05576
X=-210.290 Y=29.679 Z=172.744,0.055203
X=-207.714 Y=28.671 Z=172.528,0.055218
X=-204.988 Y=27.522 Z=172.845,0.055624
X=-202.228 Y=26.315 Z=173.122,0.055207
X=-199.547 Y=25.335 Z=173.054,0.057637
X=-197.162 Y=24.566 Z=173.024,0.051088
X=-194.830 Y=24.138 Z=173.171,0.053409
X=-192.539 Y=24.025 Z=173.646,0.055416
X=-190.396 Y=24.151 Z=173.842,0.056968
X=-188.093 Y=24.408 Z=173.833,0.056891
X=-185.994 Y=24.678 Z=173.455,0.057053
X=-184.052 Y=24.748 Z=173.371,0.053418
X=-182.206 Y=24.881 Z=173.524,0.055204
