Position, Time(s)
X=-229.371 Y=33.684 Z=177.366,0.008333
X=-229.471 Y=33.182 Z=177.108,0.4
X=-230.916 Y=32.186 Z=177.295,0.028751
X=-231.570 Y=31.790 Z=177.361,0.053789
X=-231.905 Y=31.516 Z=177.334,0.034959
X=-232.224 Y=31.236 Z=177.408,0.039101
X=-232.585 Y=30.986 Z=177.485,0.04068
X=-232.936 Y=30.819 Z=177.431,0.040807
X=-233.096 Y=30.694 Z=177.374,0.039168
X=-233.315 Y=30.629 Z=177.287,0.040482
X=-233.492 Y=30.670 Z=177.227,0.039605
X=-233.631 Y=30.768 Z=177.157,0.04068
X=-233.761 Y=30.893 Z=177.161,0.040428
X=-233.867 Y=30.999 Z=177.111,0.039501
X=-234.030 Y=31.097 Z=177.124,0.040602
X=-234.103 Y=31.185 Z=177.152,0.038778
X=-234.154 Y=31.306 Z=177.191,0.040512
X=-234.234 Y=31.396 Z=177.080,0.040443
X=-234.507 Y=31.637 Z=176.904,0.04264
X=-234.817 Y=32.123 Z=176.980,0.054138
X=-235.151 Y=32.723 Z=176.917,0.055329
X=-235.314 Y=33.321 Z=176.981,0.054914
X=-235.126 Y=33.730 Z=177.123,0.056335
X=-234.852 Y=34.064 Z=177.193,0.054974
X=-234.550 Y=34.436 Z=177.314,0.065051
X=-234.074 Y=34.623 Z=177.215,0.050024
X=-233.468 Y=34.770 Z=177.165,0.054849
X=-232.596 Y=34.892 Z=177.023,0.055868
X=-231.574 Y=34.889 Z=176.855,0.052733
X=-230.513 Y=34.859 Z=176.637,0.055492
X=-229.456 Y=34.776 Z=176.251,0.055147
X=-228.347 Y=34.610 Z=175.952,0.055746
X=-227.319 Y=34.388 Z=175.541,0.055708
X=-226.328 Y=34.040 Z=174.889,0.055604
X=-225.196 Y=33.686 Z=174.558,0.051627
X=-223.896 Y=33.197 Z=173.854,0.056744
X=-222.653 Y=32.550 Z=173.025,0.055893
X=-221.657 Y=31.691 Z=172.150,0.054432
X=-221.040 Y=30.561 Z=171.910,0.057016
X=-220.934 Y=28.907 Z=172.288,0.056642
X=-221.355 Y=26.822 Z=173.030,0.056354
X=-222.008 Y=25.330 Z=173.524,0.055259
X=-222.715 Y=24.054 Z=174.031,0.05371
X=-223.207 Y=23.186 Z=174.180,0.055117
X=-223.550 Y=22.592 Z=174.146,0.054205
X=-223.813 Y=22.249 Z=174.023,0.056672
X=-223.876 Y=22.154 Z=173.944,0.056655
X=-223.928 Y=22.229 Z=173.954,0.054271
X=-223.957 Y=22.388 Z=173.966,0.055024
X=-223.907 Y=22.702 Z=173.965,0.054846
X=-223.676 Y=23.202 Z=174.038,0.056433
X=-223.370 Y=23.925 Z=174.172,0.054854
X=-222.881 Y=25.021 Z=174.313,0.051114
